PUF,Temperature,Vdd,Bias,Std,Reliability
ArbiterPUF,0,0.5,0.015,0.9998874936711627,0.91867
ArbiterPUF,0,0.51,0.01628,0.9998674720181672,0.91931
ArbiterPUF,0,0.52,0.0177,0.9998433427292498,0.92002
ArbiterPUF,0,0.53,0.01904,0.9998187227692829,0.92069
ArbiterPUF,0,0.54,0.02018,0.9997963630659997,0.92126
ArbiterPUF,0,0.55,0.02152,0.9997684179848851,0.92193
ArbiterPUF,0,0.56,0.02282,0.9997395898932881,0.92258
ArbiterPUF,0,0.57,0.02452,0.9996993396016626,0.92343
ArbiterPUF,0,0.58,0.02608,0.9996598589520337,0.92421
ArbiterPUF,0,0.59,0.02758,0.9996195994477097,0.92496
ArbiterPUF,0,0.6,0.02912,0.9995759228792979,0.92573
ArbiterPUF,0,0.61,0.03066,0.9995298716896858,0.9265
ArbiterPUF,0,0.62,0.03232,0.9994775723346673,0.92733
ArbiterPUF,0,0.63,0.03402,0.9994211522676514,0.92818
ArbiterPUF,0,0.64,0.03566,0.9993639799392412,0.929
ArbiterPUF,0,0.65,0.03724,0.9993063506252723,0.92979
ArbiterPUF,0,0.66,0.03892,0.9992423297679097,0.93063
ArbiterPUF,0,0.67,0.04022,0.9991908484368739,0.93128
ArbiterPUF,0,0.68,0.0422,0.9991091832227347,0.93227
ArbiterPUF,0,0.69,0.04334,0.9990603807578398,0.93284
ArbiterPUF,0,0.7,0.04478,0.9989968726677776,0.93356
ArbiterPUF,0,0.71,0.04674,0.9989070889727434,0.93454
ArbiterPUF,0,0.72,0.04868,0.998814426007154,0.93551
ArbiterPUF,0,0.73,0.05056,0.9987210253118733,0.93645
ArbiterPUF,0,0.74,0.05224,0.9986345589854179,0.93729
ArbiterPUF,0,0.75,0.05408,0.9985366060390576,0.93821
ArbiterPUF,0,0.76,0.05568,0.9984486654806044,0.93901
ArbiterPUF,0,0.77,0.05758,0.998340895486106,0.93996
ArbiterPUF,0,0.78,0.0594,0.9982342610830385,0.94087
ArbiterPUF,0,0.79,0.0614,0.9981132400684803,0.94187
ArbiterPUF,0,0.8,0.0631,0.9980072093927979,0.94272
ArbiterPUF,0,0.81,0.06516,0.9978748290241618,0.94375
ArbiterPUF,0,0.82,0.06694,0.9977570026815147,0.94464
ArbiterPUF,0,0.83,0.06878,0.997631851736902,0.94556
ArbiterPUF,0,0.84,0.07084,0.99748769135263,0.94659
ArbiterPUF,0,0.85,0.07258,0.9973625938443854,0.94746
ArbiterPUF,0,0.86,0.07474,0.9972030547486305,0.94854
ArbiterPUF,0,0.87,0.0766,0.9970619037953463,0.94947
ArbiterPUF,0,0.88,0.07826,0.9969329829030635,0.9503
ArbiterPUF,0,0.89,0.0804,0.9967626798792177,0.95137
ArbiterPUF,0,0.9,0.08226,0.9966109032114789,0.9523
ArbiterPUF,0,0.91,0.08432,0.9964387274689799,0.95333
ArbiterPUF,0,0.92,0.08638,0.9962622624590375,0.95436
ArbiterPUF,0,0.93,0.08838,0.9960868313555802,0.95536
ArbiterPUF,0,0.94,0.0901,0.9959327236314709,0.95622
ArbiterPUF,0,0.95,0.09224,0.9957368037789907,0.95729
ArbiterPUF,0,0.96,0.09456,0.9955191642555156,0.95845
ArbiterPUF,0,0.97,0.09636,0.9953465478917379,0.95935
ArbiterPUF,0,0.98,0.0984,0.9951469439233586,0.96037
ArbiterPUF,0,0.99,0.09992,0.9949954741605613,0.96113
ArbiterPUF,0,1.0,0.10232,0.9947515356107774,0.96233
ArbiterPUF,0,1.01,0.10436,0.9945395871457305,0.96335
ArbiterPUF,0,1.02,0.10638,0.9943255480978047,0.96436
ArbiterPUF,0,1.03,0.10832,0.9941160785340916,0.96533
ArbiterPUF,0,1.04,0.11084,0.9938382637029027,0.96659
ArbiterPUF,0,1.05,0.11268,0.9936313288136603,0.96751
ArbiterPUF,0,1.06,0.1147,0.9934001761626581,0.96852
ArbiterPUF,0,1.07,0.11676,0.9931601594909052,0.96955
ArbiterPUF,0,1.08,0.11878,0.9929205968253455,0.97056
ArbiterPUF,0,1.09,0.12086,0.992669562543347,0.9716
ArbiterPUF,0,1.1,0.12294,0.9924141053008064,0.97264
ArbiterPUF,0,1.11,0.12532,0.9921163730127629,0.97383
ArbiterPUF,0,1.12,0.1274,0.991851420324637,0.97487
ArbiterPUF,0,1.13,0.12966,0.9915585128473258,0.976
ArbiterPUF,0,1.14,0.13178,0.991278987772867,0.97706
ArbiterPUF,0,1.15,0.13414,0.990962391011889,0.97824
ArbiterPUF,0,1.16,0.13612,0.9906923566879884,0.97923
ArbiterPUF,0,1.17,0.13808,0.9904210789356211,0.98021
ArbiterPUF,0,1.18,0.14018,0.990126036219632,0.98126
ArbiterPUF,0,1.19,0.1426,0.9897803998867627,0.98247
ArbiterPUF,0,1.2,0.14438,0.9895223168781995,0.98336
ArbiterPUF,0,1.21,0.14628,0.9892432267142397,0.98431
ArbiterPUF,0,1.22,0.14834,0.988936420807728,0.98534
ArbiterPUF,0,1.23,0.15018,0.988658670927434,0.98626
ArbiterPUF,0,1.24,0.15194,0.9883897188862296,0.98714
ArbiterPUF,0,1.25,0.1546,0.9879771454846515,0.98847
ArbiterPUF,0,1.26,0.15678,0.9876335512729406,0.98956
ArbiterPUF,0,1.27,0.15922,0.9872431268942824,0.99078
ArbiterPUF,0,1.28,0.16154,0.986866165394275,0.99194
ArbiterPUF,0,1.29,0.16334,0.9865698375685321,0.99284
ArbiterPUF,0,1.3,0.16554,0.9862030766530796,0.99394
ArbiterPUF,0,1.31,0.16794,0.9857972187016963,0.99514
ArbiterPUF,0,1.32,0.17024,0.9854026295885352,0.99631
ArbiterPUF,0,1.33,0.17276,0.9849639497971486,0.99757
ArbiterPUF,0,1.34,0.17532,0.9845115020150856,0.99885
ArbiterPUF,0,1.35,0.17762,0.98409914927308,1.0
ArbiterPUF,0,1.36,0.17956,0.9837470235787248,0.99903
ArbiterPUF,0,1.37,0.18152,0.9833872531205597,0.99805
ArbiterPUF,0,1.38,0.1836,0.9830010376393303,0.99701
ArbiterPUF,0,1.39,0.18576,0.9825951467415254,0.99593
ArbiterPUF,0,1.4,0.18774,0.9822187599511628,0.99494
ArbiterPUF,0,1.41,0.19076,0.9816367059151773,0.99343
ArbiterPUF,0,1.42,0.19296,0.9812066237036928,0.99233
ArbiterPUF,0,1.43,0.19538,0.9807276153958348,0.99112
ArbiterPUF,0,1.44,0.19794,0.9802141380331136,0.98984
ArbiterPUF,0,1.45,0.20008,0.9797795637795268,0.98877
ArbiterPUF,0,1.46,0.20242,0.979298802000697,0.9876
ArbiterPUF,0,1.47,0.20526,0.9787074805068161,0.98618
ArbiterPUF,0,1.48,0.20736,0.9782647036462063,0.98513
ArbiterPUF,0,1.49,0.2099,0.9777228595056985,0.98386
ArbiterPUF,0,1.5,0.212,0.9772696659571504,0.98281
ArbiterPUF,0,1.51,0.21394,0.9768468029327833,0.98184
ArbiterPUF,0,1.52,0.21586,0.9764243239493781,0.98088
ArbiterPUF,0,1.53,0.21794,0.9759621695537176,0.97984
ArbiterPUF,0,1.54,0.22042,0.9754050561689743,0.9786
ArbiterPUF,0,1.55,0.22274,0.9748778858913559,0.97744
ArbiterPUF,0,1.56,0.225,0.974358763495254,0.97631
ArbiterPUF,0,1.57,0.22752,0.9737734077289233,0.97505
ArbiterPUF,0,1.58,0.22984,0.9732284286846536,0.97389
ArbiterPUF,0,1.59,0.2321,0.9726919296467921,0.97276
ArbiterPUF,0,1.6,0.23412,0.972207707025613,0.97175
ArbiterPUF,0,1.61,0.23616,0.9717141834922445,0.97073
ArbiterPUF,0,1.62,0.2385,0.9711424972680374,0.96956
ArbiterPUF,0,1.63,0.24084,0.9705648326618889,0.96839
ArbiterPUF,0,1.64,0.24328,0.9699561029242507,0.96717
ArbiterPUF,0,1.65,0.24532,0.9694421579444541,0.96615
ArbiterPUF,0,1.66,0.2472,0.9689644781930863,0.96521
ArbiterPUF,0,1.67,0.24914,0.9684674803007068,0.96424
ArbiterPUF,0,1.68,0.25138,0.9678884727074706,0.96312
ArbiterPUF,0,1.69,0.2537,0.9672829523981078,0.96196
ArbiterPUF,0,1.7,0.25602,0.9666714848385671,0.9608
ArbiterPUF,0,1.71,0.2583,0.9660647545584095,0.95966
ArbiterPUF,0,1.72,0.26082,0.9653874494730081,0.9584
ArbiterPUF,0,1.73,0.263,0.964795833324336,0.95731
ArbiterPUF,0,1.74,0.26492,0.9642703944433842,0.95635
ArbiterPUF,0,1.75,0.26698,0.9637020699365547,0.95532
ArbiterPUF,0,1.76,0.26936,0.9630395580660225,0.95413
ArbiterPUF,0,1.77,0.27138,0.9624722830294905,0.95312
ArbiterPUF,0,1.78,0.27362,0.9618378738644054,0.952
ArbiterPUF,0,1.79,0.27572,0.961237994255325,0.95095
ArbiterPUF,0,1.8,0.27766,0.9606794077110221,0.94998
ArbiterPUF,0,1.81,0.28006,0.9599824979654575,0.94878
ArbiterPUF,0,1.82,0.28224,0.9593438290831917,0.94769
ArbiterPUF,0,1.83,0.28432,0.9587294392058692,0.94665
ArbiterPUF,0,1.84,0.28626,0.9581519777154354,0.94568
ArbiterPUF,0,1.85,0.28874,0.9574075477036934,0.94444
ArbiterPUF,0,1.86,0.29068,0.9568203267071618,0.94347
ArbiterPUF,0,1.87,0.29258,0.9562410488992826,0.94252
ArbiterPUF,0,1.88,0.29444,0.9556699673004273,0.94159
ArbiterPUF,0,1.89,0.29622,0.9551197367869643,0.9407
ArbiterPUF,0,1.9,0.29868,0.9543533190595607,0.93947
ArbiterPUF,0,1.91,0.30068,0.953725084917032,0.93847
ArbiterPUF,0,1.92,0.30276,0.9530668299757367,0.93743
ArbiterPUF,0,1.93,0.30528,0.9522626326807117,0.93617
ArbiterPUF,0,1.94,0.30738,0.951586851317314,0.93512
ArbiterPUF,0,1.95,0.30984,0.9507887117546148,0.93389
ArbiterPUF,0,1.96,0.31186,0.9501280652627833,0.93288
ArbiterPUF,0,1.97,0.31352,0.9495815971258078,0.93205
ArbiterPUF,0,1.98,0.31564,0.9488790177888854,0.93099
ArbiterPUF,0,1.99,0.31792,0.9481175420800945,0.92985
ArbiterPUF,0,2.0,0.3203,0.9473161615849273,0.92866
ArbiterPUF,0,2.01,0.32222,0.9466648148103955,0.9277
ArbiterPUF,0,2.02,0.3246,0.9458513836750464,0.92651
ArbiterPUF,0,2.03,0.3266,0.9451626526688409,0.92551
ArbiterPUF,0,2.04,0.32862,0.9444622256077794,0.9245
ArbiterPUF,0,2.05,0.33108,0.9436026884234698,0.92327
