PUF,Temperature,Vdd,Bias,Std,Reliability
ArbiterPUF,0,0.5,0.05886,0.9982662472507021,0.93291
ArbiterPUF,0,0.51,0.06056,0.9981645587777599,0.93376
ArbiterPUF,0,0.52,0.06216,0.9980661974037596,0.93456
ArbiterPUF,0,0.53,0.0636,0.9979754706404361,0.93528
ArbiterPUF,0,0.54,0.0648,0.9978982713683793,0.93588
ArbiterPUF,0,0.55,0.06624,0.9978037193757098,0.9366
ArbiterPUF,0,0.56,0.06758,0.9977138585787009,0.93727
ArbiterPUF,0,0.57,0.06914,0.9976069668962821,0.93805
ArbiterPUF,0,0.58,0.07082,0.9974891115195191,0.93889
ArbiterPUF,0,0.59,0.07226,0.9973858292556597,0.93961
ArbiterPUF,0,0.6,0.07398,0.9972597252471395,0.94047
ArbiterPUF,0,0.61,0.07538,0.9971548804473654,0.94117
ArbiterPUF,0,0.62,0.07676,0.9970495987662802,0.94186
ArbiterPUF,0,0.63,0.07842,0.9969204098622919,0.94269
ArbiterPUF,0,0.64,0.08,0.9967948635501689,0.94348
ArbiterPUF,0,0.65,0.08144,0.9966782461757656,0.9442
ArbiterPUF,0,0.66,0.08294,0.9965545426116926,0.94495
ArbiterPUF,0,0.67,0.08458,0.9964166917509965,0.94577
ArbiterPUF,0,0.68,0.08592,0.9963020393434915,0.94644
ArbiterPUF,0,0.69,0.08754,0.9961610052596921,0.94725
ArbiterPUF,0,0.7,0.08948,0.9959886192120874,0.94822
ArbiterPUF,0,0.71,0.0907,0.9958782606322925,0.94883
ArbiterPUF,0,0.72,0.09232,0.9957293897440209,0.94964
ArbiterPUF,0,0.73,0.09386,0.9955854058793749,0.95041
ArbiterPUF,0,0.74,0.09532,0.9954466824496429,0.95114
ArbiterPUF,0,0.75,0.09686,0.9952980158726331,0.95191
ArbiterPUF,0,0.76,0.09856,0.9951311101558425,0.95276
ArbiterPUF,0,0.77,0.10012,0.9949753693433823,0.95354
ArbiterPUF,0,0.78,0.1017,0.9948151134758658,0.95433
ArbiterPUF,0,0.79,0.1034,0.9946398544196788,0.95518
ArbiterPUF,0,0.8,0.1046,0.9945143739534388,0.95578
ArbiterPUF,0,0.81,0.10646,0.9943169858752288,0.95671
ArbiterPUF,0,0.82,0.10826,0.9941226143690727,0.95761
ArbiterPUF,0,0.83,0.11024,0.9939049966671866,0.9586
ArbiterPUF,0,0.84,0.11194,0.9937149673824982,0.95945
ArbiterPUF,0,0.85,0.11338,0.9935516974974176,0.96017
ArbiterPUF,0,0.86,0.11484,0.9933840014818038,0.9609
ArbiterPUF,0,0.87,0.11618,0.9932281749930376,0.96157
ArbiterPUF,0,0.88,0.1179,0.9930254729864689,0.96243
ArbiterPUF,0,0.89,0.11952,0.9928317932056769,0.96324
ArbiterPUF,0,0.9,0.12138,0.9926061130176463,0.96417
ArbiterPUF,0,0.91,0.123,0.9924066706748802,0.96498
ArbiterPUF,0,0.92,0.12474,0.9921894639634108,0.96585
ArbiterPUF,0,0.93,0.1262,0.9920048185366844,0.96658
ArbiterPUF,0,0.94,0.12814,0.9917560891670896,0.96755
ArbiterPUF,0,0.95,0.12962,0.9915637425803747,0.96829
ArbiterPUF,0,0.96,0.1312,0.9913559199399578,0.96908
ArbiterPUF,0,0.97,0.13308,0.9911052989465853,0.97002
ArbiterPUF,0,0.98,0.13452,0.9909108787373363,0.97074
ArbiterPUF,0,0.99,0.1361,0.9906951044594899,0.97153
ArbiterPUF,0,1.0,0.13784,0.990454509000792,0.9724
ArbiterPUF,0,1.01,0.1394,0.9902361536522487,0.97318
ArbiterPUF,0,1.02,0.14084,0.9900323703798781,0.9739
ArbiterPUF,0,1.03,0.1427,0.9897659874940135,0.97483
ArbiterPUF,0,1.04,0.14432,0.9895310695475912,0.97564
ArbiterPUF,0,1.05,0.14584,0.9893081897972946,0.9764
ArbiterPUF,0,1.06,0.14728,0.9890948395376452,0.97712
ArbiterPUF,0,1.07,0.14906,0.9888281531186296,0.97801
ArbiterPUF,0,1.08,0.15064,0.988588686158202,0.9788
ArbiterPUF,0,1.09,0.15242,0.9883158116715527,0.97969
ArbiterPUF,0,1.1,0.15392,0.9880833130865028,0.98046
ArbiterPUF,0,1.11,0.15536,0.9878579201484393,0.98118
ArbiterPUF,0,1.12,0.15704,0.9875922429829024,0.98202
ArbiterPUF,0,1.13,0.15874,0.987320420329692,0.98287
ArbiterPUF,0,1.14,0.16022,0.9870813297798718,0.98361
ArbiterPUF,0,1.15,0.16178,0.9868268498576637,0.98439
ArbiterPUF,0,1.16,0.16322,0.9865896976960584,0.98511
ArbiterPUF,0,1.17,0.16478,0.9863303460808654,0.98589
ArbiterPUF,0,1.18,0.1662,0.9860920646673921,0.9866
ArbiterPUF,0,1.19,0.16804,0.985780177524381,0.98752
ArbiterPUF,0,1.2,0.16938,0.9855508183751868,0.98819
ArbiterPUF,0,1.21,0.17086,0.9852953163392182,0.98893
ArbiterPUF,0,1.22,0.1722,0.985062008200499,0.9896
ArbiterPUF,0,1.23,0.17378,0.9847845000811092,0.99039
ArbiterPUF,0,1.24,0.17494,0.9845790960608497,0.99097
ArbiterPUF,0,1.25,0.17618,0.9843579672050203,0.99159
ArbiterPUF,0,1.26,0.1777,0.9840847067199042,0.99235
ArbiterPUF,0,1.27,0.17974,0.9837141517737761,0.99337
ArbiterPUF,0,1.28,0.18114,0.983457320070373,0.99407
ArbiterPUF,0,1.29,0.18288,0.9831352427819887,0.99494
ArbiterPUF,0,1.3,0.18472,0.9827911892156951,0.99586
ArbiterPUF,0,1.31,0.18646,0.9824625531795094,0.99673
ArbiterPUF,0,1.32,0.1878,0.9822072897306353,0.9974
ArbiterPUF,0,1.33,0.18942,0.9818961572386358,0.99821
ArbiterPUF,0,1.34,0.19108,0.9815744666605788,0.99904
ArbiterPUF,0,1.35,0.193,0.9811987566237536,1.0
ArbiterPUF,0,1.36,0.19476,0.980850927715318,0.99912
ArbiterPUF,0,1.37,0.19644,0.9805158470927433,0.99828
ArbiterPUF,0,1.38,0.19828,0.9801454185986894,0.99736
ArbiterPUF,0,1.39,0.1998,0.9798367006802716,0.9966
ArbiterPUF,0,1.4,0.20134,0.97952141599865,0.99583
ArbiterPUF,0,1.41,0.20336,0.979104034513187,0.99482
ArbiterPUF,0,1.42,0.20502,0.978757783928179,0.99399
ArbiterPUF,0,1.43,0.20678,0.9783874649646733,0.99311
ArbiterPUF,0,1.44,0.20822,0.9780820168063616,0.99239
ArbiterPUF,0,1.45,0.2102,0.9776584066022244,0.9914
ArbiterPUF,0,1.46,0.21206,0.977256648173856,0.99047
ArbiterPUF,0,1.47,0.21388,0.9768599416497742,0.98956
ArbiterPUF,0,1.48,0.2156,0.9764817663428231,0.9887
ArbiterPUF,0,1.49,0.21744,0.9760736890214796,0.98778
ArbiterPUF,0,1.5,0.219,0.9757248587588614,0.987
ArbiterPUF,0,1.51,0.22064,0.9753553149493777,0.98618
ArbiterPUF,0,1.52,0.22224,0.9749919909414643,0.98538
ArbiterPUF,0,1.53,0.22414,0.9745569559548585,0.98443
ArbiterPUF,0,1.54,0.226,0.9741273017424366,0.9835
ArbiterPUF,0,1.55,0.2274,0.9738014376658107,0.9828
ArbiterPUF,0,1.56,0.22906,0.9734123054492375,0.98197
ArbiterPUF,0,1.57,0.23078,0.9730059566107496,0.98111
ArbiterPUF,0,1.58,0.2325,0.9725963962507779,0.98025
ArbiterPUF,0,1.59,0.23442,0.9721354142299314,0.97929
ArbiterPUF,0,1.6,0.23612,0.9717239039974266,0.97844
ArbiterPUF,0,1.61,0.23788,0.9712945514106418,0.97756
ArbiterPUF,0,1.62,0.24008,0.9707531064075974,0.97646
ArbiterPUF,0,1.63,0.24192,0.970296198900109,0.97554
ArbiterPUF,0,1.64,0.24326,0.9699611190145717,0.97487
ArbiterPUF,0,1.65,0.245,0.9695230786319632,0.97398
ArbiterPUF,0,1.66,0.24652,0.9691377041473518,0.97322
ArbiterPUF,0,1.67,0.24816,0.968719058551033,0.9724
ArbiterPUF,0,1.68,0.2499,0.9682716509327328,0.97153
ArbiterPUF,0,1.69,0.25144,0.9678728875219099,0.97076
