PUF,Temperature,Vdd,Bias,Std,Reliability
ArbiterPUF,0,1.0,0.1332,0.9910891786312672,0.99202
ArbiterPUF,5,1.0,0.12978,0.991542813800796,0.99373
ArbiterPUF,10,1.0,0.12632,0.9919895451061972,0.99546
ArbiterPUF,15,1.0,0.12344,0.9923520375350676,0.9969
ArbiterPUF,20,1.0,0.1202,0.992749696549941,0.99852
ArbiterPUF,25,1.0,0.11724,0.99310361111014,1.0
ArbiterPUF,30,1.0,0.11464,0.9934071020482993,0.9987
ArbiterPUF,35,1.0,0.112,0.9937082066683359,0.99738
ArbiterPUF,40,1.0,0.10908,0.9940329741009604,0.99592
ArbiterPUF,45,1.0,0.10688,0.9942719273920994,0.99482
ArbiterPUF,50,1.0,0.10456,0.9945185802185901,0.99366
ArbiterPUF,55,1.0,0.10246,0.9947371252748136,0.99261
ArbiterPUF,60,1.0,0.1007,0.9949168357204536,0.99173
ArbiterPUF,65,1.0,0.09844,0.9951429879168119,0.9906
ArbiterPUF,70,1.0,0.096,0.9953813339620147,0.98938
ArbiterPUF,75,1.0,0.09408,0.9955646405934675,0.98842
ArbiterPUF,80,1.0,0.09204,0.9957553105055478,0.9874
ArbiterPUF,85,1.0,0.09022,0.995921860187836,0.98649
ArbiterPUF,90,1.0,0.08826,0.9960974713350094,0.98551
ArbiterPUF,95,1.0,0.0863,0.9962691955490744,0.98453
ArbiterPUF,0,1.35,0.19,0.9817840903172144,0.9891
ArbiterPUF,5,1.35,0.18526,0.9826895401905935,0.99147
ArbiterPUF,10,1.35,0.18056,0.9835639716866412,0.99382
ArbiterPUF,15,1.35,0.1762,0.9843543874032358,0.996
ArbiterPUF,20,1.35,0.17218,0.9850655042178666,0.99801
ArbiterPUF,25,1.35,0.1682,0.985752889927288,1.0
ArbiterPUF,30,1.35,0.16384,0.9864869256102686,0.99782
ArbiterPUF,35,1.35,0.16008,0.987104043958893,0.99594
ArbiterPUF,40,1.35,0.15626,0.9877159573480627,0.99403
ArbiterPUF,45,1.35,0.15252,0.9883003842961916,0.99216
ArbiterPUF,50,1.35,0.14906,0.9888281531186296,0.99043
ArbiterPUF,55,1.35,0.14582,0.9893111379136496,0.98881
ArbiterPUF,60,1.35,0.1422,0.9898379463326308,0.987
ArbiterPUF,65,1.35,0.13866,0.9903400448330867,0.98523
ArbiterPUF,70,1.35,0.13568,0.9907527126382244,0.98374
ArbiterPUF,75,1.35,0.1328,0.9911428554956141,0.9823
ArbiterPUF,80,1.35,0.12996,0.9915192375339976,0.98088
ArbiterPUF,85,1.35,0.12748,0.9918411413124584,0.97964
ArbiterPUF,90,1.35,0.1248,0.9921819188032004,0.9783
ArbiterPUF,95,1.35,0.12256,0.9924611057366431,0.97718
ArbiterPUF,0,1.8,0.26582,0.9640226800236601,0.98421
ArbiterPUF,5,1.8,0.25912,0.9658451354125048,0.98756
ArbiterPUF,10,1.8,0.25286,0.9675028787554074,0.99069
ArbiterPUF,15,1.8,0.24656,0.9691275284502036,0.99384
ArbiterPUF,20,1.8,0.24032,0.9706937197695266,0.99698
ArbiterPUF,25,1.8,0.23428,0.9721691630575411,1.0
ArbiterPUF,30,1.8,0.2286,0.9735204363545739,0.99716
ArbiterPUF,35,1.8,0.2233,0.9747497678891748,0.99451
ArbiterPUF,40,1.8,0.2179,0.975971101006582,0.99181
ArbiterPUF,45,1.8,0.2129,0.977073994127364,0.98931
ArbiterPUF,50,1.8,0.20852,0.9780181028999414,0.98712
ArbiterPUF,55,1.8,0.20388,0.9789958864060664,0.9848
ArbiterPUF,60,1.8,0.19936,0.979926318862801,0.98254
ArbiterPUF,65,1.8,0.19478,0.9808469562577028,0.98025
ArbiterPUF,70,1.8,0.19038,0.9817104744271602,0.97805
ArbiterPUF,75,1.8,0.18662,0.9824321735366771,0.97617
ArbiterPUF,80,1.8,0.18288,0.9831352427819887,0.9743
ArbiterPUF,85,1.8,0.17918,0.9838163078542662,0.97245
ArbiterPUF,90,1.8,0.17588,0.9844116139095476,0.9708
ArbiterPUF,95,1.8,0.1727,0.9849744717504104,0.96921
ArbiterPUF,0,2.5,0.38616,0.9224318155831357,0.97803
ArbiterPUF,5,2.5,0.3761,0.9265790791939994,0.98306
ArbiterPUF,10,2.5,0.36722,0.9301341148458109,0.9875
ArbiterPUF,15,2.5,0.35866,0.9334682664129509,0.99178
ArbiterPUF,20,2.5,0.35044,0.9365851837393113,0.99589
ArbiterPUF,25,2.5,0.34222,0.939619854834922,1.0
ArbiterPUF,30,2.5,0.33386,0.9426226712741426,0.99582
ArbiterPUF,35,2.5,0.3263,0.9452662640758952,0.99204
ArbiterPUF,40,2.5,0.31838,0.9479631720694637,0.98808
ArbiterPUF,45,2.5,0.31164,0.9502002475268042,0.98471
ArbiterPUF,50,2.5,0.30492,0.9523779678257995,0.98135
ArbiterPUF,55,2.5,0.29808,0.9545408915284878,0.97793
ArbiterPUF,60,2.5,0.29124,0.9566500208540217,0.97451
ArbiterPUF,65,2.5,0.28536,0.9584204037894853,0.97157
ArbiterPUF,70,2.5,0.27944,0.9601631561354559,0.96861
ArbiterPUF,75,2.5,0.27314,0.9619742930037164,0.96546
ArbiterPUF,80,2.5,0.26766,0.9635134272027557,0.96272
ArbiterPUF,85,2.5,0.2629,0.9648230874103293,0.96034
ArbiterPUF,90,2.5,0.25762,0.9662463120757564,0.9577
ArbiterPUF,95,2.5,0.25292,0.9674871955741844,0.95535
