PUF,Temperature,Vdd,Bias,Std,Reliability
FeedForwardArbiterPUF,0,0.5,0.00548,0.9999849846872703,0.9742
FeedForwardArbiterPUF,0,0.51,0.0054,0.9999854198937103,0.97442
FeedForwardArbiterPUF,0,0.52,0.00546,0.9999850940889069,0.97461
FeedForwardArbiterPUF,0,0.53,0.00566,0.999983982071713,0.97481
FeedForwardArbiterPUF,0,0.54,0.00564,0.9999840950735167,0.97508
FeedForwardArbiterPUF,0,0.55,0.00564,0.9999840950735167,0.9753
FeedForwardArbiterPUF,0,0.56,0.00566,0.999983982071713,0.97557
FeedForwardArbiterPUF,0,0.57,0.00564,0.9999840950735167,0.97578
FeedForwardArbiterPUF,0,0.58,0.0057,0.999983754868048,0.97603
FeedForwardArbiterPUF,0,0.59,0.0058,0.9999831798585413,0.97626
FeedForwardArbiterPUF,0,0.6,0.00572,0.9999836406661862,0.9765
FeedForwardArbiterPUF,0,0.61,0.00566,0.999983982071713,0.97677
FeedForwardArbiterPUF,0,0.62,0.00554,0.9999846540822515,0.97701
FeedForwardArbiterPUF,0,0.63,0.00574,0.9999835260643049,0.97729
FeedForwardArbiterPUF,0,0.64,0.0059,0.9999825948485304,0.97761
FeedForwardArbiterPUF,0,0.65,0.00582,0.99998306365658,0.97789
FeedForwardArbiterPUF,0,0.66,0.00568,0.99998386866989,0.97814
FeedForwardArbiterPUF,0,0.67,0.00566,0.9999839820717131,0.97841
FeedForwardArbiterPUF,0,0.68,0.0053,0.9999859549013679,0.97875
FeedForwardArbiterPUF,0,0.69,0.00506,0.999987198118056,0.97903
FeedForwardArbiterPUF,0,0.7,0.00522,0.9999863757071892,0.97935
FeedForwardArbiterPUF,0,0.71,0.00526,0.9999861661043117,0.97961
FeedForwardArbiterPUF,0,0.72,0.00532,0.9999858486998703,0.97986
FeedForwardArbiterPUF,0,0.73,0.00524,0.9999862711057588,0.98008
FeedForwardArbiterPUF,0,0.74,0.0053,0.9999859549013677,0.98037
FeedForwardArbiterPUF,0,0.75,0.00534,0.9999857420983559,0.98069
FeedForwardArbiterPUF,0,0.76,0.00544,0.999985203090526,0.98108
FeedForwardArbiterPUF,0,0.77,0.00546,0.9999850940889069,0.98139
FeedForwardArbiterPUF,0,0.78,0.0054,0.9999854198937104,0.98172
FeedForwardArbiterPUF,0,0.79,0.00538,0.999985527695276,0.98209
FeedForwardArbiterPUF,0,0.8,0.00536,0.9999856350968247,0.9824
FeedForwardArbiterPUF,0,0.81,0.00532,0.9999858486998704,0.98268
FeedForwardArbiterPUF,0,0.82,0.00516,0.9999866871113835,0.98298
FeedForwardArbiterPUF,0,0.83,0.00522,0.9999863757071892,0.98345
FeedForwardArbiterPUF,0,0.84,0.00502,0.9999873997206163,0.98369
FeedForwardArbiterPUF,0,0.85,0.00478,0.9999885757347432,0.98407
FeedForwardArbiterPUF,0,0.86,0.00458,0.9999895117449983,0.98435
FeedForwardArbiterPUF,0,0.87,0.00456,0.9999896031459526,0.9847
FeedForwardArbiterPUF,0,0.88,0.00486,0.9999881901302636,0.98505
FeedForwardArbiterPUF,0,0.89,0.0047,0.9999889549390033,0.98537
FeedForwardArbiterPUF,0,0.9,0.00482,0.9999883837325311,0.98557
FeedForwardArbiterPUF,0,0.91,0.00496,0.9999876991243444,0.98596
FeedForwardArbiterPUF,0,0.92,0.00532,0.9999858486998704,0.98632
FeedForwardArbiterPUF,0,0.93,0.00512,0.9999868927140995,0.9866
FeedForwardArbiterPUF,0,0.94,0.00526,0.9999861661043117,0.98683
FeedForwardArbiterPUF,0,0.95,0.00518,0.9999865837100015,0.98713
FeedForwardArbiterPUF,0,0.96,0.00514,0.9999867901127493,0.98749
FeedForwardArbiterPUF,0,0.97,0.00526,0.9999861661043117,0.98779
FeedForwardArbiterPUF,0,0.98,0.00528,0.9999860607028479,0.98804
FeedForwardArbiterPUF,0,0.99,0.00532,0.9999858486998704,0.98836
FeedForwardArbiterPUF,0,1.0,0.00506,0.9999871981180561,0.98861
FeedForwardArbiterPUF,0,1.01,0.005,0.9999874999218739,0.98896
FeedForwardArbiterPUF,0,1.02,0.00496,0.9999876991243444,0.98918
FeedForwardArbiterPUF,0,1.03,0.00504,0.9999872991193439,0.98948
FeedForwardArbiterPUF,0,1.04,0.00498,0.9999875997231167,0.98977
FeedForwardArbiterPUF,0,1.05,0.0051,0.9999869949154339,0.99021
FeedForwardArbiterPUF,0,1.06,0.00512,0.9999868927140996,0.99058
FeedForwardArbiterPUF,0,1.07,0.0052,0.9999864799086037,0.99086
FeedForwardArbiterPUF,0,1.08,0.00512,0.9999868927140995,0.99112
FeedForwardArbiterPUF,0,1.09,0.00522,0.9999863757071893,0.99145
FeedForwardArbiterPUF,0,1.1,0.00516,0.9999866871113835,0.99176
FeedForwardArbiterPUF,0,1.11,0.00514,0.9999867901127493,0.99211
FeedForwardArbiterPUF,0,1.12,0.00502,0.9999873997206163,0.99247
FeedForwardArbiterPUF,0,1.13,0.00492,0.9999878967267555,0.99276
FeedForwardArbiterPUF,0,1.14,0.00488,0.9999880927291085,0.99302
FeedForwardArbiterPUF,0,1.15,0.00488,0.9999880927291086,0.9933
FeedForwardArbiterPUF,0,1.16,0.00478,0.9999885757347432,0.99361
FeedForwardArbiterPUF,0,1.17,0.00472,0.9999888607379585,0.99396
FeedForwardArbiterPUF,0,1.18,0.00498,0.9999875997231166,0.99433
FeedForwardArbiterPUF,0,1.19,0.0051,0.999986994915434,0.99473
FeedForwardArbiterPUF,0,1.2,0.00502,0.9999873997206163,0.99499
FeedForwardArbiterPUF,0,1.21,0.00514,0.9999867901127493,0.99537
FeedForwardArbiterPUF,0,1.22,0.00508,0.9999870967167527,0.99572
FeedForwardArbiterPUF,0,1.23,0.00516,0.9999866871113836,0.99594
FeedForwardArbiterPUF,0,1.24,0.00528,0.9999860607028478,0.99628
FeedForwardArbiterPUF,0,1.25,0.0053,0.9999859549013677,0.99659
FeedForwardArbiterPUF,0,1.26,0.0054,0.9999854198937103,0.99692
FeedForwardArbiterPUF,0,1.27,0.0054,0.9999854198937104,0.99714
FeedForwardArbiterPUF,0,1.28,0.0053,0.9999859549013679,0.99751
FeedForwardArbiterPUF,0,1.29,0.00536,0.9999856350968247,0.9978
FeedForwardArbiterPUF,0,1.3,0.00522,0.9999863757071892,0.99815
FeedForwardArbiterPUF,0,1.31,0.00524,0.9999862711057588,0.9985
FeedForwardArbiterPUF,0,1.32,0.0053,0.9999859549013679,0.99889
FeedForwardArbiterPUF,0,1.33,0.00544,0.9999852030905259,0.99918
FeedForwardArbiterPUF,0,1.34,0.0057,0.9999837548680479,0.99953
FeedForwardArbiterPUF,0,1.35,0.00548,0.9999849846872703,1.0
FeedForwardArbiterPUF,0,1.36,0.00532,0.9999858486998703,0.99958
FeedForwardArbiterPUF,0,1.37,0.00562,0.9999842076753012,0.99925
FeedForwardArbiterPUF,0,1.38,0.00582,0.9999830636565801,0.99887
FeedForwardArbiterPUF,0,1.39,0.00572,0.9999836406661861,0.99848
FeedForwardArbiterPUF,0,1.4,0.00572,0.9999836406661862,0.99822
FeedForwardArbiterPUF,0,1.41,0.00576,0.9999834110624035,0.99792
FeedForwardArbiterPUF,0,1.42,0.00574,0.999983526064305,0.99751
FeedForwardArbiterPUF,0,1.43,0.00592,0.999982476646466,0.99718
FeedForwardArbiterPUF,0,1.44,0.00576,0.9999834110624036,0.99678
FeedForwardArbiterPUF,0,1.45,0.0057,0.9999837548680479,0.99645
FeedForwardArbiterPUF,0,1.46,0.00608,0.9999815166291826,0.99606
FeedForwardArbiterPUF,0,1.47,0.00588,0.9999827126505738,0.99574
FeedForwardArbiterPUF,0,1.48,0.00582,0.99998306365658,0.99533
FeedForwardArbiterPUF,0,1.49,0.00606,0.999981638031419,0.99497
FeedForwardArbiterPUF,0,1.5,0.00602,0.9999818796358261,0.99469
FeedForwardArbiterPUF,0,1.51,0.00602,0.9999818796358262,0.99427
FeedForwardArbiterPUF,0,1.52,0.006,0.9999819998379968,0.99386
FeedForwardArbiterPUF,0,1.53,0.0057,0.999983754868048,0.99353
FeedForwardArbiterPUF,0,1.54,0.00554,0.9999846540822513,0.99311
FeedForwardArbiterPUF,0,1.55,0.00538,0.9999855276952762,0.99277
FeedForwardArbiterPUF,0,1.56,0.0054,0.9999854198937103,0.99242
FeedForwardArbiterPUF,0,1.57,0.00564,0.9999840950735167,0.99214
FeedForwardArbiterPUF,0,1.58,0.00564,0.9999840950735168,0.99186
FeedForwardArbiterPUF,0,1.59,0.00564,0.9999840950735169,0.99158
FeedForwardArbiterPUF,0,1.6,0.00578,0.9999832956604824,0.99133
FeedForwardArbiterPUF,0,1.61,0.0059,0.9999825948485305,0.99097
FeedForwardArbiterPUF,0,1.62,0.00596,0.9999822390422741,0.9906
FeedForwardArbiterPUF,0,1.63,0.0059,0.9999825948485304,0.99017
FeedForwardArbiterPUF,0,1.64,0.00598,0.9999821196401464,0.98983
FeedForwardArbiterPUF,0,1.65,0.00596,0.9999822390422742,0.98954
FeedForwardArbiterPUF,0,1.66,0.00602,0.999981879635826,0.98917
FeedForwardArbiterPUF,0,1.67,0.00606,0.999981638031419,0.98873
FeedForwardArbiterPUF,0,1.68,0.00626,0.9999804060080378,0.98835
FeedForwardArbiterPUF,0,1.69,0.00614,0.9999811500223392,0.98797
FeedForwardArbiterPUF,0,1.7,0.00612,0.9999812726246426,0.9876
FeedForwardArbiterPUF,0,1.71,0.00634,0.9999799019980352,0.98719
FeedForwardArbiterPUF,0,1.72,0.00652,0.9999787445741035,0.98684
FeedForwardArbiterPUF,0,1.73,0.00658,0.9999783515656728,0.98651
FeedForwardArbiterPUF,0,1.74,0.00658,0.9999783515656727,0.98607
FeedForwardArbiterPUF,0,1.75,0.00642,0.9999793915876467,0.98575
FeedForwardArbiterPUF,0,1.76,0.0066,0.9999782197628105,0.98536
FeedForwardArbiterPUF,0,1.77,0.00668,0.9999776885510995,0.98506
FeedForwardArbiterPUF,0,1.78,0.0066,0.9999782197628105,0.98472
FeedForwardArbiterPUF,0,1.79,0.00698,0.999975639503283,0.98425
FeedForwardArbiterPUF,0,1.8,0.0072,0.9999740796640679,0.98376
FeedForwardArbiterPUF,0,1.81,0.00704,0.9999752188929483,0.98344
FeedForwardArbiterPUF,0,1.82,0.00684,0.9999766069263818,0.98316
FeedForwardArbiterPUF,0,1.83,0.0067,0.9999775547481052,0.98279
FeedForwardArbiterPUF,0,1.84,0.00656,0.9999784829685087,0.98244
FeedForwardArbiterPUF,0,1.85,0.00662,0.9999780875599226,0.98201
FeedForwardArbiterPUF,0,1.86,0.00638,0.9999796475928897,0.98173
FeedForwardArbiterPUF,0,1.87,0.00638,0.9999796475928896,0.98139
FeedForwardArbiterPUF,0,1.88,0.0065,0.9999788747768623,0.98111
FeedForwardArbiterPUF,0,1.89,0.00652,0.9999787445741035,0.98078
FeedForwardArbiterPUF,0,1.9,0.00656,0.9999784829685086,0.98024
FeedForwardArbiterPUF,0,1.91,0.0064,0.9999795197902804,0.97994
FeedForwardArbiterPUF,0,1.92,0.0064,0.9999795197902804,0.97954
FeedForwardArbiterPUF,0,1.93,0.00622,0.9999806556128975,0.97917
FeedForwardArbiterPUF,0,1.94,0.00606,0.9999816380314192,0.97871
FeedForwardArbiterPUF,0,1.95,0.00606,0.999981638031419,0.97835
FeedForwardArbiterPUF,0,1.96,0.00614,0.9999811500223392,0.97807
FeedForwardArbiterPUF,0,1.97,0.00586,0.9999828300525964,0.97761
FeedForwardArbiterPUF,0,1.98,0.00596,0.9999822390422742,0.97722
FeedForwardArbiterPUF,0,1.99,0.00598,0.9999821196401464,0.97681
FeedForwardArbiterPUF,0,2.0,0.00612,0.9999812726246426,0.9765
FeedForwardArbiterPUF,0,2.01,0.00596,0.9999822390422741,0.97602
FeedForwardArbiterPUF,0,2.02,0.0059,0.9999825948485304,0.97559
FeedForwardArbiterPUF,0,2.03,0.00592,0.999982476646466,0.97518
FeedForwardArbiterPUF,0,2.04,0.006,0.999981999837997,0.97488
FeedForwardArbiterPUF,0,2.05,0.00598,0.9999821196401463,0.97453
FeedForwardArbiterPUF,0,2.06,0.00624,0.9999805310104791,0.97414
FeedForwardArbiterPUF,0,2.07,0.00626,0.9999804060080378,0.97387
FeedForwardArbiterPUF,0,2.08,0.00606,0.999981638031419,0.97349
FeedForwardArbiterPUF,0,2.09,0.00596,0.9999822390422742,0.97312
FeedForwardArbiterPUF,0,2.1,0.00592,0.9999824766464659,0.97268
FeedForwardArbiterPUF,0,2.11,0.00576,0.9999834110624036,0.97224
FeedForwardArbiterPUF,0,2.12,0.00548,0.9999849846872704,0.9719
FeedForwardArbiterPUF,0,2.13,0.00528,0.9999860607028478,0.97144
FeedForwardArbiterPUF,0,2.14,0.00546,0.9999850940889069,0.97091
FeedForwardArbiterPUF,0,2.15,0.00528,0.9999860607028478,0.97048
FeedForwardArbiterPUF,0,2.16,0.00528,0.9999860607028479,0.97008
FeedForwardArbiterPUF,0,2.17,0.00552,0.9999847646839426,0.96972
FeedForwardArbiterPUF,0,2.18,0.00554,0.9999846540822515,0.96933
FeedForwardArbiterPUF,0,2.19,0.00556,0.9999845430805417,0.96892
FeedForwardArbiterPUF,0,2.2,0.0054,0.9999854198937105,0.96858
FeedForwardArbiterPUF,0,2.21,0.00558,0.9999844316788138,0.96823
FeedForwardArbiterPUF,0,2.22,0.00568,0.99998386866989,0.96784
FeedForwardArbiterPUF,0,2.23,0.00564,0.9999840950735168,0.96746
FeedForwardArbiterPUF,0,2.24,0.00552,0.9999847646839426,0.96698
FeedForwardArbiterPUF,0,2.25,0.00574,0.9999835260643049,0.96663
FeedForwardArbiterPUF,0,2.26,0.00578,0.9999832956604826,0.96633
FeedForwardArbiterPUF,0,2.27,0.00562,0.999984207675301,0.96603
FeedForwardArbiterPUF,0,2.28,0.00528,0.9999860607028479,0.9656
FeedForwardArbiterPUF,0,2.29,0.00514,0.9999867901127493,0.96511
FeedForwardArbiterPUF,0,2.3,0.0054,0.9999854198937104,0.96472
FeedForwardArbiterPUF,0,2.31,0.00578,0.9999832956604825,0.96429
FeedForwardArbiterPUF,0,2.32,0.00578,0.9999832956604825,0.96381
FeedForwardArbiterPUF,0,2.33,0.00602,0.9999818796358261,0.96331
FeedForwardArbiterPUF,0,2.34,0.00616,0.9999810270200129,0.96278
FeedForwardArbiterPUF,0,2.35,0.00622,0.9999806556128974,0.96239
FeedForwardArbiterPUF,0,2.36,0.00606,0.999981638031419,0.96209
FeedForwardArbiterPUF,0,2.37,0.00596,0.9999822390422741,0.96168
FeedForwardArbiterPUF,0,2.38,0.00592,0.9999824766464659,0.96134
FeedForwardArbiterPUF,0,2.39,0.00598,0.9999821196401463,0.96093
FeedForwardArbiterPUF,0,2.4,0.00602,0.9999818796358261,0.96047
FeedForwardArbiterPUF,0,2.41,0.00616,0.9999810270200129,0.96004
FeedForwardArbiterPUF,0,2.42,0.00608,0.9999815166291823,0.95972
FeedForwardArbiterPUF,0,2.43,0.00632,0.9999800286005716,0.95938
FeedForwardArbiterPUF,0,2.44,0.00638,0.9999796475928898,0.95895
FeedForwardArbiterPUF,0,2.45,0.00638,0.9999796475928897,0.95837
FeedForwardArbiterPUF,0,2.46,0.00654,0.9999786139713189,0.95791
FeedForwardArbiterPUF,0,2.47,0.00644,0.9999792629849883,0.95748
FeedForwardArbiterPUF,0,2.48,0.0063,0.9999801548030842,0.95719
FeedForwardArbiterPUF,0,2.49,0.00628,0.9999802806055728,0.95674
FeedForwardArbiterPUF,0,2.5,0.00642,0.9999793915876468,0.95621
FeedForwardArbiterPUF,0,2.51,0.00628,0.9999802806055728,0.9558
FeedForwardArbiterPUF,0,2.52,0.0065,0.9999788747768623,0.95539
FeedForwardArbiterPUF,0,2.53,0.00636,0.9999797749954746,0.95488
FeedForwardArbiterPUF,0,2.54,0.00652,0.9999787445741036,0.9544
FeedForwardArbiterPUF,0,2.55,0.00664,0.9999779549570079,0.954
FeedForwardArbiterPUF,0,2.56,0.00668,0.9999776885510997,0.95356
FeedForwardArbiterPUF,0,2.57,0.00666,0.9999778219540671,0.95321
FeedForwardArbiterPUF,0,2.58,0.00658,0.9999783515656728,0.95283
FeedForwardArbiterPUF,0,2.59,0.0066,0.9999782197628106,0.95238
FeedForwardArbiterPUF,0,2.6,0.00648,0.9999790045795961,0.95188
FeedForwardArbiterPUF,0,2.61,0.0066,0.9999782197628106,0.95152
FeedForwardArbiterPUF,0,2.62,0.00648,0.9999790045795961,0.9511
FeedForwardArbiterPUF,0,2.63,0.00632,0.9999800286005716,0.95064
FeedForwardArbiterPUF,0,2.64,0.00642,0.9999793915876469,0.95019
FeedForwardArbiterPUF,0,2.65,0.0064,0.9999795197902804,0.9498
FeedForwardArbiterPUF,0,2.66,0.0064,0.9999795197902804,0.94928
FeedForwardArbiterPUF,0,2.67,0.00654,0.9999786139713188,0.94877
FeedForwardArbiterPUF,0,2.68,0.00654,0.9999786139713189,0.94837
FeedForwardArbiterPUF,0,2.69,0.00652,0.9999787445741036,0.94782
FeedForwardArbiterPUF,0,2.7,0.00636,0.9999797749954745,0.94746
FeedForwardArbiterPUF,0,2.71,0.00628,0.9999802806055728,0.94704
FeedForwardArbiterPUF,0,2.72,0.00626,0.9999804060080378,0.94665
FeedForwardArbiterPUF,0,2.73,0.0062,0.9999807798152922,0.94612
FeedForwardArbiterPUF,0,2.74,0.00614,0.9999811500223392,0.94577
FeedForwardArbiterPUF,0,2.75,0.00614,0.9999811500223392,0.94521
FeedForwardArbiterPUF,0,2.76,0.00628,0.9999802806055726,0.94482
FeedForwardArbiterPUF,0,2.77,0.00626,0.9999804060080378,0.94425
FeedForwardArbiterPUF,0,2.78,0.00638,0.9999796475928898,0.94373
FeedForwardArbiterPUF,0,2.79,0.00646,0.9999791339823048,0.94333
FeedForwardArbiterPUF,0,2.8,0.00634,0.9999799019980352,0.94311
FeedForwardArbiterPUF,0,2.81,0.0067,0.9999775547481053,0.94257
FeedForwardArbiterPUF,0,2.82,0.00664,0.9999779549570079,0.94218
