PUF,Temperature,Vdd,Bias,Std,Reliability
FeedForwardArbiterPUF,0,1.0,-0.00242,0.9999970717957126,0.99625
FeedForwardArbiterPUF,5,1.0,-0.00244,0.9999970231955695,0.99704
FeedForwardArbiterPUF,10,1.0,-0.0024,0.9999971199958527,0.99786
FeedForwardArbiterPUF,15,1.0,-0.0021,0.999997794997569,0.99869
FeedForwardArbiterPUF,20,1.0,-0.00186,0.999998270198504,0.99939
FeedForwardArbiterPUF,25,1.0,-0.00168,0.9999985887990042,1.0
FeedForwardArbiterPUF,30,1.0,-0.0017,0.9999985549989561,0.99945
FeedForwardArbiterPUF,35,1.0,-0.00186,0.999998270198504,0.99887
FeedForwardArbiterPUF,40,1.0,-0.00194,0.9999981181982296,0.99829
FeedForwardArbiterPUF,45,1.0,-0.0018,0.9999983799986877,0.9978
FeedForwardArbiterPUF,50,1.0,-0.00158,0.9999987517992208,0.99731
FeedForwardArbiterPUF,55,1.0,-0.00192,0.9999981567983012,0.99676
FeedForwardArbiterPUF,60,1.0,-0.00176,0.9999984511988008,0.99634
FeedForwardArbiterPUF,65,1.0,-0.00194,0.9999981181982296,0.99593
FeedForwardArbiterPUF,70,1.0,-0.00184,0.9999983071985673,0.99548
FeedForwardArbiterPUF,75,1.0,-0.00184,0.9999983071985673,0.99516
FeedForwardArbiterPUF,80,1.0,-0.00188,0.9999982327984387,0.99468
FeedForwardArbiterPUF,85,1.0,-0.00196,0.9999980791981555,0.9943
FeedForwardArbiterPUF,90,1.0,-0.00198,0.9999980397980789,0.99381
FeedForwardArbiterPUF,95,1.0,-0.00188,0.9999982327984387,0.99338
FeedForwardArbiterPUF,0,1.35,-0.00276,0.9999961911927467,0.99541
FeedForwardArbiterPUF,5,1.35,-0.0031,0.9999951949884559,0.9964
FeedForwardArbiterPUF,10,1.35,-0.00286,0.9999959101916368,0.99726
FeedForwardArbiterPUF,15,1.35,-0.00316,0.9999950071875359,0.99805
FeedForwardArbiterPUF,20,1.35,-0.00186,0.999998270198504,0.99008
FeedForwardArbiterPUF,25,1.35,-0.00294,0.999995678190661,1.0
FeedForwardArbiterPUF,30,1.35,-0.0028,0.9999960799923167,0.99919
FeedForwardArbiterPUF,35,1.35,-0.00276,0.9999961911927466,0.99845
FeedForwardArbiterPUF,40,1.35,-0.00294,0.9999956781906609,0.99772
FeedForwardArbiterPUF,45,1.35,-0.00288,0.9999958527914004,0.99709
FeedForwardArbiterPUF,50,1.35,-0.00292,0.9999957367909124,0.99639
FeedForwardArbiterPUF,55,1.35,-0.00272,0.9999963007931578,0.99567
FeedForwardArbiterPUF,60,1.35,-0.00274,0.9999962461929546,0.995
FeedForwardArbiterPUF,65,1.35,-0.00274,0.9999962461929546,0.99436
FeedForwardArbiterPUF,70,1.35,-0.00252,0.9999968247949591,0.99371
FeedForwardArbiterPUF,75,1.35,-0.00232,0.9999973087963786,0.99313
FeedForwardArbiterPUF,80,1.35,-0.00244,0.9999970231955695,0.99247
FeedForwardArbiterPUF,85,1.35,-0.00224,0.9999974911968531,0.99183
FeedForwardArbiterPUF,90,1.35,-0.00234,0.9999972621962523,0.99114
FeedForwardArbiterPUF,95,1.35,-0.0021,0.9999977949975691,0.99054
FeedForwardArbiterPUF,0,1.8,-0.00244,0.9999970231955694,0.99304
FeedForwardArbiterPUF,5,1.8,-0.00228,0.9999974007966221,0.99458
FeedForwardArbiterPUF,10,1.8,-0.0021,0.999997794997569,0.99589
FeedForwardArbiterPUF,15,1.8,-0.00194,0.9999981181982296,0.99739
FeedForwardArbiterPUF,20,1.8,-0.00218,0.9999976237971769,0.99885
FeedForwardArbiterPUF,25,1.8,-0.0024,0.9999971199958527,1.0
FeedForwardArbiterPUF,30,1.8,-0.00248,0.9999969247952715,0.99878
FeedForwardArbiterPUF,35,1.8,-0.00282,0.9999960237920948,0.99769
FeedForwardArbiterPUF,40,1.8,-0.00262,0.99999656779411,0.99663
FeedForwardArbiterPUF,45,1.8,-0.00284,0.9999959671918681,0.9956
FeedForwardArbiterPUF,50,1.8,-0.00278,0.9999961357925339,0.99449
FeedForwardArbiterPUF,55,1.8,-0.00306,0.9999953181890405,0.99353
FeedForwardArbiterPUF,60,1.8,-0.00274,0.9999962461929546,0.99263
FeedForwardArbiterPUF,65,1.8,-0.00276,0.9999961911927466,0.99186
FeedForwardArbiterPUF,70,1.8,-0.0028,0.9999960799923168,0.991
FeedForwardArbiterPUF,75,1.8,-0.00292,0.9999957367909124,0.99014
FeedForwardArbiterPUF,80,1.8,-0.00284,0.9999959671918682,0.98944
FeedForwardArbiterPUF,85,1.8,-0.00298,0.9999955597901422,0.98881
FeedForwardArbiterPUF,90,1.8,-0.00312,0.9999951327881552,0.98818
FeedForwardArbiterPUF,95,1.8,-0.00304,0.999995379189324,0.98734
FeedForwardArbiterPUF,0,2.5,-0.00414,0.9999914301632788,0.98877
FeedForwardArbiterPUF,5,2.5,-0.00374,0.9999930061755432,0.99137
FeedForwardArbiterPUF,10,2.5,-0.00354,0.9999937341803697,0.99391
FeedForwardArbiterPUF,15,2.5,-0.00276,0.9999961911927466,0.99624
FeedForwardArbiterPUF,20,2.5,-0.00248,0.9999969247952716,0.9981
FeedForwardArbiterPUF,25,2.5,-0.00248,0.9999969247952716,1.0
FeedForwardArbiterPUF,30,2.5,-0.00254,0.999996774194797,0.99819
FeedForwardArbiterPUF,35,2.5,-0.00222,0.9999975357969639,0.99625
FeedForwardArbiterPUF,40,2.5,-0.00206,0.999997878197749,0.99457
FeedForwardArbiterPUF,45,2.5,-0.00244,0.9999970231955695,0.99304
FeedForwardArbiterPUF,50,2.5,-0.0027,0.9999963549933568,0.99139
FeedForwardArbiterPUF,55,2.5,-0.0025,0.999996874995117,0.98973
FeedForwardArbiterPUF,60,2.5,-0.00222,0.9999975357969639,0.98827
FeedForwardArbiterPUF,65,2.5,-0.00238,0.9999971677959894,0.98705
FeedForwardArbiterPUF,70,2.5,-0.0024,0.9999971199958527,0.98592
FeedForwardArbiterPUF,75,2.5,-0.00262,0.99999656779411,0.98455
FeedForwardArbiterPUF,80,2.5,-0.00256,0.9999967231946314,0.98334
FeedForwardArbiterPUF,85,2.5,-0.00238,0.9999971677959894,0.98233
FeedForwardArbiterPUF,90,2.5,-0.00222,0.9999975357969639,0.98119
FeedForwardArbiterPUF,95,2.5,-0.00212,0.9999977527974749,0.98022
