PUF,Temperature,Vdd,Bias,Std,Reliability
InterposePUF,0,0.5,-0.0393,0.9992274565883387,0.78644
InterposePUF,0,0.51,-0.03898,0.9992399909931549,0.78872
InterposePUF,0,0.52,-0.03864,0.9992531963421485,0.79077
InterposePUF,0,0.53,-0.03876,0.9992485488605924,0.79287
InterposePUF,0,0.54,-0.0389,0.9992431085576724,0.7951
InterposePUF,0,0.55,-0.03934,0.999225882571103,0.79734
InterposePUF,0,0.56,-0.03962,0.9992148195458272,0.79914
InterposePUF,0,0.57,-0.04002,0.9991988789024936,0.80096
InterposePUF,0,0.58,-0.03996,0.9992012802233593,0.80307
InterposePUF,0,0.59,-0.0398,0.9992076661034983,0.80547
InterposePUF,0,0.6,-0.03956,0.9992171968095824,0.80757
InterposePUF,0,0.61,-0.03918,0.9992321690177912,0.80964
InterposePUF,0,0.62,-0.03898,0.9992399909931546,0.81166
InterposePUF,0,0.63,-0.03874,0.999249324443104,0.81398
InterposePUF,0,0.64,-0.03778,0.9992860809598021,0.81608
InterposePUF,0,0.65,-0.03726,0.999305605107867,0.81832
InterposePUF,0,0.66,-0.03686,0.9993204392986265,0.82084
InterposePUF,0,0.67,-0.03682,0.9993219138996202,0.82316
InterposePUF,0,0.68,-0.03656,0.9993314597269517,0.82521
InterposePUF,0,0.69,-0.03634,0.9993394840593458,0.82752
InterposePUF,0,0.7,-0.03652,0.9993329223036734,0.82961
InterposePUF,0,0.71,-0.03658,0.9993307278373862,0.83204
InterposePUF,0,0.72,-0.03652,0.9993329223036734,0.83415
InterposePUF,0,0.73,-0.03672,0.9993255933878609,0.83643
InterposePUF,0,0.74,-0.03676,0.9993241227950017,0.83887
InterposePUF,0,0.75,-0.03646,0.9993351131627468,0.84142
InterposePUF,0,0.76,-0.03688,0.9993197013969054,0.84369
InterposePUF,0,0.77,-0.0367,0.999326328083074,0.84612
InterposePUF,0,0.78,-0.03662,0.9993292628558418,0.84796
InterposePUF,0,0.79,-0.0364,0.9993373004146299,0.85043
InterposePUF,0,0.8,-0.0364,0.9993373004146299,0.85261
InterposePUF,0,0.81,-0.0368,0.9993226505988947,0.85519
InterposePUF,0,0.82,-0.0372,0.9993078404575839,0.85759
InterposePUF,0,0.83,-0.03692,0.9993182243910097,0.85997
InterposePUF,0,0.84,-0.03668,0.999327062377478,0.86237
InterposePUF,0,0.85,-0.03634,0.9993394840593459,0.86476
InterposePUF,0,0.86,-0.03622,0.9993438405273734,0.86732
InterposePUF,0,0.87,-0.03578,0.9993596908020654,0.86962
InterposePUF,0,0.88,-0.03568,0.9993632660849607,0.87207
InterposePUF,0,0.89,-0.0352,0.9993802879785051,0.87495
InterposePUF,0,0.9,-0.03522,0.9993795833415849,0.87744
InterposePUF,0,0.91,-0.03502,0.9993866116773829,0.87996
InterposePUF,0,0.92,-0.03472,0.9993970790431598,0.88233
InterposePUF,0,0.93,-0.03462,0.9994005481287271,0.88502
InterposePUF,0,0.94,-0.03478,0.9993949927831338,0.88736
InterposePUF,0,0.95,-0.03468,0.999398467879554,0.89003
InterposePUF,0,0.96,-0.0351,0.9993838051519546,0.8928
InterposePUF,0,0.97,-0.03534,0.9993753471043799,0.89546
InterposePUF,0,0.98,-0.03504,0.9993859106471332,0.89799
InterposePUF,0,0.99,-0.0347,0.9993977736617188,0.9007
InterposePUF,0,1.0,-0.03458,0.9994019329579064,0.90324
InterposePUF,0,1.01,-0.0344,0.9994081448537429,0.90581
InterposePUF,0,1.02,-0.03428,0.9994122680855984,0.90827
InterposePUF,0,1.03,-0.03488,0.9993915076685412,0.91107
InterposePUF,0,1.04,-0.03472,0.9993970790431597,0.91353
InterposePUF,0,1.05,-0.03428,0.9994122680855985,0.91647
InterposePUF,0,1.06,-0.03398,0.9994225130544139,0.91904
InterposePUF,0,1.07,-0.03444,0.9994067672374447,0.92179
InterposePUF,0,1.08,-0.03458,0.9994019329579064,0.92456
InterposePUF,0,1.09,-0.035,0.9993873123068953,0.92735
InterposePUF,0,1.1,-0.03476,0.9993956886038682,0.93017
InterposePUF,0,1.11,-0.03506,0.9993852092161462,0.93284
InterposePUF,0,1.12,-0.03484,0.9993929029165658,0.93573
InterposePUF,0,1.13,-0.03522,0.999379583341585,0.9383
InterposePUF,0,1.14,-0.03498,0.9993880125356717,0.9409
InterposePUF,0,1.15,-0.03456,0.9994026247714183,0.94375
InterposePUF,0,1.16,-0.03404,0.9994204712732274,0.94675
InterposePUF,0,1.17,-0.0343,0.9994115818820594,0.94948
InterposePUF,0,1.18,-0.03326,0.9994467331478953,0.9522
InterposePUF,0,1.19,-0.03302,0.9994546911191123,0.95472
InterposePUF,0,1.2,-0.03314,0.9994507193453812,0.95756
InterposePUF,0,1.21,-0.03274,0.9994639024997352,0.96024
InterposePUF,0,1.22,-0.03326,0.9994467331478953,0.96308
InterposePUF,0,1.23,-0.03354,0.9994373759270764,0.966
InterposePUF,0,1.24,-0.0333,0.9994454012100912,0.96874
InterposePUF,0,1.25,-0.03348,0.9994393876569002,0.97157
InterposePUF,0,1.26,-0.03322,0.9994480634830405,0.9744
InterposePUF,0,1.27,-0.03338,0.9994427325264816,0.97714
InterposePUF,0,1.28,-0.0335,0.999438717480967,0.97988
InterposePUF,0,1.29,-0.03378,0.9994292929467297,0.98244
InterposePUF,0,1.3,-0.0331,0.9994520448725891,0.98516
InterposePUF,0,1.31,-0.03296,0.9994566715971235,0.98815
InterposePUF,0,1.32,-0.03294,0.9994573309551539,0.99124
InterposePUF,0,1.33,-0.03296,0.9994566715971235,0.99427
InterposePUF,0,1.34,-0.03258,0.9994691308889936,0.99722
InterposePUF,0,1.35,-0.03274,0.9994639024997352,1.0
InterposePUF,0,1.36,-0.03226,0.9994795107454678,0.99738
InterposePUF,0,1.37,-0.03224,0.9994801560811502,0.99423
InterposePUF,0,1.38,-0.03198,0.9994885089884726,0.99132
InterposePUF,0,1.39,-0.03184,0.9994929786646828,0.98823
InterposePUF,0,1.4,-0.0316,0.9995005952974716,0.98493
InterposePUF,0,1.41,-0.03112,0.9995156555052052,0.98185
InterposePUF,0,1.42,-0.03106,0.9995175218073968,0.979
InterposePUF,0,1.43,-0.03144,0.9995056410045918,0.97625
InterposePUF,0,1.44,-0.03154,0.9995024904421199,0.9732
InterposePUF,0,1.45,-0.03164,0.9994993298647077,0.97043
InterposePUF,0,1.46,-0.03154,0.9995024904421199,0.96768
InterposePUF,0,1.47,-0.0307,0.999528643911719,0.96534
InterposePUF,0,1.48,-0.03026,0.9995420613460947,0.96226
InterposePUF,0,1.49,-0.03058,0.9995323224388494,0.9596
InterposePUF,0,1.5,-0.03048,0.9995353768626701,0.95687
InterposePUF,0,1.51,-0.03072,0.9995280294218865,0.95427
InterposePUF,0,1.52,-0.03028,0.999541455668548,0.95129
InterposePUF,0,1.53,-0.03044,0.9995365958282869,0.94875
InterposePUF,0,1.54,-0.02998,0.9995504987743239,0.94608
InterposePUF,0,1.55,-0.02996,0.9995510984436964,0.94331
InterposePUF,0,1.56,-0.02942,0.9995671381152943,0.94058
InterposePUF,0,1.57,-0.0284,0.9995966386498106,0.93799
InterposePUF,0,1.58,-0.02806,0.9996062406767978,0.93558
InterposePUF,0,1.59,-0.02774,0.9996151721537644,0.93316
InterposePUF,0,1.6,-0.0274,0.9996245495184681,0.93069
InterposePUF,0,1.61,-0.0273,0.9996272855419664,0.92788
InterposePUF,0,1.62,-0.02702,0.9996348931484935,0.92512
InterposePUF,0,1.63,-0.02726,0.9996283771482279,0.9227
InterposePUF,0,1.64,-0.02724,0.999628922350689,0.92035
InterposePUF,0,1.65,-0.02704,0.9996343523508984,0.91791
InterposePUF,0,1.66,-0.02662,0.9996456250091831,0.91536
InterposePUF,0,1.67,-0.02592,0.9996640203588404,0.91251
InterposePUF,0,1.68,-0.0255,0.9996748221296763,0.90986
InterposePUF,0,1.69,-0.02562,0.9996717539272577,0.90766
InterposePUF,0,1.7,-0.02498,0.9996879511127461,0.905
InterposePUF,0,1.71,-0.02468,0.9996954024101542,0.90229
InterposePUF,0,1.72,-0.02454,0.9996988488539937,0.89966
InterposePUF,0,1.73,-0.02438,0.9997027636252689,0.8973
InterposePUF,0,1.74,-0.0244,0.9997022756801145,0.89489
InterposePUF,0,1.75,-0.02394,0.9997133971293972,0.89216
InterposePUF,0,1.76,-0.02366,0.9997200630176429,0.88978
InterposePUF,0,1.77,-0.02384,0.9997157868114318,0.88735
InterposePUF,0,1.78,-0.0236,0.9997214812136431,0.88493
InterposePUF,0,1.79,-0.02306,0.9997340828440331,0.88248
InterposePUF,0,1.8,-0.02284,0.9997391331742497,0.88015
InterposePUF,0,1.81,-0.0231,0.9997331593980465,0.87782
InterposePUF,0,1.82,-0.02312,0.999732697074573,0.87569
InterposePUF,0,1.83,-0.02338,0.9997266504400091,0.87304
InterposePUF,0,1.84,-0.02392,0.9997138758664903,0.87121
InterposePUF,0,1.85,-0.02416,0.9997081045985374,0.86879
InterposePUF,0,1.86,-0.02426,0.999705682888719,0.8665
InterposePUF,0,1.87,-0.02414,0.9997085877394474,0.86428
InterposePUF,0,1.88,-0.0242,0.9997071371156654,0.86217
InterposePUF,0,1.89,-0.02378,0.9997172158165528,0.85964
InterposePUF,0,1.9,-0.0237,0.9997191155519635,0.85714
InterposePUF,0,1.91,-0.02366,0.9997200630176429,0.855
InterposePUF,0,1.92,-0.02356,0.9997224246759696,0.85277
InterposePUF,0,1.93,-0.0229,0.9997377606152527,0.85074
InterposePUF,0,1.94,-0.02224,0.9997526606116134,0.84857
InterposePUF,0,1.95,-0.02214,0.9997548801581315,0.84622
InterposePUF,0,1.96,-0.02238,0.9997495364340009,0.8438
InterposePUF,0,1.97,-0.02192,0.9997597279346672,0.84171
InterposePUF,0,1.98,-0.02122,0.9997748304493368,0.83944
InterposePUF,0,1.99,-0.02072,0.9997853177557671,0.83761
InterposePUF,0,2.0,-0.02072,0.9997853177557671,0.83543
InterposePUF,0,2.01,-0.02108,0.9997777921118272,0.83327
InterposePUF,0,2.02,-0.021,0.9997794756845132,0.83121
InterposePUF,0,2.03,-0.02064,0.9997869725096442,0.82911
InterposePUF,0,2.04,-0.02006,0.9997987779548444,0.82738
InterposePUF,0,2.05,-0.01956,0.9998086848992661,0.82553
InterposePUF,0,2.06,-0.0187,0.9998251397119398,0.82362
InterposePUF,0,2.07,-0.01822,0.9998340020223357,0.82146
InterposePUF,0,2.08,-0.0182,0.9998343662827358,0.81951
InterposePUF,0,2.09,-0.01846,0.9998295996818656,0.81756
InterposePUF,0,2.1,-0.01826,0.9998332723009372,0.8154
InterposePUF,0,2.11,-0.0182,0.9998343662827357,0.81357
InterposePUF,0,2.12,-0.0181,0.999836181581763,0.81154
InterposePUF,0,2.13,-0.01812,0.9998358193223524,0.80975
InterposePUF,0,2.14,-0.01794,0.9998390652500032,0.80776
InterposePUF,0,2.15,-0.0171,0.999853784310486,0.8059
InterposePUF,0,2.16,-0.01694,0.9998565079050095,0.80418
InterposePUF,0,2.17,-0.01674,0.999859876382686,0.8021
InterposePUF,0,2.18,-0.0164,0.9998655109563485,0.80037
InterposePUF,0,2.19,-0.01656,0.9998628737982024,0.79829
InterposePUF,0,2.2,-0.0166,0.9998622105070276,0.79629
InterposePUF,0,2.21,-0.01704,0.9998548086597374,0.79443
InterposePUF,0,2.22,-0.01724,0.9998513801560709,0.79249
InterposePUF,0,2.23,-0.01684,0.9998581971459753,0.79077
InterposePUF,0,2.24,-0.01684,0.9998581971459753,0.78883
InterposePUF,0,2.25,-0.01648,0.9998641955785794,0.78723
InterposePUF,0,2.26,-0.01648,0.9998641955785794,0.78575
InterposePUF,0,2.27,-0.01634,0.9998664932879787,0.78406
InterposePUF,0,2.28,-0.01634,0.9998664932879787,0.7823
InterposePUF,0,2.29,-0.01614,0.9998697417163896,0.78082
InterposePUF,0,2.3,-0.016,0.9998719918069512,0.77943
InterposePUF,0,2.31,-0.01624,0.9998681225041631,0.77797
InterposePUF,0,2.32,-0.01626,0.9998677974612443,0.77632
InterposePUF,0,2.33,-0.0163,0.9998671461749307,0.77452
InterposePUF,0,2.34,-0.01632,0.9998668199315346,0.77289
InterposePUF,0,2.35,-0.01566,0.9998773746815158,0.77126
InterposePUF,0,2.36,-0.01568,0.9998770612430309,0.76957
InterposePUF,0,2.37,-0.0151,0.999885988500689,0.76816
InterposePUF,0,2.38,-0.01456,0.9998939975817436,0.76671
InterposePUF,0,2.39,-0.01348,0.9999091406722914,0.76527
InterposePUF,0,2.4,-0.01326,0.999912082335242,0.7632
InterposePUF,0,2.41,-0.01296,0.9999160156733164,0.76157
InterposePUF,0,2.42,-0.01288,0.9999170493595957,0.75991
InterposePUF,0,2.43,-0.0131,0.9999141913184351,0.75848
InterposePUF,0,2.44,-0.01272,0.9999190975273952,0.75711
InterposePUF,0,2.45,-0.01278,0.9999183324652069,0.75558
InterposePUF,0,2.46,-0.0124,0.9999231170445055,0.75411
InterposePUF,0,2.47,-0.01268,0.9999196055683678,0.75251
InterposePUF,0,2.48,-0.0125,0.9999218719480037,0.75094
InterposePUF,0,2.49,-0.0119,0.9999291924931485,0.74936
InterposePUF,0,2.5,-0.0116,0.9999327177365486,0.74777
InterposePUF,0,2.51,-0.01132,0.9999359267473091,0.74643
InterposePUF,0,2.52,-0.01154,0.999933411983018,0.7449
InterposePUF,0,2.53,-0.0111,0.9999383931022952,0.74328
InterposePUF,0,2.54,-0.01086,0.999941028461179,0.74202
InterposePUF,0,2.55,-0.01066,0.999943180585777,0.74062
InterposePUF,0,2.56,-0.0109,0.9999405932354181,0.73934
InterposePUF,0,2.57,-0.0107,0.9999427533614111,0.73796
InterposePUF,0,2.58,-0.01028,0.9999471594039359,0.73661
