PUF,Temperature,Vdd,Bias,Std,Reliability
InterposePUF,0,1.0,-0.03432,0.9994108952778131,0.97062
InterposePUF,5,1.0,-0.03466,0.9993991616966665,0.97673
InterposePUF,10,1.0,-0.03504,0.9993859106471332,0.98278
InterposePUF,15,1.0,-0.0364,0.9993373004146299,0.9887
InterposePUF,20,1.0,-0.03516,0.999381696050113,0.99444
InterposePUF,25,1.0,-0.03484,0.9993929029165658,1.0
InterposePUF,30,1.0,-0.03508,0.9993845073844201,0.99454
InterposePUF,35,1.0,-0.03574,0.9993611221175256,0.98947
InterposePUF,40,1.0,-0.03496,0.9993887123637129,0.98468
InterposePUF,45,1.0,-0.0355,0.9993696763460457,0.97979
InterposePUF,50,1.0,-0.03518,0.9993809922146807,0.97533
InterposePUF,55,1.0,-0.03468,0.999398467879554,0.97096
InterposePUF,60,1.0,-0.03534,0.9993753471043799,0.96701
InterposePUF,65,1.0,-0.0349,0.9993908094434328,0.96319
InterposePUF,70,1.0,-0.03498,0.9993880125356717,0.95921
InterposePUF,75,1.0,-0.03464,0.9993998551130573,0.95554
InterposePUF,80,1.0,-0.03446,0.9994060778282269,0.95195
InterposePUF,85,1.0,-0.03488,0.9993915076685412,0.94846
InterposePUF,90,1.0,-0.0343,0.9994115818820594,0.94501
InterposePUF,95,1.0,-0.03398,0.9994225130544139,0.94237
InterposePUF,0,1.35,-0.02962,0.9995612315411199,0.96019
InterposePUF,5,1.35,-0.03112,0.9995156555052052,0.96868
InterposePUF,10,1.35,-0.03152,0.9995031213558063,0.97706
InterposePUF,15,1.35,-0.03198,0.9994885089884726,0.98499
InterposePUF,20,1.35,-0.03212,0.9994840196821558,0.99266
InterposePUF,25,1.35,-0.03284,0.999460621735544,1.0
InterposePUF,30,1.35,-0.03374,0.9994306441169393,0.99291
InterposePUF,35,1.35,-0.0341,0.9994184258857748,0.98593
InterposePUF,40,1.35,-0.03318,0.999449392215534,0.97903
InterposePUF,45,1.35,-0.03388,0.999425908009193,0.97262
InterposePUF,50,1.35,-0.03374,0.9994306441169393,0.96657
InterposePUF,55,1.35,-0.03428,0.9994122680855985,0.96074
InterposePUF,60,1.35,-0.0339,0.9994252298196197,0.95499
InterposePUF,65,1.35,-0.03448,0.9994053880182957,0.94972
InterposePUF,70,1.35,-0.0343,0.9994115818820594,0.94443
InterposePUF,75,1.35,-0.03428,0.9994122680855985,0.9396
InterposePUF,80,1.35,-0.03454,0.999403316184212,0.93501
InterposePUF,85,1.35,-0.03466,0.9993991616966665,0.93049
InterposePUF,90,1.35,-0.03614,0.9993467368236112,0.92633
InterposePUF,95,1.35,-0.03588,0.9993561054999363,0.92208
InterposePUF,0,1.8,-0.02406,0.9997105162995936,0.94882
InterposePUF,5,1.8,-0.02606,0.9996603805293076,0.96006
InterposePUF,10,1.8,-0.02452,0.9996993396016625,0.97045
InterposePUF,15,1.8,-0.02458,0.9996978661575705,0.98042
InterposePUF,20,1.8,-0.0247,0.999694908459576,0.99054
InterposePUF,25,1.8,-0.02558,0.9996727782629673,1.0
InterposePUF,30,1.8,-0.02616,0.9996577686388477,0.99065
InterposePUF,35,1.8,-0.02694,0.999637052334496,0.98124
InterposePUF,40,1.8,-0.02768,0.9996168353924416,0.97223
InterposePUF,45,1.8,-0.02874,0.9995869208828216,0.9637
InterposePUF,50,1.8,-0.029,0.9995794115526788,0.95605
InterposePUF,55,1.8,-0.02842,0.9995960702203667,0.94872
InterposePUF,60,1.8,-0.02946,0.9995659600046413,0.94168
InterposePUF,65,1.8,-0.0299,0.9995528950485814,0.93432
InterposePUF,70,1.8,-0.02966,0.9995600454199837,0.92778
InterposePUF,75,1.8,-0.03046,0.999535986545757,0.92146
InterposePUF,80,1.8,-0.03176,0.9994955239519585,0.91531
InterposePUF,85,1.8,-0.03196,0.9994891487154826,0.90893
InterposePUF,90,1.8,-0.03228,0.9994788650091607,0.90305
InterposePUF,95,1.8,-0.03206,0.9994859460742808,0.89764
InterposePUF,0,2.5,-0.01218,0.9999258210487416,0.93928
InterposePUF,5,2.5,-0.01346,0.9999094100967348,0.95142
InterposePUF,10,2.5,-0.01512,0.9998856862661851,0.96377
InterposePUF,15,2.5,-0.01484,0.999889881136918,0.97553
InterposePUF,20,2.5,-0.01598,0.9998723116478425,0.98772
InterposePUF,25,2.5,-0.01626,0.9998677974612442,1.0
InterposePUF,30,2.5,-0.01808,0.9998365434409767,0.98807
InterposePUF,35,2.5,-0.0183,0.999832540978738,0.97646
InterposePUF,40,2.5,-0.0198,0.9998039607843128,0.96537
InterposePUF,45,2.5,-0.02062,0.999787385197473,0.955
InterposePUF,50,2.5,-0.02126,0.9997739806576285,0.94494
InterposePUF,55,2.5,-0.02206,0.9997566485900456,0.93532
InterposePUF,60,2.5,-0.0228,0.999740046212014,0.92619
InterposePUF,65,2.5,-0.02304,0.9997345439665472,0.91715
InterposePUF,70,2.5,-0.0229,0.9997377606152525,0.90856
InterposePUF,75,2.5,-0.02344,0.9997252454549698,0.90071
InterposePUF,80,2.5,-0.02464,0.9996963891102137,0.89267
InterposePUF,85,2.5,-0.02548,0.9996753320953761,0.88469
InterposePUF,90,2.5,-0.02512,0.9996844430118935,0.87735
InterposePUF,95,2.5,-0.02468,0.9996954024101542,0.87067
