PUF,Temperature,Vdd,Bias,Std,Reliability
LightweightSecurePUF,0,0.5,-0.00436,0.9999904951548289,0.89887
LightweightSecurePUF,0,0.51,-0.00426,0.9999909261588326,0.89976
LightweightSecurePUF,0,0.52,-0.0046,0.9999894199440311,0.90083
LightweightSecurePUF,0,0.53,-0.0046,0.9999894199440311,0.90187
LightweightSecurePUF,0,0.54,-0.00452,0.9999897847478244,0.90287
LightweightSecurePUF,0,0.55,-0.00492,0.9999878967267554,0.90393
LightweightSecurePUF,0,0.56,-0.00504,0.9999872991193439,0.90503
LightweightSecurePUF,0,0.57,-0.0052,0.9999864799086035,0.90593
LightweightSecurePUF,0,0.58,-0.00518,0.9999865837100015,0.90702
LightweightSecurePUF,0,0.59,-0.00532,0.9999858486998703,0.90819
LightweightSecurePUF,0,0.6,-0.0052,0.9999864799086036,0.90921
LightweightSecurePUF,0,0.61,-0.00548,0.9999849846872703,0.91027
LightweightSecurePUF,0,0.62,-0.0052,0.9999864799086036,0.91137
LightweightSecurePUF,0,0.63,-0.00518,0.9999865837100014,0.9124
LightweightSecurePUF,0,0.64,-0.00516,0.9999866871113835,0.91349
LightweightSecurePUF,0,0.65,-0.0055,0.9999848748856156,0.91464
LightweightSecurePUF,0,0.66,-0.0056,0.9999843198770668,0.91577
LightweightSecurePUF,0,0.67,-0.00558,0.9999844316788138,0.91688
LightweightSecurePUF,0,0.68,-0.00554,0.9999846540822516,0.9181
LightweightSecurePUF,0,0.69,-0.0054,0.9999854198937105,0.91921
LightweightSecurePUF,0,0.7,-0.00558,0.9999844316788137,0.92024
LightweightSecurePUF,0,0.71,-0.00546,0.999985094088907,0.9215
LightweightSecurePUF,0,0.72,-0.00534,0.9999857420983559,0.92264
LightweightSecurePUF,0,0.73,-0.00548,0.9999849846872703,0.92377
LightweightSecurePUF,0,0.74,-0.00554,0.9999846540822515,0.92492
LightweightSecurePUF,0,0.75,-0.00516,0.9999866871113835,0.92613
LightweightSecurePUF,0,0.76,-0.00518,0.9999865837100015,0.92714
LightweightSecurePUF,0,0.77,-0.00552,0.9999847646839426,0.92799
LightweightSecurePUF,0,0.78,-0.00572,0.9999836406661862,0.92903
LightweightSecurePUF,0,0.79,-0.00568,0.99998386866989,0.93037
LightweightSecurePUF,0,0.8,-0.00546,0.9999850940889069,0.93154
LightweightSecurePUF,0,0.81,-0.00548,0.9999849846872703,0.93259
LightweightSecurePUF,0,0.82,-0.0055,0.9999848748856155,0.9338
LightweightSecurePUF,0,0.83,-0.006,0.9999819998379971,0.93483
LightweightSecurePUF,0,0.84,-0.0059,0.9999825948485304,0.9358
LightweightSecurePUF,0,0.85,-0.0061,0.9999813948269238,0.93696
LightweightSecurePUF,0,0.86,-0.00616,0.9999810270200129,0.93801
LightweightSecurePUF,0,0.87,-0.00592,0.999982476646466,0.93929
LightweightSecurePUF,0,0.88,-0.00634,0.9999799019980353,0.94044
LightweightSecurePUF,0,0.89,-0.00598,0.9999821196401464,0.94164
LightweightSecurePUF,0,0.9,-0.00638,0.9999796475928896,0.943
LightweightSecurePUF,0,0.91,-0.00618,0.9999809036176641,0.9442
