PUF,Temperature,Vdd,Bias,Std,Reliability
LightweightSecurePUF,0,1.0,-0.00382,0.9999927037733825,0.98717
LightweightSecurePUF,5,1.0,-0.00382,0.9999927037733825,0.98995
LightweightSecurePUF,10,1.0,-0.00402,0.9999919197673549,0.99259
LightweightSecurePUF,15,1.0,-0.00412,0.9999915127639835,0.99516
LightweightSecurePUF,20,1.0,-0.00402,0.9999919197673549,0.99757
LightweightSecurePUF,25,1.0,-0.00452,0.9999897847478244,1.0
LightweightSecurePUF,30,1.0,-0.00414,0.999991430163279,0.99781
LightweightSecurePUF,35,1.0,-0.00432,0.9999906687564641,0.99576
LightweightSecurePUF,40,1.0,-0.0049,0.999987994927939,0.99387
LightweightSecurePUF,45,1.0,-0.00448,0.9999899647496469,0.99192
LightweightSecurePUF,50,1.0,-0.00464,0.9999892351420587,0.98994
LightweightSecurePUF,55,1.0,-0.00428,0.999990840758054,0.98806
LightweightSecurePUF,60,1.0,-0.0047,0.9999889549390032,0.98621
LightweightSecurePUF,65,1.0,-0.00452,0.9999897847478244,0.98432
LightweightSecurePUF,70,1.0,-0.00384,0.9999926271728209,0.98262
LightweightSecurePUF,75,1.0,-0.0037,0.999993154976573,0.98127
LightweightSecurePUF,80,1.0,-0.00398,0.9999920797686351,0.97955
LightweightSecurePUF,85,1.0,-0.00414,0.9999914301632788,0.97801
LightweightSecurePUF,90,1.0,-0.00404,0.9999918391667004,0.9768
LightweightSecurePUF,95,1.0,-0.00348,0.9999939447816673,0.97538
LightweightSecurePUF,0,1.35,-0.0027,0.999996354993357,0.98173
LightweightSecurePUF,5,1.35,-0.0033,0.9999945549851761,0.98563
LightweightSecurePUF,10,1.35,-0.0031,0.999995194988456,0.98935
LightweightSecurePUF,15,1.35,-0.00328,0.999994620785532,0.99292
LightweightSecurePUF,20,1.35,-0.00348,0.9999939447816673,0.99638
LightweightSecurePUF,25,1.35,-0.00376,0.9999929311750158,1.0
LightweightSecurePUF,30,1.35,-0.00382,0.9999927037733823,0.99671
LightweightSecurePUF,35,1.35,-0.00408,0.9999916767653622,0.99336
LightweightSecurePUF,40,1.35,-0.00338,0.9999942877836853,0.99029
LightweightSecurePUF,45,1.35,-0.00332,0.9999944887848132,0.98754
LightweightSecurePUF,50,1.35,-0.00296,0.9999956191904044,0.98474
LightweightSecurePUF,55,1.35,-0.00272,0.9999963007931578,0.9822
