PUF,Temperature,Vdd,Bias,Std,Reliability
PermutationPUF,0,0.5,-0.0081,0.9999671944618983,0.90032
PermutationPUF,0,0.51,-0.00826,0.9999658856181044,0.90116
PermutationPUF,0,0.52,-0.00838,0.9999648871835451,0.90204
PermutationPUF,0,0.53,-0.00804,0.999967678677666,0.90311
PermutationPUF,0,0.54,-0.0081,0.9999671944618984,0.90426
PermutationPUF,0,0.55,-0.00796,0.9999683186981475,0.90517
PermutationPUF,0,0.56,-0.0082,0.9999663794348288,0.90619
PermutationPUF,0,0.57,-0.00804,0.9999676786776661,0.90723
PermutationPUF,0,0.58,-0.00764,0.9999708147741114,0.90819
PermutationPUF,0,0.59,-0.00756,0.9999714227916716,0.90903
PermutationPUF,0,0.6,-0.00732,0.999973208441106,0.91001
PermutationPUF,0,0.61,-0.0073,0.9999733546450126,0.91106
PermutationPUF,0,0.62,-0.00734,0.9999730618371677,0.91214
PermutationPUF,0,0.63,-0.00756,0.9999714227916717,0.91325
PermutationPUF,0,0.64,-0.00706,0.9999750778894444,0.91416
PermutationPUF,0,0.65,-0.0071,0.9999747946823461,0.91516
PermutationPUF,0,0.66,-0.00692,0.9999760565133545,0.91613
PermutationPUF,0,0.67,-0.00662,0.9999780875599226,0.91722
PermutationPUF,0,0.68,-0.0065,0.9999788747768625,0.91828
PermutationPUF,0,0.69,-0.00662,0.9999780875599226,0.9191
PermutationPUF,0,0.7,-0.00692,0.9999760565133544,0.92019
PermutationPUF,0,0.71,-0.00652,0.9999787445741034,0.92119
PermutationPUF,0,0.72,-0.00652,0.9999787445741035,0.92237
PermutationPUF,0,0.73,-0.00628,0.9999802806055729,0.92347
PermutationPUF,0,0.74,-0.00636,0.9999797749954745,0.92453
PermutationPUF,0,0.75,-0.00632,0.9999800286005717,0.92549
PermutationPUF,0,0.76,-0.00644,0.9999792629849883,0.92655
PermutationPUF,0,0.77,-0.00638,0.9999796475928897,0.92764
PermutationPUF,0,0.78,-0.00636,0.9999797749954745,0.92871
PermutationPUF,0,0.79,-0.00642,0.9999793915876469,0.92976
PermutationPUF,0,0.8,-0.0064,0.9999795197902804,0.93073
PermutationPUF,0,0.81,-0.00574,0.9999835260643049,0.93182
PermutationPUF,0,0.82,-0.0055,0.9999848748856156,0.93306
PermutationPUF,0,0.83,-0.0055,0.9999848748856156,0.93436
PermutationPUF,0,0.84,-0.00522,0.9999863757071892,0.93546
PermutationPUF,0,0.85,-0.00504,0.9999872991193439,0.93677
PermutationPUF,0,0.86,-0.00518,0.9999865837100015,0.93804
PermutationPUF,0,0.87,-0.00512,0.9999868927140995,0.93945
PermutationPUF,0,0.88,-0.00512,0.9999868927140995,0.94059
PermutationPUF,0,0.89,-0.00526,0.9999861661043116,0.94168
PermutationPUF,0,0.9,-0.00538,0.999985527695276,0.94274
PermutationPUF,0,0.91,-0.00514,0.9999867901127493,0.94382
PermutationPUF,0,0.92,-0.00448,0.9999899647496466,0.94495
PermutationPUF,0,0.93,-0.0043,0.9999907549572646,0.94612
PermutationPUF,0,0.94,-0.00428,0.9999908407580541,0.94723
PermutationPUF,0,0.95,-0.004,0.9999919999679996,0.94847
PermutationPUF,0,0.96,-0.00416,0.9999913471625643,0.94961
PermutationPUF,0,0.97,-0.0043,0.9999907549572647,0.9507
PermutationPUF,0,0.98,-0.00464,0.999989235142059,0.95191
PermutationPUF,0,0.99,-0.00456,0.9999896031459528,0.95303
PermutationPUF,0,1.0,-0.0045,0.9999898749487417,0.9541
PermutationPUF,0,1.01,-0.0043,0.9999907549572647,0.95546
PermutationPUF,0,1.02,-0.00422,0.9999910957603572,0.95668
PermutationPUF,0,1.03,-0.00394,0.9999922381698769,0.95806
PermutationPUF,0,1.04,-0.00388,0.9999924727716702,0.95933
PermutationPUF,0,1.05,-0.00384,0.9999926271728209,0.96063
PermutationPUF,0,1.06,-0.00376,0.9999929311750159,0.96201
PermutationPUF,0,1.07,-0.00386,0.99999255017225,0.9632
PermutationPUF,0,1.08,-0.00434,0.9999905821556523,0.9643
PermutationPUF,0,1.09,-0.00424,0.9999910111596003,0.96551
PermutationPUF,0,1.1,-0.0042,0.9999911799611034,0.96671
PermutationPUF,0,1.11,-0.0042,0.9999911799611032,0.96799
PermutationPUF,0,1.12,-0.00446,0.9999900541505399,0.96928
PermutationPUF,0,1.13,-0.00444,0.9999901431514211,0.97073
PermutationPUF,0,1.14,-0.00458,0.9999895117449983,0.97192
PermutationPUF,0,1.15,-0.0049,0.9999879949279391,0.97322
PermutationPUF,0,1.16,-0.00458,0.9999895117449982,0.9745
PermutationPUF,0,1.17,-0.00496,0.9999876991243444,0.97585
PermutationPUF,0,1.18,-0.00492,0.9999878967267554,0.97695
PermutationPUF,0,1.19,-0.00498,0.9999875997231167,0.97804
PermutationPUF,0,1.2,-0.0048,0.9999884799336439,0.97917
PermutationPUF,0,1.21,-0.00512,0.9999868927140995,0.98051
PermutationPUF,0,1.22,-0.00504,0.9999872991193439,0.98199
PermutationPUF,0,1.23,-0.00526,0.9999861661043118,0.98338
PermutationPUF,0,1.24,-0.00492,0.9999878967267554,0.98469
PermutationPUF,0,1.25,-0.00468,0.9999890487400349,0.98601
PermutationPUF,0,1.26,-0.00466,0.9999891421410535,0.9873
PermutationPUF,0,1.27,-0.00478,0.9999885757347432,0.98874
PermutationPUF,0,1.28,-0.00444,0.9999901431514213,0.99017
PermutationPUF,0,1.29,-0.00394,0.9999922381698768,0.99172
PermutationPUF,0,1.3,-0.00404,0.9999918391667004,0.99301
PermutationPUF,0,1.31,-0.004,0.9999919999679996,0.99437
PermutationPUF,0,1.32,-0.0043,0.9999907549572646,0.99576
