PUF,Temperature,Vdd,Bias,Std,Reliability
PermutationPUF,0,1.0,-0.00872,0.9999619800772428,0.98711
PermutationPUF,5,1.0,-0.00852,0.9999637041413054,0.98981
PermutationPUF,10,1.0,-0.00846,0.9999642135596654,0.99244
PermutationPUF,15,1.0,-0.00832,0.9999653882010118,0.99529
PermutationPUF,20,1.0,-0.00824,0.9999660506237199,0.99779
PermutationPUF,25,1.0,-0.00818,0.9999665432403227,1.0
PermutationPUF,30,1.0,-0.00772,0.9999702003559906,0.99775
PermutationPUF,35,1.0,-0.00778,0.999969735342025,0.99534
PermutationPUF,40,1.0,-0.00802,0.9999678392828442,0.9933
PermutationPUF,45,1.0,-0.00822,0.9999662152292945,0.99108
PermutationPUF,50,1.0,-0.00788,0.9999689523180209,0.98899
PermutationPUF,55,1.0,-0.0079,0.9999687945131088,0.98706
PermutationPUF,60,1.0,-0.00796,0.9999683186981475,0.98513
PermutationPUF,65,1.0,-0.00798,0.9999681592930849,0.98338
PermutationPUF,70,1.0,-0.00802,0.9999678392828442,0.9818
PermutationPUF,75,1.0,-0.00816,0.9999667066457762,0.98015
PermutationPUF,80,1.0,-0.00816,0.9999667066457764,0.97861
PermutationPUF,85,1.0,-0.00814,0.9999668696511901,0.977
PermutationPUF,90,1.0,-0.00784,0.9999692667277329,0.97575
PermutationPUF,95,1.0,-0.00738,0.9999727674291934,0.97436
PermutationPUF,0,1.35,-0.00732,0.999973208441106,0.98153
PermutationPUF,5,1.35,-0.00758,0.9999712713873337,0.98556
PermutationPUF,10,1.35,-0.00752,0.9999717244002451,0.98933
PermutationPUF,15,1.35,-0.00752,0.9999717244002452,0.99287
PermutationPUF,20,1.35,-0.0073,0.9999733546450126,0.99646
PermutationPUF,25,1.35,-0.00754,0.9999715737959755,1.0
PermutationPUF,30,1.35,-0.00778,0.9999697353420252,0.99636
PermutationPUF,35,1.35,-0.00718,0.9999742234677853,0.9932
PermutationPUF,40,1.35,-0.00738,0.9999727674291935,0.99004
PermutationPUF,45,1.35,-0.00766,0.999970661769634,0.9869
PermutationPUF,50,1.35,-0.00758,0.9999712713873334,0.98394
PermutationPUF,55,1.35,-0.0076,0.9999711195829608,0.98135
PermutationPUF,60,1.35,-0.00826,0.9999658856181044,0.979
PermutationPUF,65,1.35,-0.0083,0.9999655544067505,0.97666
PermutationPUF,70,1.35,-0.00922,0.9999574948966579,0.97424
PermutationPUF,75,1.35,-0.00862,0.9999628471098315,0.97176
PermutationPUF,80,1.35,-0.00846,0.9999642135596654,0.96984
PermutationPUF,85,1.35,-0.0085,0.9999638743474686,0.9679
PermutationPUF,90,1.35,-0.00836,0.999965054589409,0.96575
PermutationPUF,95,1.35,-0.00816,0.9999667066457764,0.96377
PermutationPUF,0,1.8,-0.00738,0.9999727674291935,0.97456
PermutationPUF,5,1.8,-0.00708,0.9999749364859101,0.97967
PermutationPUF,10,1.8,-0.00692,0.9999760565133544,0.98489
PermutationPUF,15,1.8,-0.0066,0.9999782197628105,0.99009
PermutationPUF,20,1.8,-0.00622,0.9999806556128973,0.99522
PermutationPUF,25,1.8,-0.0061,0.9999813948269238,1.0
PermutationPUF,30,1.8,-0.00608,0.9999815166291826,0.99567
PermutationPUF,35,1.8,-0.00616,0.9999810270200129,0.99105
PermutationPUF,40,1.8,-0.0055,0.9999848748856156,0.98644
PermutationPUF,45,1.8,-0.0059,0.9999825948485304,0.98214
PermutationPUF,50,1.8,-0.00644,0.9999792629849882,0.97833
PermutationPUF,55,1.8,-0.00694,0.9999759179100265,0.9745
PermutationPUF,60,1.8,-0.00698,0.999975639503283,0.97112
PermutationPUF,65,1.8,-0.00706,0.9999750778894443,0.96758
PermutationPUF,70,1.8,-0.00746,0.9999721738128516,0.96452
PermutationPUF,75,1.8,-0.00756,0.9999714227916717,0.96149
PermutationPUF,80,1.8,-0.00738,0.9999727674291935,0.95854
PermutationPUF,85,1.8,-0.0076,0.9999711195829607,0.95583
PermutationPUF,90,1.8,-0.00748,0.999972024408683,0.95301
PermutationPUF,95,1.8,-0.00726,0.9999736458527294,0.9504
PermutationPUF,0,2.5,-0.00696,0.9999757789066693,0.96238
PermutationPUF,5,2.5,-0.00696,0.9999757789066693,0.9703
PermutationPUF,10,2.5,-0.00706,0.9999750778894443,0.97811
PermutationPUF,15,2.5,-0.00736,0.999972914833197,0.9859
PermutationPUF,20,2.5,-0.0073,0.9999733546450127,0.99305
PermutationPUF,25,2.5,-0.00664,0.9999779549570079,1.0
PermutationPUF,30,2.5,-0.0073,0.9999733546450127,0.99289
PermutationPUF,35,2.5,-0.00692,0.9999760565133545,0.98658
PermutationPUF,40,2.5,-0.00732,0.999973208441106,0.98044
PermutationPUF,45,2.5,-0.00814,0.99996686965119,0.97425
PermutationPUF,50,2.5,-0.00798,0.9999681592930848,0.96897
PermutationPUF,55,2.5,-0.00774,0.9999700457513716,0.96353
PermutationPUF,60,2.5,-0.00788,0.9999689523180209,0.95824
PermutationPUF,65,2.5,-0.0078,0.9999695795372978,0.9534
PermutationPUF,70,2.5,-0.0081,0.9999671944618985,0.94839
PermutationPUF,75,2.5,-0.00792,0.9999686363081594,0.94396
PermutationPUF,80,2.5,-0.00736,0.9999729148331968,0.93966
PermutationPUF,85,2.5,-0.00746,0.9999721738128516,0.93563
PermutationPUF,90,2.5,-0.00708,0.9999749364859101,0.93206
PermutationPUF,95,2.5,-0.0069,0.9999761947166542,0.92837
