PUF,Temperature,Vdd,Bias,Std,Reliability
XORArbiterPUF,0,0.5,0.09142,0.9958124239032168,0.89973
XORArbiterPUF,0,0.51,0.09156,0.9957995613576058,0.90074
XORArbiterPUF,0,0.52,0.09128,0.9958252666005217,0.90164
XORArbiterPUF,0,0.53,0.0913,0.9958234331446514,0.90257
XORArbiterPUF,0,0.54,0.09154,0.9958014000793531,0.90351
XORArbiterPUF,0,0.55,0.0918,0.995777465099507,0.90448
XORArbiterPUF,0,0.56,0.09162,0.9957940427618555,0.90543
XORArbiterPUF,0,0.57,0.09126,0.9958270996513399,0.90633
XORArbiterPUF,0,0.58,0.09142,0.9958124239032167,0.90727
XORArbiterPUF,0,0.59,0.09164,0.9957922024197617,0.90848
XORArbiterPUF,0,0.6,0.09138,0.9958160952706078,0.90967
XORArbiterPUF,0,0.61,0.09122,0.9958307645378306,0.91057
XORArbiterPUF,0,0.62,0.0915,0.9958050763076075,0.91153
XORArbiterPUF,0,0.63,0.09182,0.9957756211115031,0.91243
XORArbiterPUF,0,0.64,0.0916,0.995795882698859,0.91334
XORArbiterPUF,0,0.65,0.0913,0.9958234331446514,0.91429
XORArbiterPUF,0,0.66,0.09126,0.99582709965134,0.91555
XORArbiterPUF,0,0.67,0.0911,0.9958417494762911,0.91675
XORArbiterPUF,0,0.68,0.09086,0.9958636756102714,0.91765
XORArbiterPUF,0,0.69,0.09082,0.9958673242957615,0.91881
XORArbiterPUF,0,0.7,0.0912,0.995832596373507,0.92004
XORArbiterPUF,0,0.71,0.0911,0.9958417494762911,0.92109
XORArbiterPUF,0,0.72,0.09134,0.9958197650177466,0.92221
XORArbiterPUF,0,0.73,0.09164,0.9957922024197619,0.92368
XORArbiterPUF,0,0.74,0.09142,0.9958124239032168,0.92483
XORArbiterPUF,0,0.75,0.09126,0.9958270996513399,0.92563
XORArbiterPUF,0,0.76,0.09152,0.9958032383960197,0.92678
XORArbiterPUF,0,0.77,0.09136,0.9958179303467075,0.9278
XORArbiterPUF,0,0.78,0.09102,0.9958490646679347,0.92901
XORArbiterPUF,0,0.79,0.09074,0.9958746168067545,0.93001
XORArbiterPUF,0,0.8,0.09074,0.9958746168067545,0.93113
XORArbiterPUF,0,0.81,0.09076,0.995872794286499,0.93222
XORArbiterPUF,0,0.82,0.09044,0.9959019060128363,0.9334
XORArbiterPUF,0,0.83,0.09012,0.9959309140698466,0.9347
XORArbiterPUF,0,0.84,0.09014,0.9959291041032992,0.93573
XORArbiterPUF,0,0.85,0.0902,0.9959236717740974,0.93692
XORArbiterPUF,0,0.86,0.09012,0.9959309140698466,0.9381
XORArbiterPUF,0,0.87,0.08984,0.9959562110856078,0.93928
XORArbiterPUF,0,0.88,0.0897,0.9959688298335445,0.94029
XORArbiterPUF,0,0.89,0.08962,0.9959760316393161,0.94153
XORArbiterPUF,0,0.9,0.08926,0.9960083596034724,0.94263
XORArbiterPUF,0,0.91,0.08906,0.9960262629067569,0.94379
XORArbiterPUF,0,0.92,0.0887,0.9960583868428597,0.94485
XORArbiterPUF,0,0.93,0.08826,0.9960974713350094,0.94611
XORArbiterPUF,0,0.94,0.08822,0.9961010147570377,0.94721
XORArbiterPUF,0,0.95,0.08814,0.996108096744525,0.94849
XORArbiterPUF,0,0.96,0.08826,0.9960974713350094,0.94967
XORArbiterPUF,0,0.97,0.0887,0.9960583868428597,0.95083
XORArbiterPUF,0,0.98,0.08844,0.9960815059020021,0.95238
XORArbiterPUF,0,0.99,0.08808,0.9961134039857108,0.95352
XORArbiterPUF,0,1.0,0.088,0.9961204746414964,0.95464
XORArbiterPUF,0,1.01,0.08794,0.9961257733840643,0.95585
XORArbiterPUF,0,1.02,0.08812,0.9961098662296242,0.95718
XORArbiterPUF,0,1.03,0.08824,0.9960992432483824,0.95856
XORArbiterPUF,0,1.04,0.0884,0.9960850566091229,0.9598
XORArbiterPUF,0,1.05,0.0884,0.996085056609123,0.96088
XORArbiterPUF,0,1.06,0.08844,0.9960815059020021,0.96206
XORArbiterPUF,0,1.07,0.08862,0.996065507685112,0.96323
XORArbiterPUF,0,1.08,0.08884,0.996045909785287,0.96438
XORArbiterPUF,0,1.09,0.08872,0.9960566056203833,0.96558
XORArbiterPUF,0,1.1,0.08888,0.9960423412686833,0.96696
XORArbiterPUF,0,1.11,0.0886,0.9960672868837727,0.96824
XORArbiterPUF,0,1.12,0.08858,0.9960690656776768,0.96941
XORArbiterPUF,0,1.13,0.08832,0.9960921531665632,0.9708
XORArbiterPUF,0,1.14,0.08782,0.9961363599427541,0.97191
XORArbiterPUF,0,1.15,0.08786,0.9961328327085699,0.97329
XORArbiterPUF,0,1.16,0.08786,0.9961328327085699,0.97459
XORArbiterPUF,0,1.17,0.08706,0.9962030698607588,0.97591
XORArbiterPUF,0,1.18,0.0874,0.9961732981765772,0.97742
XORArbiterPUF,0,1.19,0.08728,0.9961838191819821,0.9787
XORArbiterPUF,0,1.2,0.08682,0.9962240147677631,0.97999
XORArbiterPUF,0,1.21,0.0868,0.9962257575469528,0.98124
XORArbiterPUF,0,1.22,0.08644,0.9962570583940674,0.98266
XORArbiterPUF,0,1.23,0.08632,0.9962674628833363,0.98396
