PUF,Temperature,Vdd,Bias,Std,Reliability
XORArbiterPUF,0,1.0,0.09264,0.9956996687756806,0.98655
XORArbiterPUF,5,1.0,0.09276,0.9956884966695155,0.98925
XORArbiterPUF,10,1.0,0.09242,0.995720113083993,0.9922
XORArbiterPUF,15,1.0,0.09222,0.995738656274828,0.9949
XORArbiterPUF,20,1.0,0.09224,0.9957368037789907,0.99753
XORArbiterPUF,25,1.0,0.09246,0.9957163995837369,1.0
XORArbiterPUF,30,1.0,0.09238,0.9957238249635287,0.99752
XORArbiterPUF,35,1.0,0.09244,0.9957182565364562,0.99533
XORArbiterPUF,40,1.0,0.09236,0.995725680295532,0.99317
XORArbiterPUF,45,1.0,0.09206,0.9957534616560468,0.99128
XORArbiterPUF,50,1.0,0.09212,0.9957479126766973,0.98933
XORArbiterPUF,55,1.0,0.09222,0.995738656274828,0.98708
XORArbiterPUF,60,1.0,0.09174,0.9957829946328667,0.98524
XORArbiterPUF,65,1.0,0.0917,0.9957866789629191,0.98364
XORArbiterPUF,70,1.0,0.09186,0.9957719319201559,0.9821
XORArbiterPUF,75,1.0,0.09216,0.9957442113314042,0.98067
XORArbiterPUF,80,1.0,0.09202,0.9957571589499119,0.97916
XORArbiterPUF,85,1.0,0.09242,0.9957201130839931,0.97762
XORArbiterPUF,90,1.0,0.09258,0.9957052493584634,0.97616
XORArbiterPUF,95,1.0,0.09268,0.9956959463611369,0.97457
XORArbiterPUF,0,1.35,0.0914,0.9958142597894449,0.98164
XORArbiterPUF,5,1.35,0.09122,0.9958307645378306,0.98551
XORArbiterPUF,10,1.35,0.09186,0.9957719319201561,0.98927
XORArbiterPUF,15,1.35,0.09226,0.9957349508779935,0.99303
XORArbiterPUF,20,1.35,0.09226,0.9957349508779935,0.99657
XORArbiterPUF,25,1.35,0.09248,0.995714542225833,1.0
XORArbiterPUF,30,1.35,0.09256,0.9957071087423249,0.99652
XORArbiterPUF,35,1.35,0.09268,0.9956959463611369,0.99346
XORArbiterPUF,40,1.35,0.09244,0.9957182565364563,0.99054
XORArbiterPUF,45,1.35,0.09242,0.9957201130839931,0.98757
XORArbiterPUF,50,1.35,0.0923,0.9957312438605107,0.98497
XORArbiterPUF,55,1.35,0.09244,0.9957182565364562,0.98212
XORArbiterPUF,60,1.35,0.09252,0.9957108262944617,0.97924
