PUF,Temperature,Vdd,Bias,Std,Reliability
XORFeedForwardArbiterPUF,0,0.5,0.0039,0.9999923949710817,0.94427
XORFeedForwardArbiterPUF,0,0.51,0.00396,0.9999921591692605,0.94482
XORFeedForwardArbiterPUF,0,0.52,0.0039,0.9999923949710817,0.94557
XORFeedForwardArbiterPUF,0,0.53,0.00376,0.9999929311750158,0.9461
XORFeedForwardArbiterPUF,0,0.54,0.0037,0.9999931549765729,0.94663
XORFeedForwardArbiterPUF,0,0.55,0.00368,0.9999932287770752,0.94726
XORFeedForwardArbiterPUF,0,0.56,0.00366,0.9999933021775694,0.94775
XORFeedForwardArbiterPUF,0,0.57,0.00352,0.9999938047808097,0.94828
XORFeedForwardArbiterPUF,0,0.58,0.0036,0.9999935199790047,0.94878
XORFeedForwardArbiterPUF,0,0.59,0.00366,0.9999933021775694,0.94929
XORFeedForwardArbiterPUF,0,0.6,0.00394,0.9999922381698769,0.94997
XORFeedForwardArbiterPUF,0,0.61,0.00378,0.9999928557744799,0.95055
XORFeedForwardArbiterPUF,0,0.62,0.00386,0.99999255017225,0.95119
XORFeedForwardArbiterPUF,0,0.63,0.00382,0.9999927037733825,0.95167
XORFeedForwardArbiterPUF,0,0.64,0.00382,0.9999927037733825,0.95231
XORFeedForwardArbiterPUF,0,0.65,0.004,0.9999919999679996,0.95304
XORFeedForwardArbiterPUF,0,0.66,0.00392,0.9999923167704838,0.9536
XORFeedForwardArbiterPUF,0,0.67,0.00394,0.9999922381698769,0.95423
XORFeedForwardArbiterPUF,0,0.68,0.00398,0.9999920797686351,0.95471
XORFeedForwardArbiterPUF,0,0.69,0.00382,0.9999927037733825,0.95531
XORFeedForwardArbiterPUF,0,0.7,0.00394,0.999992238169877,0.95585
XORFeedForwardArbiterPUF,0,0.71,0.00378,0.9999928557744799,0.95649
XORFeedForwardArbiterPUF,0,0.72,0.00358,0.9999935917794672,0.95713
XORFeedForwardArbiterPUF,0,0.73,0.0035,0.999993874981242,0.95781
XORFeedForwardArbiterPUF,0,0.74,0.00344,0.9999940831824957,0.95858
XORFeedForwardArbiterPUF,0,0.75,0.00356,0.9999936631799223,0.95924
XORFeedForwardArbiterPUF,0,0.76,0.00378,0.99999285577448,0.95993
XORFeedForwardArbiterPUF,0,0.77,0.00388,0.9999924727716702,0.96062
XORFeedForwardArbiterPUF,0,0.78,0.00382,0.9999927037733825,0.96115
XORFeedForwardArbiterPUF,0,0.79,0.0038,0.9999927799739355,0.96158
XORFeedForwardArbiterPUF,0,0.8,0.00366,0.9999933021775695,0.96217
XORFeedForwardArbiterPUF,0,0.81,0.00338,0.9999942877836853,0.96299
XORFeedForwardArbiterPUF,0,0.82,0.00346,0.999994014182085,0.96349
XORFeedForwardArbiterPUF,0,0.83,0.00334,0.9999944221844439,0.96403
XORFeedForwardArbiterPUF,0,0.84,0.00352,0.9999938047808097,0.96474
XORFeedForwardArbiterPUF,0,0.85,0.00354,0.9999937341803696,0.96539
XORFeedForwardArbiterPUF,0,0.86,0.00376,0.9999929311750159,0.96596
XORFeedForwardArbiterPUF,0,0.87,0.0034,0.9999942199832959,0.96662
XORFeedForwardArbiterPUF,0,0.88,0.00326,0.9999946861858818,0.96723
XORFeedForwardArbiterPUF,0,0.89,0.00308,0.9999952567887509,0.9678
XORFeedForwardArbiterPUF,0,0.9,0.00306,0.9999953181890405,0.96839
XORFeedForwardArbiterPUF,0,0.91,0.00314,0.9999950701878484,0.96921
XORFeedForwardArbiterPUF,0,0.92,0.0033,0.999994554985176,0.97005
XORFeedForwardArbiterPUF,0,0.93,0.00336,0.9999943551840681,0.97072
XORFeedForwardArbiterPUF,0,0.94,0.00286,0.9999959101916368,0.97151
XORFeedForwardArbiterPUF,0,0.95,0.00284,0.9999959671918682,0.97236
XORFeedForwardArbiterPUF,0,0.96,0.003,0.9999954999898749,0.97294
XORFeedForwardArbiterPUF,0,0.97,0.00282,0.9999960237920947,0.97353
XORFeedForwardArbiterPUF,0,0.98,0.00278,0.9999961357925339,0.97429
XORFeedForwardArbiterPUF,0,0.99,0.0027,0.9999963549933569,0.97487
XORFeedForwardArbiterPUF,0,1.0,0.00278,0.999996135792534,0.97565
XORFeedForwardArbiterPUF,0,1.01,0.00276,0.9999961911927466,0.97624
XORFeedForwardArbiterPUF,0,1.02,0.00302,0.9999954397896021,0.97685
XORFeedForwardArbiterPUF,0,1.03,0.00304,0.9999953791893241,0.97752
XORFeedForwardArbiterPUF,0,1.04,0.00352,0.9999938047808097,0.97814
XORFeedForwardArbiterPUF,0,1.05,0.00354,0.9999937341803696,0.97893
XORFeedForwardArbiterPUF,0,1.06,0.0035,0.9999938749812423,0.97961
XORFeedForwardArbiterPUF,0,1.07,0.0038,0.9999927799739354,0.9803
