PUF,Temperature,Vdd,Bias,Std,Reliability
XORFeedForwardArbiterPUF,0,1.0,0.00388,0.9999924727716702,0.99285
XORFeedForwardArbiterPUF,5,1.0,0.00372,0.9999930807760622,0.99419
XORFeedForwardArbiterPUF,10,1.0,0.0038,0.9999927799739354,0.99559
XORFeedForwardArbiterPUF,15,1.0,0.00396,0.9999921591692607,0.99727
XORFeedForwardArbiterPUF,20,1.0,0.00418,0.999991263761839,0.99886
XORFeedForwardArbiterPUF,25,1.0,0.00458,0.9999895117449983,1.0
XORFeedForwardArbiterPUF,30,1.0,0.00494,0.9999877981255573,0.99874
XORFeedForwardArbiterPUF,35,1.0,0.00476,0.9999886711358286,0.99747
XORFeedForwardArbiterPUF,40,1.0,0.0048,0.999988479933644,0.99625
XORFeedForwardArbiterPUF,45,1.0,0.00468,0.9999890487400349,0.99525
XORFeedForwardArbiterPUF,50,1.0,0.00432,0.9999906687564641,0.99411
XORFeedForwardArbiterPUF,55,1.0,0.00434,0.9999905821556522,0.99322
XORFeedForwardArbiterPUF,60,1.0,0.00446,0.99999005415054,0.99214
XORFeedForwardArbiterPUF,65,1.0,0.00472,0.9999888607379586,0.99125
XORFeedForwardArbiterPUF,70,1.0,0.00486,0.9999881901302635,0.99048
XORFeedForwardArbiterPUF,75,1.0,0.00486,0.9999881901302636,0.98964
XORFeedForwardArbiterPUF,80,1.0,0.00482,0.9999883837325311,0.98882
XORFeedForwardArbiterPUF,85,1.0,0.00492,0.9999878967267554,0.98797
XORFeedForwardArbiterPUF,90,1.0,0.00526,0.9999861661043117,0.9873
XORFeedForwardArbiterPUF,95,1.0,0.00488,0.9999880927291085,0.98661
XORFeedForwardArbiterPUF,0,1.35,0.00262,0.9999965677941101,0.99019
XORFeedForwardArbiterPUF,5,1.35,0.00294,0.9999956781906609,0.99229
XORFeedForwardArbiterPUF,10,1.35,0.00288,0.9999958527914004,0.99446
XORFeedForwardArbiterPUF,15,1.35,0.00274,0.9999962461929546,0.99653
XORFeedForwardArbiterPUF,20,1.35,0.00418,0.999991263761839,0.97971
XORFeedForwardArbiterPUF,25,1.35,0.00268,0.9999964087935517,1.0
XORFeedForwardArbiterPUF,30,1.35,0.00248,0.9999969247952715,0.99802
XORFeedForwardArbiterPUF,35,1.35,0.00282,0.999996023792095,0.99637
XORFeedForwardArbiterPUF,40,1.35,0.00318,0.9999949437872173,0.99481
XORFeedForwardArbiterPUF,45,1.35,0.00336,0.9999943551840679,0.9932
XORFeedForwardArbiterPUF,50,1.35,0.00342,0.9999941517828991,0.99191
XORFeedForwardArbiterPUF,55,1.35,0.0033,0.999994554985176,0.99027
XORFeedForwardArbiterPUF,60,1.35,0.0034,0.9999942199832956,0.9889
XORFeedForwardArbiterPUF,65,1.35,0.00368,0.9999932287770751,0.98754
XORFeedForwardArbiterPUF,70,1.35,0.0038,0.9999927799739354,0.98652
XORFeedForwardArbiterPUF,75,1.35,0.00392,0.9999923167704838,0.98526
XORFeedForwardArbiterPUF,80,1.35,0.00378,0.9999928557744799,0.98421
XORFeedForwardArbiterPUF,85,1.35,0.0038,0.9999927799739353,0.98324
XORFeedForwardArbiterPUF,90,1.35,0.00372,0.9999930807760621,0.98206
XORFeedForwardArbiterPUF,95,1.35,0.00406,0.999991758166036,0.98081
XORFeedForwardArbiterPUF,0,1.8,0.0022,0.9999975799970718,0.98629
XORFeedForwardArbiterPUF,5,1.8,0.0027,0.9999963549933569,0.98928
XORFeedForwardArbiterPUF,10,1.8,0.00228,0.9999974007966221,0.99227
XORFeedForwardArbiterPUF,15,1.8,0.00258,0.9999966717944615,0.99474
XORFeedForwardArbiterPUF,20,1.8,0.00228,0.9999974007966222,0.99753
XORFeedForwardArbiterPUF,25,1.8,0.00222,0.9999975357969639,1.0
XORFeedForwardArbiterPUF,30,1.8,0.00256,0.9999967231946313,0.99767
XORFeedForwardArbiterPUF,35,1.8,0.0022,0.9999975799970717,0.99525
XORFeedForwardArbiterPUF,40,1.8,0.00228,0.9999974007966222,0.99335
XORFeedForwardArbiterPUF,45,1.8,0.00188,0.9999982327984386,0.99119
