PUF Architecture,Stress Type,Min Reliability,At Temp (C),At Vdd (V)
ArbiterPUF,Temperature Stress (Constant Vdd),0.95535,95,2.5
ArbiterPUF,Voltage Stress (Constant T),0.86058,0,3.0
FeedForwardArbiterPUF,Temperature Stress (Constant Vdd),0.98022,95,2.5
FeedForwardArbiterPUF,Voltage Stress (Constant T),0.93406,0,3.0
InterposePUF,Temperature Stress (Constant Vdd),0.87067,95,2.5
InterposePUF,Voltage Stress (Constant T),0.68857,0,3.0
LightweightSecurePUF,Temperature Stress (Constant Vdd),0.92808,95,2.5
LightweightSecurePUF,Voltage Stress (Constant T),0.79669,0,3.0
PermutationPUF,Temperature Stress (Constant Vdd),0.92837,95,2.5
PermutationPUF,Voltage Stress (Constant T),0.79745,0,3.0
XORArbiterPUF,Temperature Stress (Constant Vdd),0.92649,95,2.5
XORArbiterPUF,Voltage Stress (Constant T),0.79806,0,3.0
XORFeedForwardArbiterPUF,Temperature Stress (Constant Vdd),0.96017,95,2.5
XORFeedForwardArbiterPUF,Voltage Stress (Constant T),0.87969,0,3.0
