PUF Architecture,Stress Type,Min Reliability,Filename
ArbiterPUF,Temperature Stress (Constant Vdd),0.95535,ArbiterPUF_performance_data_sweep.csv
ArbiterPUF,Voltage Stress (Constant T),0.86058,ArbiterPUF_performance_data.csv
FeedForwardArbiterPUF,Temperature Stress (Constant Vdd),0.98022,FeedForwardArbiterPUF_performance_data_sweep.csv
FeedForwardArbiterPUF,Voltage Stress (Constant T),0.93311,FeedForwardArbiterPUF_performance_data.csv
InterposePUF,Temperature Stress (Constant Vdd),0.87067,InterposePUF_performance_data_sweep.csv
InterposePUF,Voltage Stress (Constant T),0.68857,InterposePUF_performance_data.csv
LightweightSecurePUF,Temperature Stress (Constant Vdd),0.92808,LightweightSecurePUF_performance_data_sweep.csv
LightweightSecurePUF,Voltage Stress (Constant T),0.79669,LightweightSecurePUF_performance_data.csv
PermutationPUF,Temperature Stress (Constant Vdd),0.92837,PermutationPUF_performance_data_sweep.csv
PermutationPUF,Voltage Stress (Constant T),0.79745,PermutationPUF_performance_data.csv
XORArbiterPUF,Temperature Stress (Constant Vdd),0.92649,XORArbiterPUF_performance_data_sweep.csv
XORArbiterPUF,Voltage Stress (Constant T),0.79806,XORArbiterPUF_performance_data.csv
XORFeedForwardArbiterPUF,Temperature Stress (Constant Vdd),0.96017,XORFeedForwardArbiterPUF_performance_data_sweep.csv
XORFeedForwardArbiterPUF,Voltage Stress (Constant T),0.87264,XORFeedForwardArbiterPUF_performance_data.csv
