PUF Type,Sweep Type,Constant Parameter,Max Reliability,Min Reliability,Median Reliability,Slope
ArbiterPUF,Temperature Sweep,Vdd=1.0,0.9861823999999999,0.9817951999999998,0.9842160000000001,7.272571428570784e-05
ArbiterPUF,Temperature Sweep,Vdd=1.5,0.9775008000000001,0.9704576000000001,0.9744287999999998,0.0001175657142857077
ArbiterPUF,Temperature Sweep,Vdd=2.0,0.9685072,0.9584096000000001,0.9641152000000001,0.00016763428571427407
ArbiterPUF,Temperature Sweep,Vdd=2.5,0.9588816000000002,0.9461455999999998,0.9532032,0.00021019428571428613
ArbiterPUF,Voltage Sweep,T=20,0.9817951999999998,0.9437472,0.9633759999999999,-0.023853199999999627
ArbiterPUF,Voltage Sweep,T=40,0.9834736000000002,0.9488143999999998,0.9667695999999998,-0.02177293333333336
ArbiterPUF,Voltage Sweep,T=60,0.9848832,0.9531247999999998,0.9696783999999999,-0.01989133333333333
ArbiterPUF,Voltage Sweep,T=80,0.9861823999999999,0.9568783999999997,0.9722576,-0.018295733333333362
XORArbiterPUF,Temperature Sweep,Vdd=1.0,0.9491616,0.93404,0.9423552000000001,0.00024994285714284673
XORArbiterPUF,Temperature Sweep,Vdd=1.5,0.9203824,0.8978048,0.9104511999999999,0.00037309714285714145
XORArbiterPUF,Temperature Sweep,Vdd=2.0,0.8916095999999998,0.8621423999999999,0.8783504,0.000491331428571421
XORArbiterPUF,Temperature Sweep,Vdd=2.5,0.8635232,0.8289247999999999,0.8477007999999999,0.0005742971428571407
XORArbiterPUF,Voltage Sweep,T=20,0.93404,0.8223759999999998,0.8762847999999999,-0.0700506666666667
XORArbiterPUF,Voltage Sweep,T=40,0.9398784,0.8359151999999999,0.8864975999999998,-0.06527533333333344
XORArbiterPUF,Voltage Sweep,T=60,0.944712,0.8475295999999999,0.8952399999999998,-0.0609774666666667
XORArbiterPUF,Voltage Sweep,T=80,0.9491616,0.8580288,0.9034207999999999,-0.05705573333333336
FeedForwardArbiterPUF,Temperature Sweep,Vdd=1.0,0.9767472,0.9680736,0.9729984000000002,0.00014382857142856916
FeedForwardArbiterPUF,Temperature Sweep,Vdd=1.5,0.959856,0.9462191999999998,0.9537407999999998,0.0002263199999999964
FeedForwardArbiterPUF,Temperature Sweep,Vdd=2.0,0.9424400000000002,0.9247312,0.9343248,0.000296314285714283
FeedForwardArbiterPUF,Temperature Sweep,Vdd=2.5,0.9254960000000001,0.9056752,0.9162864,0.0003311199999999911
FeedForwardArbiterPUF,Voltage Sweep,T=20,0.9680736,0.9020591999999998,0.9330383999999999,-0.04161466666666666
FeedForwardArbiterPUF,Voltage Sweep,T=40,0.9715391999999998,0.9093424000000001,0.9393775999999999,-0.03918386666666648
FeedForwardArbiterPUF,Voltage Sweep,T=60,0.9743504,0.9162,0.9445792,-0.036691333333333256
FeedForwardArbiterPUF,Voltage Sweep,T=80,0.9767472,0.9223344000000002,0.9494703999999998,-0.03437359999999976
XORFeedForwardArbiterPUF,Temperature Sweep,Vdd=1.0,0.9615472,0.9499423999999999,0.9564271999999997,0.0001942342857142814
XORFeedForwardArbiterPUF,Temperature Sweep,Vdd=1.5,0.9389008,0.9198687999999997,0.9304816,0.0003156857142857152
XORFeedForwardArbiterPUF,Temperature Sweep,Vdd=2.0,0.9144879999999999,0.8866864000000001,0.9023711999999999,0.0004597257142857096
XORFeedForwardArbiterPUF,Temperature Sweep,Vdd=2.5,0.8880560000000001,0.8535295999999999,0.8723424,0.0005779257142857096
XORFeedForwardArbiterPUF,Voltage Sweep,T=20,0.9499423999999999,0.8472080000000001,0.9005039999999996,-0.06491853333333307
XORFeedForwardArbiterPUF,Voltage Sweep,T=40,0.9543615999999999,0.8601072,0.9098095999999998,-0.05920813333333313
XORFeedForwardArbiterPUF,Voltage Sweep,T=60,0.9581951999999999,0.8722063999999998,0.9177536000000001,-0.05386786666666672
XORFeedForwardArbiterPUF,Voltage Sweep,T=80,0.9615472,0.8827808,0.9246559999999999,-0.049225199999999976
LightweightSecurePUF,Temperature Sweep,Vdd=1.0,0.9490959999999997,0.9339439999999998,0.9422528000000001,0.00025100571428570583
LightweightSecurePUF,Temperature Sweep,Vdd=1.5,0.9198831999999999,0.8973472,0.9097743999999999,0.0003742171428571334
LightweightSecurePUF,Temperature Sweep,Vdd=2.0,0.8912399999999998,0.861224,0.8774448000000001,0.0005006685714285611
LightweightSecurePUF,Temperature Sweep,Vdd=2.5,0.8625744000000001,0.8278639999999999,0.8470207999999999,0.0005769542857142879
LightweightSecurePUF,Voltage Sweep,T=20,0.9339439999999998,0.8210047999999996,0.875192,-0.07062799999999986
LightweightSecurePUF,Voltage Sweep,T=40,0.9397151999999999,0.8349216,0.8857599999999999,-0.06575279999999997
LightweightSecurePUF,Voltage Sweep,T=60,0.9446623999999999,0.8468735999999999,0.8948111999999998,-0.0614561333333333
LightweightSecurePUF,Voltage Sweep,T=80,0.9490959999999997,0.8570847999999999,0.902688,-0.05765279999999983
PermutationPUF,Temperature Sweep,Vdd=1.0,0.9486159999999999,0.9335791999999999,0.9418496,0.00025023999999999045
PermutationPUF,Temperature Sweep,Vdd=1.5,0.9193104000000001,0.8962816,0.9090192,0.00038177142857142123
PermutationPUF,Temperature Sweep,Vdd=2.0,0.8903359999999999,0.8606224,0.8768431999999999,0.0004930628571428521
PermutationPUF,Temperature Sweep,Vdd=2.5,0.8620239999999999,0.8269887999999999,0.8455855999999998,0.0005824857142857088
PermutationPUF,Voltage Sweep,T=20,0.9335791999999999,0.8207359999999998,0.8748304000000001,-0.07082306666666678
PermutationPUF,Voltage Sweep,T=40,0.9393007999999998,0.8335984,0.8850335999999999,-0.06621426666666655
PermutationPUF,Voltage Sweep,T=60,0.9443855999999999,0.8454687999999999,0.8937311999999998,-0.0619027999999999
