PUF Type,Sweep Type,Max Reliability,Min Reliability,Median Reliability,Slope
ArbiterPUF,Temperature Sweep,0.9775008000000001,0.9704576000000001,0.9744287999999998,0.0001175657142857077
ArbiterPUF,Voltage Sweep,0.9842160000000001,0.9512191999999999,0.9682848,-0.02072999999999983
XORArbiterPUF,Temperature Sweep,0.9203824,0.8978048,0.9104511999999999,0.00037309714285714145
XORArbiterPUF,Voltage Sweep,0.9423552000000001,0.8418112,0.8910431999999999,-0.06311840000000003
XORBistableRingPUF,Temperature Sweep,1.0,1.0,1.0,-7.737746524404325e-18
XORBistableRingPUF,Voltage Sweep,1.0,1.0,1.0,4.568319288076204e-17
FeedForwardArbiterPUF,Temperature Sweep,0.959856,0.9462191999999998,0.9537407999999998,0.0002263199999999964
FeedForwardArbiterPUF,Voltage Sweep,0.9729984000000002,0.9129984,0.9420559999999999,-0.03782720000000014
XORFeedForwardArbiterPUF,Temperature Sweep,0.9389008,0.9198687999999997,0.9304816,0.0003156857142857152
XORFeedForwardArbiterPUF,Voltage Sweep,0.9564271999999997,0.8663263999999999,0.9138416000000001,-0.05655613333333322
LightweightSecurePUF,Temperature Sweep,0.9198831999999999,0.8973472,0.9097743999999999,0.0003742171428571334
LightweightSecurePUF,Voltage Sweep,0.9422528000000001,0.8411599999999999,0.8906047999999999,-0.06349226666666662
PermutationPUF,Temperature Sweep,0.9193104000000001,0.8962816,0.9090192,0.00038177142857142123
PermutationPUF,Voltage Sweep,0.9418496,0.8397887999999999,0.8897295999999999,-0.06399653333333334
InterposePUF,Temperature Sweep,0.9036335999999998,0.8775840000000001,0.8917392,0.00043594285714284637
InterposePUF,Voltage Sweep,0.9303823999999999,0.8156128,0.8699119999999998,-0.07183720000000003
