PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
4-XOR Arbiter,Least squares Regression,0,0.8,0.5115
4-XOR Arbiter,Least squares Regression,0,0.9,0.509
4-XOR Arbiter,Least squares Regression,0,1.0,0.5075
4-XOR Arbiter,Least squares Regression,0,1.1,0.5095
4-XOR Arbiter,Least squares Regression,0,1.2,0.5045
4-XOR Arbiter,Least squares Regression,0,1.3,0.505
4-XOR Arbiter,Least squares Regression,0,1.4,0.5035
4-XOR Arbiter,Least squares Regression,0,1.5,0.5065
4-XOR Arbiter,Least squares Regression,0,1.6,0.507
4-XOR Arbiter,Least squares Regression,0,1.7,0.5085
4-XOR Arbiter,Least squares Regression,0,1.8,0.51
4-XOR Arbiter,Least squares Regression,0,1.9,0.51
4-XOR Arbiter,Least squares Regression,0,2.0,0.505
4-XOR Arbiter,Least squares Regression,0,2.1,0.5035
4-XOR Arbiter,Least squares Regression,0,2.2,0.508
4-XOR Arbiter,Least squares Regression,0,2.3,0.505
4-XOR Arbiter,Least squares Regression,0,2.4,0.506
4-XOR Arbiter,Least squares Regression,0,2.5,0.51
4-XOR Arbiter,Least squares Regression,0,2.6,0.514
4-XOR Arbiter,Least squares Regression,0,2.7,0.513
4-XOR Arbiter,Least squares Regression,0,2.8,0.5125
4-XOR Arbiter,Least squares Regression,0,2.9,0.512
4-XOR Arbiter,Least squares Regression,10,0.8,0.5105
4-XOR Arbiter,Least squares Regression,10,0.9,0.511
4-XOR Arbiter,Least squares Regression,10,1.0,0.507
4-XOR Arbiter,Least squares Regression,10,1.1,0.509
4-XOR Arbiter,Least squares Regression,10,1.2,0.506
4-XOR Arbiter,Least squares Regression,10,1.3,0.5045
4-XOR Arbiter,Least squares Regression,10,1.4,0.5045
4-XOR Arbiter,Least squares Regression,10,1.5,0.506
4-XOR Arbiter,Least squares Regression,10,1.6,0.5085
4-XOR Arbiter,Least squares Regression,10,1.7,0.508
4-XOR Arbiter,Least squares Regression,10,1.8,0.509
4-XOR Arbiter,Least squares Regression,10,1.9,0.5105
4-XOR Arbiter,Least squares Regression,10,2.0,0.5105
4-XOR Arbiter,Least squares Regression,10,2.1,0.5045
4-XOR Arbiter,Least squares Regression,10,2.2,0.5045
4-XOR Arbiter,Least squares Regression,10,2.3,0.508
4-XOR Arbiter,Least squares Regression,10,2.4,0.505
4-XOR Arbiter,Least squares Regression,10,2.5,0.506
4-XOR Arbiter,Least squares Regression,10,2.6,0.5095
4-XOR Arbiter,Least squares Regression,10,2.7,0.513
4-XOR Arbiter,Least squares Regression,10,2.8,0.513
4-XOR Arbiter,Least squares Regression,10,2.9,0.5115
4-XOR Arbiter,Least squares Regression,20,0.8,0.51
4-XOR Arbiter,Least squares Regression,20,0.9,0.51
4-XOR Arbiter,Least squares Regression,20,1.0,0.509
4-XOR Arbiter,Least squares Regression,20,1.1,0.508
4-XOR Arbiter,Least squares Regression,20,1.2,0.5095
4-XOR Arbiter,Least squares Regression,20,1.3,0.5055
4-XOR Arbiter,Least squares Regression,20,1.4,0.505
4-XOR Arbiter,Least squares Regression,20,1.5,0.504
4-XOR Arbiter,Least squares Regression,20,1.6,0.508
4-XOR Arbiter,Least squares Regression,20,1.7,0.51
4-XOR Arbiter,Least squares Regression,20,1.8,0.508
4-XOR Arbiter,Least squares Regression,20,1.9,0.5095
4-XOR Arbiter,Least squares Regression,20,2.0,0.5095
4-XOR Arbiter,Least squares Regression,20,2.1,0.51
4-XOR Arbiter,Least squares Regression,20,2.2,0.505
4-XOR Arbiter,Least squares Regression,20,2.3,0.5045
4-XOR Arbiter,Least squares Regression,20,2.4,0.508
4-XOR Arbiter,Least squares Regression,20,2.5,0.5055
4-XOR Arbiter,Least squares Regression,20,2.6,0.5065
4-XOR Arbiter,Least squares Regression,20,2.7,0.509
4-XOR Arbiter,Least squares Regression,20,2.8,0.5125
4-XOR Arbiter,Least squares Regression,20,2.9,0.5155
4-XOR Arbiter,Least squares Regression,30,0.8,0.5105
4-XOR Arbiter,Least squares Regression,30,0.9,0.512
4-XOR Arbiter,Least squares Regression,30,1.0,0.509
4-XOR Arbiter,Least squares Regression,30,1.1,0.507
4-XOR Arbiter,Least squares Regression,30,1.2,0.509
4-XOR Arbiter,Least squares Regression,30,1.3,0.506
4-XOR Arbiter,Least squares Regression,30,1.4,0.504
4-XOR Arbiter,Least squares Regression,30,1.5,0.504
4-XOR Arbiter,Least squares Regression,30,1.6,0.505
4-XOR Arbiter,Least squares Regression,30,1.7,0.507
4-XOR Arbiter,Least squares Regression,30,1.8,0.508
4-XOR Arbiter,Least squares Regression,30,1.9,0.509
4-XOR Arbiter,Least squares Regression,30,2.0,0.5085
4-XOR Arbiter,Least squares Regression,30,2.1,0.5105
4-XOR Arbiter,Least squares Regression,30,2.2,0.51
