PUF_Type,Attack_Type,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Num_Grid_Points
Arbiter PUF,Logistic Regression,0.9440530303030303,0.021636376633983018,0.8515,0.9625,330
Arbiter PUF,Logistic Regression,0.9439075757575758,0.0217500909827847,0.85,0.9635,330
Arbiter PUF,Logistic Regression,0.9446378787878786,0.022457601568906055,0.8495,0.965,330
Arbiter PUF,MLP Attack,0.9574530303030304,0.028446601861802936,0.851,0.9845,330
Interpose PUF,MLP Attack,0.9098075757575756,0.04029948608818148,0.787,0.9485,330
Lightweight Secure PUF,MLP Attack,0.5012409090909091,0.004070997840330782,0.491,0.5075,330
XOR Feed-Forward Arbiter,MLP Attack,0.5745000000000001,1.1102230246251565e-16,0.5745,0.5745,330
XOR Feed-Forward Arbiter,MLP Attack,0.566,0.0,0.566,0.566,330
Permutation PUF,MLP Attack,0.4992227272727272,0.0034491455004385563,0.4885,0.507,330
Arbiter PUF,LMN Attack,0.6051151515151516,0.04206913949327126,0.533,0.7185,330
4-XOR Arbiter,Least squares Regression,0.508119696969697,0.0024346127622503024,0.5035,0.5155,330
Feed-Forward Arbiter,Least squares Regression,0.8351151515151514,0.0023764145659300176,0.832,0.841,330
Permutation PUF,Least Squares Regression,0.4863681818181818,0.0073751252499052984,0.473,0.5035,330
Interpose PUF,Least Squares Regression,0.5391151515151514,0.018845594633713613,0.5095,0.5885,330
