PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Feed-Forward Arbiter,Least squares Regression,0,0.8,0.8335
Feed-Forward Arbiter,Least squares Regression,0,0.9,0.8345
Feed-Forward Arbiter,Least squares Regression,0,1.0,0.833
Feed-Forward Arbiter,Least squares Regression,0,1.1,0.8335
Feed-Forward Arbiter,Least squares Regression,0,1.2,0.834
Feed-Forward Arbiter,Least squares Regression,0,1.3,0.834
Feed-Forward Arbiter,Least squares Regression,0,1.4,0.833
Feed-Forward Arbiter,Least squares Regression,0,1.5,0.834
Feed-Forward Arbiter,Least squares Regression,0,1.6,0.836
Feed-Forward Arbiter,Least squares Regression,0,1.7,0.8355
Feed-Forward Arbiter,Least squares Regression,0,1.8,0.8375
Feed-Forward Arbiter,Least squares Regression,0,1.9,0.838
Feed-Forward Arbiter,Least squares Regression,0,2.0,0.84
Feed-Forward Arbiter,Least squares Regression,0,2.1,0.839
Feed-Forward Arbiter,Least squares Regression,0,2.2,0.8395
Feed-Forward Arbiter,Least squares Regression,0,2.3,0.841
Feed-Forward Arbiter,Least squares Regression,0,2.4,0.8395
Feed-Forward Arbiter,Least squares Regression,0,2.5,0.8375
Feed-Forward Arbiter,Least squares Regression,0,2.6,0.837
Feed-Forward Arbiter,Least squares Regression,0,2.7,0.839
Feed-Forward Arbiter,Least squares Regression,0,2.8,0.8385
Feed-Forward Arbiter,Least squares Regression,0,2.9,0.837
Feed-Forward Arbiter,Least squares Regression,10,0.8,0.8345
Feed-Forward Arbiter,Least squares Regression,10,0.9,0.8345
Feed-Forward Arbiter,Least squares Regression,10,1.0,0.8325
Feed-Forward Arbiter,Least squares Regression,10,1.1,0.8335
Feed-Forward Arbiter,Least squares Regression,10,1.2,0.8335
Feed-Forward Arbiter,Least squares Regression,10,1.3,0.833
Feed-Forward Arbiter,Least squares Regression,10,1.4,0.8335
Feed-Forward Arbiter,Least squares Regression,10,1.5,0.833
Feed-Forward Arbiter,Least squares Regression,10,1.6,0.8345
Feed-Forward Arbiter,Least squares Regression,10,1.7,0.836
Feed-Forward Arbiter,Least squares Regression,10,1.8,0.8355
Feed-Forward Arbiter,Least squares Regression,10,1.9,0.837
Feed-Forward Arbiter,Least squares Regression,10,2.0,0.8385
