PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Interpose PUF,Least Squares Regression,0,0.8,0.519
Interpose PUF,Least Squares Regression,0,0.9,0.5195
Interpose PUF,Least Squares Regression,0,1.0,0.523
Interpose PUF,Least Squares Regression,0,1.1,0.527
Interpose PUF,Least Squares Regression,0,1.2,0.5305
Interpose PUF,Least Squares Regression,0,1.3,0.5355
Interpose PUF,Least Squares Regression,0,1.4,0.5345
Interpose PUF,Least Squares Regression,0,1.5,0.5375
Interpose PUF,Least Squares Regression,0,1.6,0.543
Interpose PUF,Least Squares Regression,0,1.7,0.545
Interpose PUF,Least Squares Regression,0,1.8,0.55
Interpose PUF,Least Squares Regression,0,1.9,0.56
Interpose PUF,Least Squares Regression,0,2.0,0.5595
Interpose PUF,Least Squares Regression,0,2.1,0.566
Interpose PUF,Least Squares Regression,0,2.2,0.567
Interpose PUF,Least Squares Regression,0,2.3,0.5755
Interpose PUF,Least Squares Regression,0,2.4,0.577
Interpose PUF,Least Squares Regression,0,2.5,0.579
Interpose PUF,Least Squares Regression,0,2.6,0.5795
Interpose PUF,Least Squares Regression,0,2.7,0.5785
Interpose PUF,Least Squares Regression,0,2.8,0.585
Interpose PUF,Least Squares Regression,0,2.9,0.5885
Interpose PUF,Least Squares Regression,10,0.8,0.519
Interpose PUF,Least Squares Regression,10,0.9,0.5185
Interpose PUF,Least Squares Regression,10,1.0,0.5215
Interpose PUF,Least Squares Regression,10,1.1,0.527
Interpose PUF,Least Squares Regression,10,1.2,0.5285
Interpose PUF,Least Squares Regression,10,1.3,0.5315
Interpose PUF,Least Squares Regression,10,1.4,0.5365
Interpose PUF,Least Squares Regression,10,1.5,0.5335
Interpose PUF,Least Squares Regression,10,1.6,0.539
Interpose PUF,Least Squares Regression,10,1.7,0.5445
Interpose PUF,Least Squares Regression,10,1.8,0.545
Interpose PUF,Least Squares Regression,10,1.9,0.5505
Interpose PUF,Least Squares Regression,10,2.0,0.56
Interpose PUF,Least Squares Regression,10,2.1,0.5595
Interpose PUF,Least Squares Regression,10,2.2,0.566
Interpose PUF,Least Squares Regression,10,2.3,0.567
Interpose PUF,Least Squares Regression,10,2.4,0.5745
Interpose PUF,Least Squares Regression,10,2.5,0.576
Interpose PUF,Least Squares Regression,10,2.6,0.5795
Interpose PUF,Least Squares Regression,10,2.7,0.579
Interpose PUF,Least Squares Regression,10,2.8,0.5785
Interpose PUF,Least Squares Regression,10,2.9,0.584
Interpose PUF,Least Squares Regression,20,0.8,0.5195
Interpose PUF,Least Squares Regression,20,0.9,0.518
Interpose PUF,Least Squares Regression,20,1.0,0.5195
Interpose PUF,Least Squares Regression,20,1.1,0.523
Interpose PUF,Least Squares Regression,20,1.2,0.5275
Interpose PUF,Least Squares Regression,20,1.3,0.529
Interpose PUF,Least Squares Regression,20,1.4,0.5355
Interpose PUF,Least Squares Regression,20,1.5,0.536
Interpose PUF,Least Squares Regression,20,1.6,0.535
Interpose PUF,Least Squares Regression,20,1.7,0.542
Interpose PUF,Least Squares Regression,20,1.8,0.544
Interpose PUF,Least Squares Regression,20,1.9,0.546
Interpose PUF,Least Squares Regression,20,2.0,0.5545
Interpose PUF,Least Squares Regression,20,2.1,0.5605
Interpose PUF,Least Squares Regression,20,2.2,0.56
Interpose PUF,Least Squares Regression,20,2.3,0.566
Interpose PUF,Least Squares Regression,20,2.4,0.567
Interpose PUF,Least Squares Regression,20,2.5,0.574
Interpose PUF,Least Squares Regression,20,2.6,0.577
Interpose PUF,Least Squares Regression,20,2.7,0.58
Interpose PUF,Least Squares Regression,20,2.8,0.5795
Interpose PUF,Least Squares Regression,20,2.9,0.5795
Interpose PUF,Least Squares Regression,30,0.8,0.5195
Interpose PUF,Least Squares Regression,30,0.9,0.519
Interpose PUF,Least Squares Regression,30,1.0,0.519
Interpose PUF,Least Squares Regression,30,1.1,0.5225
Interpose PUF,Least Squares Regression,30,1.2,0.527
Interpose PUF,Least Squares Regression,30,1.3,0.5285
Interpose PUF,Least Squares Regression,30,1.4,0.532
Interpose PUF,Least Squares Regression,30,1.5,0.5365
Interpose PUF,Least Squares Regression,30,1.6,0.5345
Interpose PUF,Least Squares Regression,30,1.7,0.538
Interpose PUF,Least Squares Regression,30,1.8,0.5425
Interpose PUF,Least Squares Regression,30,1.9,0.546
Interpose PUF,Least Squares Regression,30,2.0,0.548
Interpose PUF,Least Squares Regression,30,2.1,0.5555
Interpose PUF,Least Squares Regression,30,2.2,0.56
Interpose PUF,Least Squares Regression,30,2.3,0.56
Interpose PUF,Least Squares Regression,30,2.4,0.566
Interpose PUF,Least Squares Regression,30,2.5,0.567
Interpose PUF,Least Squares Regression,30,2.6,0.5735
Interpose PUF,Least Squares Regression,30,2.7,0.5765
Interpose PUF,Least Squares Regression,30,2.8,0.579
Interpose PUF,Least Squares Regression,30,2.9,0.579
Interpose PUF,Least Squares Regression,40,0.8,0.5175
Interpose PUF,Least Squares Regression,40,0.9,0.519
Interpose PUF,Least Squares Regression,40,1.0,0.5185
Interpose PUF,Least Squares Regression,40,1.1,0.5205
Interpose PUF,Least Squares Regression,40,1.2,0.523
Interpose PUF,Least Squares Regression,40,1.3,0.5275
Interpose PUF,Least Squares Regression,40,1.4,0.529
Interpose PUF,Least Squares Regression,40,1.5,0.5345
Interpose PUF,Least Squares Regression,40,1.6,0.536
Interpose PUF,Least Squares Regression,40,1.7,0.5335
Interpose PUF,Least Squares Regression,40,1.8,0.538
Interpose PUF,Least Squares Regression,40,1.9,0.543
Interpose PUF,Least Squares Regression,40,2.0,0.545
Interpose PUF,Least Squares Regression,40,2.1,0.5475
Interpose PUF,Least Squares Regression,40,2.2,0.5555
Interpose PUF,Least Squares Regression,40,2.3,0.559
Interpose PUF,Least Squares Regression,40,2.4,0.56
Interpose PUF,Least Squares Regression,40,2.5,0.566
Interpose PUF,Least Squares Regression,40,2.6,0.5665
Interpose PUF,Least Squares Regression,40,2.7,0.573
