PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
4-XOR Arbiter,LMN Attack,0,0.8,0.505
4-XOR Arbiter,LMN Attack,0,0.9,0.504
4-XOR Arbiter,LMN Attack,0,1.0,0.5035
4-XOR Arbiter,LMN Attack,0,1.1,0.501
4-XOR Arbiter,LMN Attack,0,1.2,0.499
4-XOR Arbiter,LMN Attack,0,1.3,0.4975
4-XOR Arbiter,LMN Attack,0,1.4,0.495
4-XOR Arbiter,LMN Attack,0,1.5,0.494
4-XOR Arbiter,LMN Attack,0,1.6,0.4955
4-XOR Arbiter,LMN Attack,0,1.7,0.494
4-XOR Arbiter,LMN Attack,0,1.8,0.494
4-XOR Arbiter,LMN Attack,0,1.9,0.4915
4-XOR Arbiter,LMN Attack,0,2.0,0.489
4-XOR Arbiter,LMN Attack,0,2.1,0.487
4-XOR Arbiter,LMN Attack,0,2.2,0.487
4-XOR Arbiter,LMN Attack,0,2.3,0.488
4-XOR Arbiter,LMN Attack,0,2.4,0.489
4-XOR Arbiter,LMN Attack,0,2.5,0.4905
4-XOR Arbiter,LMN Attack,0,2.6,0.49
4-XOR Arbiter,LMN Attack,0,2.7,0.488
4-XOR Arbiter,LMN Attack,0,2.8,0.4905
4-XOR Arbiter,LMN Attack,0,2.9,0.4935
4-XOR Arbiter,LMN Attack,10,0.8,0.5075
4-XOR Arbiter,LMN Attack,10,0.9,0.504
4-XOR Arbiter,LMN Attack,10,1.0,0.5025
4-XOR Arbiter,LMN Attack,10,1.1,0.5025
4-XOR Arbiter,LMN Attack,10,1.2,0.5005
4-XOR Arbiter,LMN Attack,10,1.3,0.4985
4-XOR Arbiter,LMN Attack,10,1.4,0.497
4-XOR Arbiter,LMN Attack,10,1.5,0.4955
4-XOR Arbiter,LMN Attack,10,1.6,0.494
4-XOR Arbiter,LMN Attack,10,1.7,0.4945
4-XOR Arbiter,LMN Attack,10,1.8,0.4935
4-XOR Arbiter,LMN Attack,10,1.9,0.494
4-XOR Arbiter,LMN Attack,10,2.0,0.4915
4-XOR Arbiter,LMN Attack,10,2.1,0.4885
4-XOR Arbiter,LMN Attack,10,2.2,0.486
4-XOR Arbiter,LMN Attack,10,2.3,0.487
4-XOR Arbiter,LMN Attack,10,2.4,0.488
4-XOR Arbiter,LMN Attack,10,2.5,0.4885
4-XOR Arbiter,LMN Attack,10,2.6,0.491
4-XOR Arbiter,LMN Attack,10,2.7,0.491
4-XOR Arbiter,LMN Attack,10,2.8,0.488
4-XOR Arbiter,LMN Attack,10,2.9,0.489
4-XOR Arbiter,LMN Attack,20,0.8,0.5065
4-XOR Arbiter,LMN Attack,20,0.9,0.5055
4-XOR Arbiter,LMN Attack,20,1.0,0.5045
4-XOR Arbiter,LMN Attack,20,1.1,0.503
4-XOR Arbiter,LMN Attack,20,1.2,0.501
4-XOR Arbiter,LMN Attack,20,1.3,0.499
4-XOR Arbiter,LMN Attack,20,1.4,0.498
4-XOR Arbiter,LMN Attack,20,1.5,0.4945
4-XOR Arbiter,LMN Attack,20,1.6,0.4935
4-XOR Arbiter,LMN Attack,20,1.7,0.4945
4-XOR Arbiter,LMN Attack,20,1.8,0.4935
4-XOR Arbiter,LMN Attack,20,1.9,0.493
4-XOR Arbiter,LMN Attack,20,2.0,0.494
4-XOR Arbiter,LMN Attack,20,2.1,0.4915
4-XOR Arbiter,LMN Attack,20,2.2,0.488
4-XOR Arbiter,LMN Attack,20,2.3,0.486
4-XOR Arbiter,LMN Attack,20,2.4,0.4865
4-XOR Arbiter,LMN Attack,20,2.5,0.4885
4-XOR Arbiter,LMN Attack,20,2.6,0.489
4-XOR Arbiter,LMN Attack,20,2.7,0.49
4-XOR Arbiter,LMN Attack,20,2.8,0.4905
4-XOR Arbiter,LMN Attack,20,2.9,0.4875
4-XOR Arbiter,LMN Attack,30,0.8,0.5065
4-XOR Arbiter,LMN Attack,30,0.9,0.5065
4-XOR Arbiter,LMN Attack,30,1.0,0.504
4-XOR Arbiter,LMN Attack,30,1.1,0.5025
4-XOR Arbiter,LMN Attack,30,1.2,0.5025
4-XOR Arbiter,LMN Attack,30,1.3,0.5005
4-XOR Arbiter,LMN Attack,30,1.4,0.4985
4-XOR Arbiter,LMN Attack,30,1.5,0.497
4-XOR Arbiter,LMN Attack,30,1.6,0.4955
4-XOR Arbiter,LMN Attack,30,1.7,0.4935
4-XOR Arbiter,LMN Attack,30,1.8,0.495
4-XOR Arbiter,LMN Attack,30,1.9,0.4935
4-XOR Arbiter,LMN Attack,30,2.0,0.4925
4-XOR Arbiter,LMN Attack,30,2.1,0.4935
4-XOR Arbiter,LMN Attack,30,2.2,0.492
4-XOR Arbiter,LMN Attack,30,2.3,0.488
