PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Feed-Forward Arbiter,LMN Attack,0,0.8,0.539
Feed-Forward Arbiter,LMN Attack,0,0.9,0.5405
Feed-Forward Arbiter,LMN Attack,0,1.0,0.5415
Feed-Forward Arbiter,LMN Attack,0,1.1,0.5425
Feed-Forward Arbiter,LMN Attack,0,1.2,0.5415
Feed-Forward Arbiter,LMN Attack,0,1.3,0.5415
Feed-Forward Arbiter,LMN Attack,0,1.4,0.5395
Feed-Forward Arbiter,LMN Attack,0,1.5,0.54
Feed-Forward Arbiter,LMN Attack,0,1.6,0.54
Feed-Forward Arbiter,LMN Attack,0,1.7,0.5415
Feed-Forward Arbiter,LMN Attack,0,1.8,0.5395
Feed-Forward Arbiter,LMN Attack,0,1.9,0.5405
Feed-Forward Arbiter,LMN Attack,0,2.0,0.5415
Feed-Forward Arbiter,LMN Attack,0,2.1,0.5415
Feed-Forward Arbiter,LMN Attack,0,2.2,0.543
Feed-Forward Arbiter,LMN Attack,0,2.3,0.5445
Feed-Forward Arbiter,LMN Attack,0,2.4,0.5445
Feed-Forward Arbiter,LMN Attack,0,2.5,0.5455
Feed-Forward Arbiter,LMN Attack,0,2.6,0.5465
Feed-Forward Arbiter,LMN Attack,0,2.7,0.548
Feed-Forward Arbiter,LMN Attack,0,2.8,0.5465
Feed-Forward Arbiter,LMN Attack,0,2.9,0.5445
Feed-Forward Arbiter,LMN Attack,10,0.8,0.539
Feed-Forward Arbiter,LMN Attack,10,0.9,0.5395
Feed-Forward Arbiter,LMN Attack,10,1.0,0.5405
Feed-Forward Arbiter,LMN Attack,10,1.1,0.5415
Feed-Forward Arbiter,LMN Attack,10,1.2,0.5415
Feed-Forward Arbiter,LMN Attack,10,1.3,0.541
Feed-Forward Arbiter,LMN Attack,10,1.4,0.5405
Feed-Forward Arbiter,LMN Attack,10,1.5,0.539
Feed-Forward Arbiter,LMN Attack,10,1.6,0.5405
Feed-Forward Arbiter,LMN Attack,10,1.7,0.54
Feed-Forward Arbiter,LMN Attack,10,1.8,0.5405
Feed-Forward Arbiter,LMN Attack,10,1.9,0.5405
Feed-Forward Arbiter,LMN Attack,10,2.0,0.5415
Feed-Forward Arbiter,LMN Attack,10,2.1,0.5415
Feed-Forward Arbiter,LMN Attack,10,2.2,0.5415
Feed-Forward Arbiter,LMN Attack,10,2.3,0.543
Feed-Forward Arbiter,LMN Attack,10,2.4,0.543
Feed-Forward Arbiter,LMN Attack,10,2.5,0.5445
Feed-Forward Arbiter,LMN Attack,10,2.6,0.5455
Feed-Forward Arbiter,LMN Attack,10,2.7,0.5455
Feed-Forward Arbiter,LMN Attack,10,2.8,0.548
Feed-Forward Arbiter,LMN Attack,10,2.9,0.5475
Feed-Forward Arbiter,LMN Attack,20,0.8,0.5405
Feed-Forward Arbiter,LMN Attack,20,0.9,0.539
Feed-Forward Arbiter,LMN Attack,20,1.0,0.54
Feed-Forward Arbiter,LMN Attack,20,1.1,0.5415
Feed-Forward Arbiter,LMN Attack,20,1.2,0.5425
Feed-Forward Arbiter,LMN Attack,20,1.3,0.5415
Feed-Forward Arbiter,LMN Attack,20,1.4,0.5415
Feed-Forward Arbiter,LMN Attack,20,1.5,0.5395
Feed-Forward Arbiter,LMN Attack,20,1.6,0.5395
Feed-Forward Arbiter,LMN Attack,20,1.7,0.54
Feed-Forward Arbiter,LMN Attack,20,1.8,0.541
Feed-Forward Arbiter,LMN Attack,20,1.9,0.5405
Feed-Forward Arbiter,LMN Attack,20,2.0,0.54
Feed-Forward Arbiter,LMN Attack,20,2.1,0.541
Feed-Forward Arbiter,LMN Attack,20,2.2,0.542
Feed-Forward Arbiter,LMN Attack,20,2.3,0.5415
Feed-Forward Arbiter,LMN Attack,20,2.4,0.543
Feed-Forward Arbiter,LMN Attack,20,2.5,0.543
Feed-Forward Arbiter,LMN Attack,20,2.6,0.545
Feed-Forward Arbiter,LMN Attack,20,2.7,0.545
Feed-Forward Arbiter,LMN Attack,20,2.8,0.547
Feed-Forward Arbiter,LMN Attack,20,2.9,0.547
Feed-Forward Arbiter,LMN Attack,30,0.8,0.5395
Feed-Forward Arbiter,LMN Attack,30,0.9,0.539
Feed-Forward Arbiter,LMN Attack,30,1.0,0.5395
Feed-Forward Arbiter,LMN Attack,30,1.1,0.5405
Feed-Forward Arbiter,LMN Attack,30,1.2,0.5415
Feed-Forward Arbiter,LMN Attack,30,1.3,0.542
Feed-Forward Arbiter,LMN Attack,30,1.4,0.541
Feed-Forward Arbiter,LMN Attack,30,1.5,0.541
Feed-Forward Arbiter,LMN Attack,30,1.6,0.5395
Feed-Forward Arbiter,LMN Attack,30,1.7,0.54
Feed-Forward Arbiter,LMN Attack,30,1.8,0.54
Feed-Forward Arbiter,LMN Attack,30,1.9,0.5415
Feed-Forward Arbiter,LMN Attack,30,2.0,0.54
Feed-Forward Arbiter,LMN Attack,30,2.1,0.541
Feed-Forward Arbiter,LMN Attack,30,2.2,0.5415
Feed-Forward Arbiter,LMN Attack,30,2.3,0.542
Feed-Forward Arbiter,LMN Attack,30,2.4,0.5415
Feed-Forward Arbiter,LMN Attack,30,2.5,0.543
Feed-Forward Arbiter,LMN Attack,30,2.6,0.543
Feed-Forward Arbiter,LMN Attack,30,2.7,0.545
Feed-Forward Arbiter,LMN Attack,30,2.8,0.5445
Feed-Forward Arbiter,LMN Attack,30,2.9,0.546
Feed-Forward Arbiter,LMN Attack,40,0.8,0.54
Feed-Forward Arbiter,LMN Attack,40,0.9,0.54
Feed-Forward Arbiter,LMN Attack,40,1.0,0.5395
Feed-Forward Arbiter,LMN Attack,40,1.1,0.5405
Feed-Forward Arbiter,LMN Attack,40,1.2,0.5415
Feed-Forward Arbiter,LMN Attack,40,1.3,0.5425
Feed-Forward Arbiter,LMN Attack,40,1.4,0.5415
Feed-Forward Arbiter,LMN Attack,40,1.5,0.5415
Feed-Forward Arbiter,LMN Attack,40,1.6,0.5405
Feed-Forward Arbiter,LMN Attack,40,1.7,0.539
Feed-Forward Arbiter,LMN Attack,40,1.8,0.54
Feed-Forward Arbiter,LMN Attack,40,1.9,0.54
Feed-Forward Arbiter,LMN Attack,40,2.0,0.5415
Feed-Forward Arbiter,LMN Attack,40,2.1,0.54
