PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Interpose PUF,LMN Attack,0,0.8,0.5655
Interpose PUF,LMN Attack,0,0.9,0.5655
Interpose PUF,LMN Attack,0,1.0,0.5625
Interpose PUF,LMN Attack,0,1.1,0.558
Interpose PUF,LMN Attack,0,1.2,0.56
Interpose PUF,LMN Attack,0,1.3,0.5585
Interpose PUF,LMN Attack,0,1.4,0.5565
Interpose PUF,LMN Attack,0,1.5,0.5565
Interpose PUF,LMN Attack,0,1.6,0.558
Interpose PUF,LMN Attack,0,1.7,0.5545
Interpose PUF,LMN Attack,0,1.8,0.556
Interpose PUF,LMN Attack,0,1.9,0.5555
Interpose PUF,LMN Attack,0,2.0,0.5585
Interpose PUF,LMN Attack,0,2.1,0.5585
Interpose PUF,LMN Attack,0,2.2,0.5575
Interpose PUF,LMN Attack,0,2.3,0.5595
Interpose PUF,LMN Attack,0,2.4,0.5595
Interpose PUF,LMN Attack,0,2.5,0.5605
Interpose PUF,LMN Attack,0,2.6,0.558
Interpose PUF,LMN Attack,0,2.7,0.5585
Interpose PUF,LMN Attack,0,2.8,0.562
Interpose PUF,LMN Attack,0,2.9,0.56
Interpose PUF,LMN Attack,10,0.8,0.5645
Interpose PUF,LMN Attack,10,0.9,0.565
Interpose PUF,LMN Attack,10,1.0,0.5645
Interpose PUF,LMN Attack,10,1.1,0.5595
Interpose PUF,LMN Attack,10,1.2,0.558
Interpose PUF,LMN Attack,10,1.3,0.559
Interpose PUF,LMN Attack,10,1.4,0.56
Interpose PUF,LMN Attack,10,1.5,0.556
Interpose PUF,LMN Attack,10,1.6,0.5565
Interpose PUF,LMN Attack,10,1.7,0.557
Interpose PUF,LMN Attack,10,1.8,0.554
Interpose PUF,LMN Attack,10,1.9,0.556
Interpose PUF,LMN Attack,10,2.0,0.557
Interpose PUF,LMN Attack,10,2.1,0.558
Interpose PUF,LMN Attack,10,2.2,0.5585
Interpose PUF,LMN Attack,10,2.3,0.5575
Interpose PUF,LMN Attack,10,2.4,0.5595
Interpose PUF,LMN Attack,10,2.5,0.559
Interpose PUF,LMN Attack,10,2.6,0.5615
Interpose PUF,LMN Attack,10,2.7,0.5605
Interpose PUF,LMN Attack,10,2.8,0.5595
Interpose PUF,LMN Attack,10,2.9,0.562
Interpose PUF,LMN Attack,20,0.8,0.5625
Interpose PUF,LMN Attack,20,0.9,0.566
Interpose PUF,LMN Attack,20,1.0,0.565
Interpose PUF,LMN Attack,20,1.1,0.562
Interpose PUF,LMN Attack,20,1.2,0.558
Interpose PUF,LMN Attack,20,1.3,0.558
Interpose PUF,LMN Attack,20,1.4,0.559
Interpose PUF,LMN Attack,20,1.5,0.558
Interpose PUF,LMN Attack,20,1.6,0.5555
Interpose PUF,LMN Attack,20,1.7,0.5565
Interpose PUF,LMN Attack,20,1.8,0.5555
Interpose PUF,LMN Attack,20,1.9,0.5545
Interpose PUF,LMN Attack,20,2.0,0.556
Interpose PUF,LMN Attack,20,2.1,0.558
Interpose PUF,LMN Attack,20,2.2,0.559
Interpose PUF,LMN Attack,20,2.3,0.558
Interpose PUF,LMN Attack,20,2.4,0.5575
Interpose PUF,LMN Attack,20,2.5,0.5595
Interpose PUF,LMN Attack,20,2.6,0.559
Interpose PUF,LMN Attack,20,2.7,0.562
Interpose PUF,LMN Attack,20,2.8,0.56
Interpose PUF,LMN Attack,20,2.9,0.559
Interpose PUF,LMN Attack,30,0.8,0.5635
Interpose PUF,LMN Attack,30,0.9,0.565
Interpose PUF,LMN Attack,30,1.0,0.565
Interpose PUF,LMN Attack,30,1.1,0.565
Interpose PUF,LMN Attack,30,1.2,0.5595
Interpose PUF,LMN Attack,30,1.3,0.5585
Interpose PUF,LMN Attack,30,1.4,0.56
Interpose PUF,LMN Attack,30,1.5,0.5585
Interpose PUF,LMN Attack,30,1.6,0.5565
Interpose PUF,LMN Attack,30,1.7,0.556
Interpose PUF,LMN Attack,30,1.8,0.5565
Interpose PUF,LMN Attack,30,1.9,0.555
Interpose PUF,LMN Attack,30,2.0,0.555
Interpose PUF,LMN Attack,30,2.1,0.5575
Interpose PUF,LMN Attack,30,2.2,0.559
Interpose PUF,LMN Attack,30,2.3,0.5585
Interpose PUF,LMN Attack,30,2.4,0.558
Interpose PUF,LMN Attack,30,2.5,0.5575
Interpose PUF,LMN Attack,30,2.6,0.5595
Interpose PUF,LMN Attack,30,2.7,0.559
Interpose PUF,LMN Attack,30,2.8,0.563
Interpose PUF,LMN Attack,30,2.9,0.56
Interpose PUF,LMN Attack,40,0.8,0.562
Interpose PUF,LMN Attack,40,0.9,0.564
Interpose PUF,LMN Attack,40,1.0,0.565
Interpose PUF,LMN Attack,40,1.1,0.5645
Interpose PUF,LMN Attack,40,1.2,0.5615
Interpose PUF,LMN Attack,40,1.3,0.558
Interpose PUF,LMN Attack,40,1.4,0.5585
Interpose PUF,LMN Attack,40,1.5,0.56
Interpose PUF,LMN Attack,40,1.6,0.5605
Interpose PUF,LMN Attack,40,1.7,0.556
Interpose PUF,LMN Attack,40,1.8,0.556
Interpose PUF,LMN Attack,40,1.9,0.558
Interpose PUF,LMN Attack,40,2.0,0.5555
Interpose PUF,LMN Attack,40,2.1,0.555
Interpose PUF,LMN Attack,40,2.2,0.556
Interpose PUF,LMN Attack,40,2.3,0.5585
Interpose PUF,LMN Attack,40,2.4,0.5585
Interpose PUF,LMN Attack,40,2.5,0.558
Interpose PUF,LMN Attack,40,2.6,0.558
Interpose PUF,LMN Attack,40,2.7,0.559
Interpose PUF,LMN Attack,40,2.8,0.5605
Interpose PUF,LMN Attack,40,2.9,0.5615
Interpose PUF,LMN Attack,50,0.8,0.561
Interpose PUF,LMN Attack,50,0.9,0.562
Interpose PUF,LMN Attack,50,1.0,0.566
Interpose PUF,LMN Attack,50,1.1,0.5655
Interpose PUF,LMN Attack,50,1.2,0.564
Interpose PUF,LMN Attack,50,1.3,0.5595
Interpose PUF,LMN Attack,50,1.4,0.5575
Interpose PUF,LMN Attack,50,1.5,0.56
Interpose PUF,LMN Attack,50,1.6,0.5595
Interpose PUF,LMN Attack,50,1.7,0.558
Interpose PUF,LMN Attack,50,1.8,0.555
Interpose PUF,LMN Attack,50,1.9,0.555
Interpose PUF,LMN Attack,50,2.0,0.5575
Interpose PUF,LMN Attack,50,2.1,0.5545
Interpose PUF,LMN Attack,50,2.2,0.556
Interpose PUF,LMN Attack,50,2.3,0.5545
Interpose PUF,LMN Attack,50,2.4,0.5585
Interpose PUF,LMN Attack,50,2.5,0.5585
Interpose PUF,LMN Attack,50,2.6,0.558
Interpose PUF,LMN Attack,50,2.7,0.558
Interpose PUF,LMN Attack,50,2.8,0.559
Interpose PUF,LMN Attack,50,2.9,0.5605
Interpose PUF,LMN Attack,60,0.8,0.562
Interpose PUF,LMN Attack,60,0.9,0.5635
Interpose PUF,LMN Attack,60,1.0,0.5645
Interpose PUF,LMN Attack,60,1.1,0.565
Interpose PUF,LMN Attack,60,1.2,0.5645
Interpose PUF,LMN Attack,60,1.3,0.5615
Interpose PUF,LMN Attack,60,1.4,0.558
Interpose PUF,LMN Attack,60,1.5,0.558
Interpose PUF,LMN Attack,60,1.6,0.559
Interpose PUF,LMN Attack,60,1.7,0.5585
Interpose PUF,LMN Attack,60,1.8,0.5565
Interpose PUF,LMN Attack,60,1.9,0.5565
Interpose PUF,LMN Attack,60,2.0,0.5565
Interpose PUF,LMN Attack,60,2.1,0.5565
Interpose PUF,LMN Attack,60,2.2,0.554
Interpose PUF,LMN Attack,60,2.3,0.556
Interpose PUF,LMN Attack,60,2.4,0.554
Interpose PUF,LMN Attack,60,2.5,0.5595
Interpose PUF,LMN Attack,60,2.6,0.5585
Interpose PUF,LMN Attack,60,2.7,0.558
Interpose PUF,LMN Attack,60,2.8,0.5575
Interpose PUF,LMN Attack,60,2.9,0.5585
Interpose PUF,LMN Attack,70,0.8,0.5625
Interpose PUF,LMN Attack,70,0.9,0.562
Interpose PUF,LMN Attack,70,1.0,0.564
Interpose PUF,LMN Attack,70,1.1,0.566
Interpose PUF,LMN Attack,70,1.2,0.5655
Interpose PUF,LMN Attack,70,1.3,0.5635
Interpose PUF,LMN Attack,70,1.4,0.5595
Interpose PUF,LMN Attack,70,1.5,0.5575
Interpose PUF,LMN Attack,70,1.6,0.56
Interpose PUF,LMN Attack,70,1.7,0.5595
Interpose PUF,LMN Attack,70,1.8,0.56
Interpose PUF,LMN Attack,70,1.9,0.556
Interpose PUF,LMN Attack,70,2.0,0.556
Interpose PUF,LMN Attack,70,2.1,0.5565
Interpose PUF,LMN Attack,70,2.2,0.5555
Interpose PUF,LMN Attack,70,2.3,0.5545
Interpose PUF,LMN Attack,70,2.4,0.555
Interpose PUF,LMN Attack,70,2.5,0.5555
Interpose PUF,LMN Attack,70,2.6,0.5595
Interpose PUF,LMN Attack,70,2.7,0.5585
Interpose PUF,LMN Attack,70,2.8,0.558
Interpose PUF,LMN Attack,70,2.9,0.558
Interpose PUF,LMN Attack,80,0.8,0.5635
Interpose PUF,LMN Attack,80,0.9,0.561
Interpose PUF,LMN Attack,80,1.0,0.563
Interpose PUF,LMN Attack,80,1.1,0.5655
Interpose PUF,LMN Attack,80,1.2,0.565
Interpose PUF,LMN Attack,80,1.3,0.5655
Interpose PUF,LMN Attack,80,1.4,0.5615
Interpose PUF,LMN Attack,80,1.5,0.5575
Interpose PUF,LMN Attack,80,1.6,0.5585
Interpose PUF,LMN Attack,80,1.7,0.5595
Interpose PUF,LMN Attack,80,1.8,0.558
Interpose PUF,LMN Attack,80,1.9,0.558
Interpose PUF,LMN Attack,80,2.0,0.555
