PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Permutation PUF,LMN Attack,0,0.8,0.505
Permutation PUF,LMN Attack,0,0.9,0.5
Permutation PUF,LMN Attack,0,1.0,0.4985
Permutation PUF,LMN Attack,0,1.1,0.4965
Permutation PUF,LMN Attack,0,1.2,0.4935
Permutation PUF,LMN Attack,0,1.3,0.4985
Permutation PUF,LMN Attack,0,1.4,0.4955
Permutation PUF,LMN Attack,0,1.5,0.499
Permutation PUF,LMN Attack,0,1.6,0.498
Permutation PUF,LMN Attack,0,1.7,0.4965
Permutation PUF,LMN Attack,0,1.8,0.4945
Permutation PUF,LMN Attack,0,1.9,0.491
Permutation PUF,LMN Attack,0,2.0,0.487
Permutation PUF,LMN Attack,0,2.1,0.491
Permutation PUF,LMN Attack,0,2.2,0.493
Permutation PUF,LMN Attack,0,2.3,0.4915
Permutation PUF,LMN Attack,0,2.4,0.491
Permutation PUF,LMN Attack,0,2.5,0.487
Permutation PUF,LMN Attack,0,2.6,0.489
Permutation PUF,LMN Attack,0,2.7,0.4845
Permutation PUF,LMN Attack,0,2.8,0.4785
Permutation PUF,LMN Attack,0,2.9,0.48
Permutation PUF,LMN Attack,10,0.8,0.5085
Permutation PUF,LMN Attack,10,0.9,0.5015
Permutation PUF,LMN Attack,10,1.0,0.4965
Permutation PUF,LMN Attack,10,1.1,0.4945
Permutation PUF,LMN Attack,10,1.2,0.4965
Permutation PUF,LMN Attack,10,1.3,0.4985
Permutation PUF,LMN Attack,10,1.4,0.5025
Permutation PUF,LMN Attack,10,1.5,0.5005
Permutation PUF,LMN Attack,10,1.6,0.4985
Permutation PUF,LMN Attack,10,1.7,0.497
Permutation PUF,LMN Attack,10,1.8,0.4955
Permutation PUF,LMN Attack,10,1.9,0.493
Permutation PUF,LMN Attack,10,2.0,0.491
Permutation PUF,LMN Attack,10,2.1,0.4875
Permutation PUF,LMN Attack,10,2.2,0.49
Permutation PUF,LMN Attack,10,2.3,0.493
Permutation PUF,LMN Attack,10,2.4,0.49
Permutation PUF,LMN Attack,10,2.5,0.4895
Permutation PUF,LMN Attack,10,2.6,0.49
Permutation PUF,LMN Attack,10,2.7,0.4865
Permutation PUF,LMN Attack,10,2.8,0.485
Permutation PUF,LMN Attack,10,2.9,0.4775
Permutation PUF,LMN Attack,20,0.8,0.5105
Permutation PUF,LMN Attack,20,0.9,0.504
Permutation PUF,LMN Attack,20,1.0,0.4975
Permutation PUF,LMN Attack,20,1.1,0.4985
Permutation PUF,LMN Attack,20,1.2,0.4965
Permutation PUF,LMN Attack,20,1.3,0.492
Permutation PUF,LMN Attack,20,1.4,0.5005
Permutation PUF,LMN Attack,20,1.5,0.4985
Permutation PUF,LMN Attack,20,1.6,0.4995
Permutation PUF,LMN Attack,20,1.7,0.4965
Permutation PUF,LMN Attack,20,1.8,0.496
Permutation PUF,LMN Attack,20,1.9,0.4945
Permutation PUF,LMN Attack,20,2.0,0.4935
Permutation PUF,LMN Attack,20,2.1,0.4905
Permutation PUF,LMN Attack,20,2.2,0.486
Permutation PUF,LMN Attack,20,2.3,0.4895
Permutation PUF,LMN Attack,20,2.4,0.493
Permutation PUF,LMN Attack,20,2.5,0.49
Permutation PUF,LMN Attack,20,2.6,0.49
Permutation PUF,LMN Attack,20,2.7,0.4925
Permutation PUF,LMN Attack,20,2.8,0.487
Permutation PUF,LMN Attack,20,2.9,0.4835
Permutation PUF,LMN Attack,30,0.8,0.5115
Permutation PUF,LMN Attack,30,0.9,0.507
Permutation PUF,LMN Attack,30,1.0,0.5005
Permutation PUF,LMN Attack,30,1.1,0.4965
Permutation PUF,LMN Attack,30,1.2,0.4955
Permutation PUF,LMN Attack,30,1.3,0.495
Permutation PUF,LMN Attack,30,1.4,0.4955
Permutation PUF,LMN Attack,30,1.5,0.5015
Permutation PUF,LMN Attack,30,1.6,0.4965
Permutation PUF,LMN Attack,30,1.7,0.499
Permutation PUF,LMN Attack,30,1.8,0.496
Permutation PUF,LMN Attack,30,1.9,0.497
Permutation PUF,LMN Attack,30,2.0,0.495
Permutation PUF,LMN Attack,30,2.1,0.4945
Permutation PUF,LMN Attack,30,2.2,0.49
Permutation PUF,LMN Attack,30,2.3,0.486
Permutation PUF,LMN Attack,30,2.4,0.4895
Permutation PUF,LMN Attack,30,2.5,0.492
Permutation PUF,LMN Attack,30,2.6,0.4895
Permutation PUF,LMN Attack,30,2.7,0.491
Permutation PUF,LMN Attack,30,2.8,0.496
Permutation PUF,LMN Attack,30,2.9,0.4875
Permutation PUF,LMN Attack,40,0.8,0.5135
Permutation PUF,LMN Attack,40,0.9,0.51
Permutation PUF,LMN Attack,40,1.0,0.502
Permutation PUF,LMN Attack,40,1.1,0.4965
Permutation PUF,LMN Attack,40,1.2,0.4995
Permutation PUF,LMN Attack,40,1.3,0.497
Permutation PUF,LMN Attack,40,1.4,0.4935
Permutation PUF,LMN Attack,40,1.5,0.4985
Permutation PUF,LMN Attack,40,1.6,0.5005
Permutation PUF,LMN Attack,40,1.7,0.5005
Permutation PUF,LMN Attack,40,1.8,0.5
Permutation PUF,LMN Attack,40,1.9,0.498
