PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
4-XOR Arbiter,Logistic regression Attack,0,0.8,0.97
4-XOR Arbiter,Logistic regression Attack,0,0.9,0.9785
4-XOR Arbiter,Logistic regression Attack,0,1.0,0.9835
4-XOR Arbiter,Logistic regression Attack,0,1.1,0.9845
4-XOR Arbiter,Logistic regression Attack,0,1.2,0.98
4-XOR Arbiter,Logistic regression Attack,0,1.3,0.974
4-XOR Arbiter,Logistic regression Attack,0,1.4,0.966
4-XOR Arbiter,Logistic regression Attack,0,1.5,0.9525
4-XOR Arbiter,Logistic regression Attack,0,1.6,0.942
4-XOR Arbiter,Logistic regression Attack,0,1.7,0.9325
4-XOR Arbiter,Logistic regression Attack,0,1.8,0.9275
4-XOR Arbiter,Logistic regression Attack,0,1.9,0.9185
4-XOR Arbiter,Logistic regression Attack,0,2.0,0.9125
4-XOR Arbiter,Logistic regression Attack,0,2.1,0.9025
4-XOR Arbiter,Logistic regression Attack,0,2.2,0.8935
4-XOR Arbiter,Logistic regression Attack,0,2.3,0.8855
4-XOR Arbiter,Logistic regression Attack,0,2.4,0.878
4-XOR Arbiter,Logistic regression Attack,0,2.5,0.871
4-XOR Arbiter,Logistic regression Attack,0,2.6,0.863
4-XOR Arbiter,Logistic regression Attack,0,2.7,0.8495
4-XOR Arbiter,Logistic regression Attack,0,2.8,0.839
4-XOR Arbiter,Logistic regression Attack,0,2.9,0.8335
4-XOR Arbiter,Logistic regression Attack,10,0.8,0.968
4-XOR Arbiter,Logistic regression Attack,10,0.9,0.975
4-XOR Arbiter,Logistic regression Attack,10,1.0,0.9825
4-XOR Arbiter,Logistic regression Attack,10,1.1,0.984
4-XOR Arbiter,Logistic regression Attack,10,1.2,0.983
4-XOR Arbiter,Logistic regression Attack,10,1.3,0.975
4-XOR Arbiter,Logistic regression Attack,10,1.4,0.9685
4-XOR Arbiter,Logistic regression Attack,10,1.5,0.9595
4-XOR Arbiter,Logistic regression Attack,10,1.6,0.9505
4-XOR Arbiter,Logistic regression Attack,10,1.7,0.938
4-XOR Arbiter,Logistic regression Attack,10,1.8,0.93
4-XOR Arbiter,Logistic regression Attack,10,1.9,0.926
4-XOR Arbiter,Logistic regression Attack,10,2.0,0.919
4-XOR Arbiter,Logistic regression Attack,10,2.1,0.9115
4-XOR Arbiter,Logistic regression Attack,10,2.2,0.9025
4-XOR Arbiter,Logistic regression Attack,10,2.3,0.8935
4-XOR Arbiter,Logistic regression Attack,10,2.4,0.886
4-XOR Arbiter,Logistic regression Attack,10,2.5,0.879
4-XOR Arbiter,Logistic regression Attack,10,2.6,0.871
4-XOR Arbiter,Logistic regression Attack,10,2.7,0.866
4-XOR Arbiter,Logistic regression Attack,10,2.8,0.8515
4-XOR Arbiter,Logistic regression Attack,10,2.9,0.84
4-XOR Arbiter,Logistic regression Attack,20,0.8,0.966
4-XOR Arbiter,Logistic regression Attack,20,0.9,0.973
4-XOR Arbiter,Logistic regression Attack,20,1.0,0.979
4-XOR Arbiter,Logistic regression Attack,20,1.1,0.9835
4-XOR Arbiter,Logistic regression Attack,20,1.2,0.985
4-XOR Arbiter,Logistic regression Attack,20,1.3,0.9815
4-XOR Arbiter,Logistic regression Attack,20,1.4,0.9755
4-XOR Arbiter,Logistic regression Attack,20,1.5,0.9665
4-XOR Arbiter,Logistic regression Attack,20,1.6,0.9575
4-XOR Arbiter,Logistic regression Attack,20,1.7,0.946
4-XOR Arbiter,Logistic regression Attack,20,1.8,0.936
4-XOR Arbiter,Logistic regression Attack,20,1.9,0.93
4-XOR Arbiter,Logistic regression Attack,20,2.0,0.926
4-XOR Arbiter,Logistic regression Attack,20,2.1,0.918
4-XOR Arbiter,Logistic regression Attack,20,2.2,0.9105
4-XOR Arbiter,Logistic regression Attack,20,2.3,0.9015
4-XOR Arbiter,Logistic regression Attack,20,2.4,0.8935
4-XOR Arbiter,Logistic regression Attack,20,2.5,0.886
4-XOR Arbiter,Logistic regression Attack,20,2.6,0.881
4-XOR Arbiter,Logistic regression Attack,20,2.7,0.8725
4-XOR Arbiter,Logistic regression Attack,20,2.8,0.8675
4-XOR Arbiter,Logistic regression Attack,20,2.9,0.8545
4-XOR Arbiter,Logistic regression Attack,30,0.8,0.965
4-XOR Arbiter,Logistic regression Attack,30,0.9,0.97
4-XOR Arbiter,Logistic regression Attack,30,1.0,0.9765
4-XOR Arbiter,Logistic regression Attack,30,1.1,0.983
4-XOR Arbiter,Logistic regression Attack,30,1.2,0.984
4-XOR Arbiter,Logistic regression Attack,30,1.3,0.984
4-XOR Arbiter,Logistic regression Attack,30,1.4,0.975
4-XOR Arbiter,Logistic regression Attack,30,1.5,0.9705
4-XOR Arbiter,Logistic regression Attack,30,1.6,0.9645
4-XOR Arbiter,Logistic regression Attack,30,1.7,0.954
4-XOR Arbiter,Logistic regression Attack,30,1.8,0.9445
4-XOR Arbiter,Logistic regression Attack,30,1.9,0.9355
4-XOR Arbiter,Logistic regression Attack,30,2.0,0.9295
4-XOR Arbiter,Logistic regression Attack,30,2.1,0.925
4-XOR Arbiter,Logistic regression Attack,30,2.2,0.918
4-XOR Arbiter,Logistic regression Attack,30,2.3,0.9105
4-XOR Arbiter,Logistic regression Attack,30,2.4,0.9015
4-XOR Arbiter,Logistic regression Attack,30,2.5,0.8935
4-XOR Arbiter,Logistic regression Attack,30,2.6,0.886
4-XOR Arbiter,Logistic regression Attack,30,2.7,0.882
4-XOR Arbiter,Logistic regression Attack,30,2.8,0.8735
4-XOR Arbiter,Logistic regression Attack,30,2.9,0.8675
4-XOR Arbiter,Logistic regression Attack,40,0.8,0.963
4-XOR Arbiter,Logistic regression Attack,40,0.9,0.9675
4-XOR Arbiter,Logistic regression Attack,40,1.0,0.9735
4-XOR Arbiter,Logistic regression Attack,40,1.1,0.9795
4-XOR Arbiter,Logistic regression Attack,40,1.2,0.9835
4-XOR Arbiter,Logistic regression Attack,40,1.3,0.985
4-XOR Arbiter,Logistic regression Attack,40,1.4,0.9815
4-XOR Arbiter,Logistic regression Attack,40,1.5,0.974
4-XOR Arbiter,Logistic regression Attack,40,1.6,0.9675
4-XOR Arbiter,Logistic regression Attack,40,1.7,0.96
