PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Arbiter PUF,Logistic Regression,0,0.8,0.965
Arbiter PUF,Logistic Regression,0,0.9,0.9675
Arbiter PUF,Logistic Regression,0,1.0,0.9695
Arbiter PUF,Logistic Regression,0,1.1,0.9685
Arbiter PUF,Logistic Regression,0,1.2,0.9665
Arbiter PUF,Logistic Regression,0,1.3,0.964
Arbiter PUF,Logistic Regression,0,1.4,0.9615
Arbiter PUF,Logistic Regression,0,1.5,0.9575
Arbiter PUF,Logistic Regression,0,1.6,0.9545
Arbiter PUF,Logistic Regression,0,1.7,0.951
Arbiter PUF,Logistic Regression,0,1.8,0.946
Arbiter PUF,Logistic Regression,0,1.9,0.9405
Arbiter PUF,Logistic Regression,0,2.0,0.9325
Arbiter PUF,Logistic Regression,0,2.1,0.9245
Arbiter PUF,Logistic Regression,0,2.2,0.915
Arbiter PUF,Logistic Regression,0,2.3,0.9095
Arbiter PUF,Logistic Regression,0,2.4,0.899
Arbiter PUF,Logistic Regression,0,2.5,0.889
Arbiter PUF,Logistic Regression,0,2.6,0.8815
Arbiter PUF,Logistic Regression,0,2.7,0.8735
Arbiter PUF,Logistic Regression,0,2.8,0.8625
Arbiter PUF,Logistic Regression,0,2.9,0.855
Arbiter PUF,Logistic Regression,10,0.8,0.963
Arbiter PUF,Logistic Regression,10,0.9,0.967
Arbiter PUF,Logistic Regression,10,1.0,0.9685
Arbiter PUF,Logistic Regression,10,1.1,0.969
Arbiter PUF,Logistic Regression,10,1.2,0.967
Arbiter PUF,Logistic Regression,10,1.3,0.966
Arbiter PUF,Logistic Regression,10,1.4,0.962
Arbiter PUF,Logistic Regression,10,1.5,0.9605
Arbiter PUF,Logistic Regression,10,1.6,0.9565
Arbiter PUF,Logistic Regression,10,1.7,0.9545
Arbiter PUF,Logistic Regression,10,1.8,0.9495
Arbiter PUF,Logistic Regression,10,1.9,0.9455
Arbiter PUF,Logistic Regression,10,2.0,0.939
Arbiter PUF,Logistic Regression,10,2.1,0.9325
Arbiter PUF,Logistic Regression,10,2.2,0.9245
Arbiter PUF,Logistic Regression,10,2.3,0.915
Arbiter PUF,Logistic Regression,10,2.4,0.9095
Arbiter PUF,Logistic Regression,10,2.5,0.9015
Arbiter PUF,Logistic Regression,10,2.6,0.89
Arbiter PUF,Logistic Regression,10,2.7,0.883
Arbiter PUF,Logistic Regression,10,2.8,0.8755
Arbiter PUF,Logistic Regression,10,2.9,0.8645
Arbiter PUF,Logistic Regression,20,0.8,0.9625
Arbiter PUF,Logistic Regression,20,0.9,0.9655
Arbiter PUF,Logistic Regression,20,1.0,0.968
Arbiter PUF,Logistic Regression,20,1.1,0.9695
Arbiter PUF,Logistic Regression,20,1.2,0.9685
Arbiter PUF,Logistic Regression,20,1.3,0.9675
Arbiter PUF,Logistic Regression,20,1.4,0.9655
Arbiter PUF,Logistic Regression,20,1.5,0.9615
Arbiter PUF,Logistic Regression,20,1.6,0.9595
Arbiter PUF,Logistic Regression,20,1.7,0.9545
Arbiter PUF,Logistic Regression,20,1.8,0.9535
Arbiter PUF,Logistic Regression,20,1.9,0.9495
Arbiter PUF,Logistic Regression,20,2.0,0.944
Arbiter PUF,Logistic Regression,20,2.1,0.9385
Arbiter PUF,Logistic Regression,20,2.2,0.932
Arbiter PUF,Logistic Regression,20,2.3,0.9245
Arbiter PUF,Logistic Regression,20,2.4,0.9155
Arbiter PUF,Logistic Regression,20,2.5,0.9095
Arbiter PUF,Logistic Regression,20,2.6,0.9025
Arbiter PUF,Logistic Regression,20,2.7,0.893
Arbiter PUF,Logistic Regression,20,2.8,0.8835
Arbiter PUF,Logistic Regression,20,2.9,0.877
Arbiter PUF,Logistic Regression,30,0.8,0.9605
Arbiter PUF,Logistic Regression,30,0.9,0.9645
Arbiter PUF,Logistic Regression,30,1.0,0.9665
Arbiter PUF,Logistic Regression,30,1.1,0.9685
Arbiter PUF,Logistic Regression,30,1.2,0.969
Arbiter PUF,Logistic Regression,30,1.3,0.967
Arbiter PUF,Logistic Regression,30,1.4,0.9665
Arbiter PUF,Logistic Regression,30,1.5,0.9635
Arbiter PUF,Logistic Regression,30,1.6,0.9615
Arbiter PUF,Logistic Regression,30,1.7,0.9575
Arbiter PUF,Logistic Regression,30,1.8,0.9545
Arbiter PUF,Logistic Regression,30,1.9,0.9525
Arbiter PUF,Logistic Regression,30,2.0,0.9485
Arbiter PUF,Logistic Regression,30,2.1,0.944
Arbiter PUF,Logistic Regression,30,2.2,0.938
Arbiter PUF,Logistic Regression,30,2.3,0.932
Arbiter PUF,Logistic Regression,30,2.4,0.924
Arbiter PUF,Logistic Regression,30,2.5,0.9155
Arbiter PUF,Logistic Regression,30,2.6,0.91
Arbiter PUF,Logistic Regression,30,2.7,0.9035
Arbiter PUF,Logistic Regression,30,2.8,0.8945
Arbiter PUF,Logistic Regression,30,2.9,0.8855
Arbiter PUF,Logistic Regression,40,0.8,0.961
Arbiter PUF,Logistic Regression,40,0.9,0.964
Arbiter PUF,Logistic Regression,40,1.0,0.9665
Arbiter PUF,Logistic Regression,40,1.1,0.968
Arbiter PUF,Logistic Regression,40,1.2,0.9695
Arbiter PUF,Logistic Regression,40,1.3,0.9685
Arbiter PUF,Logistic Regression,40,1.4,0.968
Arbiter PUF,Logistic Regression,40,1.5,0.9645
Arbiter PUF,Logistic Regression,40,1.6,0.9615
Arbiter PUF,Logistic Regression,40,1.7,0.9605
Arbiter PUF,Logistic Regression,40,1.8,0.9565
Arbiter PUF,Logistic Regression,40,1.9,0.9545
Arbiter PUF,Logistic Regression,40,2.0,0.9515
Arbiter PUF,Logistic Regression,40,2.1,0.9485
Arbiter PUF,Logistic Regression,40,2.2,0.943
Arbiter PUF,Logistic Regression,40,2.3,0.938
