PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Feed-Forward Arbiter,Logistic regression Attack,0,0.8,0.8305
Feed-Forward Arbiter,Logistic regression Attack,0,0.9,0.8295
Feed-Forward Arbiter,Logistic regression Attack,0,1.0,0.8275
Feed-Forward Arbiter,Logistic regression Attack,0,1.1,0.8285
Feed-Forward Arbiter,Logistic regression Attack,0,1.2,0.8285
Feed-Forward Arbiter,Logistic regression Attack,0,1.3,0.8285
Feed-Forward Arbiter,Logistic regression Attack,0,1.4,0.8285
Feed-Forward Arbiter,Logistic regression Attack,0,1.5,0.8295
Feed-Forward Arbiter,Logistic regression Attack,0,1.6,0.83
Feed-Forward Arbiter,Logistic regression Attack,0,1.7,0.8315
Feed-Forward Arbiter,Logistic regression Attack,0,1.8,0.831
Feed-Forward Arbiter,Logistic regression Attack,0,1.9,0.8325
Feed-Forward Arbiter,Logistic regression Attack,0,2.0,0.834
Feed-Forward Arbiter,Logistic regression Attack,0,2.1,0.835
Feed-Forward Arbiter,Logistic regression Attack,0,2.2,0.8355
Feed-Forward Arbiter,Logistic regression Attack,0,2.3,0.8355
Feed-Forward Arbiter,Logistic regression Attack,0,2.4,0.8365
Feed-Forward Arbiter,Logistic regression Attack,0,2.5,0.8335
Feed-Forward Arbiter,Logistic regression Attack,0,2.6,0.8335
Feed-Forward Arbiter,Logistic regression Attack,0,2.7,0.8325
Feed-Forward Arbiter,Logistic regression Attack,0,2.8,0.8345
Feed-Forward Arbiter,Logistic regression Attack,0,2.9,0.834
Feed-Forward Arbiter,Logistic regression Attack,10,0.8,0.83
Feed-Forward Arbiter,Logistic regression Attack,10,0.9,0.83
Feed-Forward Arbiter,Logistic regression Attack,10,1.0,0.828
Feed-Forward Arbiter,Logistic regression Attack,10,1.1,0.828
Feed-Forward Arbiter,Logistic regression Attack,10,1.2,0.829
Feed-Forward Arbiter,Logistic regression Attack,10,1.3,0.8285
Feed-Forward Arbiter,Logistic regression Attack,10,1.4,0.829
Feed-Forward Arbiter,Logistic regression Attack,10,1.5,0.828
Feed-Forward Arbiter,Logistic regression Attack,10,1.6,0.829
Feed-Forward Arbiter,Logistic regression Attack,10,1.7,0.8305
Feed-Forward Arbiter,Logistic regression Attack,10,1.8,0.8305
Feed-Forward Arbiter,Logistic regression Attack,10,1.9,0.831
Feed-Forward Arbiter,Logistic regression Attack,10,2.0,0.833
Feed-Forward Arbiter,Logistic regression Attack,10,2.1,0.834
Feed-Forward Arbiter,Logistic regression Attack,10,2.2,0.835
Feed-Forward Arbiter,Logistic regression Attack,10,2.3,0.8355
Feed-Forward Arbiter,Logistic regression Attack,10,2.4,0.8355
Feed-Forward Arbiter,Logistic regression Attack,10,2.5,0.8365
Feed-Forward Arbiter,Logistic regression Attack,10,2.6,0.8345
Feed-Forward Arbiter,Logistic regression Attack,10,2.7,0.834
Feed-Forward Arbiter,Logistic regression Attack,10,2.8,0.833
Feed-Forward Arbiter,Logistic regression Attack,10,2.9,0.834
Feed-Forward Arbiter,Logistic regression Attack,20,0.8,0.8295
Feed-Forward Arbiter,Logistic regression Attack,20,0.9,0.8295
Feed-Forward Arbiter,Logistic regression Attack,20,1.0,0.8295
Feed-Forward Arbiter,Logistic regression Attack,20,1.1,0.8275
Feed-Forward Arbiter,Logistic regression Attack,20,1.2,0.8285
Feed-Forward Arbiter,Logistic regression Attack,20,1.3,0.828
Feed-Forward Arbiter,Logistic regression Attack,20,1.4,0.828
Feed-Forward Arbiter,Logistic regression Attack,20,1.5,0.8285
Feed-Forward Arbiter,Logistic regression Attack,20,1.6,0.828
Feed-Forward Arbiter,Logistic regression Attack,20,1.7,0.829
Feed-Forward Arbiter,Logistic regression Attack,20,1.8,0.831
Feed-Forward Arbiter,Logistic regression Attack,20,1.9,0.8305
Feed-Forward Arbiter,Logistic regression Attack,20,2.0,0.8325
Feed-Forward Arbiter,Logistic regression Attack,20,2.1,0.833
Feed-Forward Arbiter,Logistic regression Attack,20,2.2,0.834
Feed-Forward Arbiter,Logistic regression Attack,20,2.3,0.835
Feed-Forward Arbiter,Logistic regression Attack,20,2.4,0.8355
Feed-Forward Arbiter,Logistic regression Attack,20,2.5,0.836
Feed-Forward Arbiter,Logistic regression Attack,20,2.6,0.8365
Feed-Forward Arbiter,Logistic regression Attack,20,2.7,0.8345
Feed-Forward Arbiter,Logistic regression Attack,20,2.8,0.8335
Feed-Forward Arbiter,Logistic regression Attack,20,2.9,0.833
Feed-Forward Arbiter,Logistic regression Attack,30,0.8,0.8295
Feed-Forward Arbiter,Logistic regression Attack,30,0.9,0.8305
Feed-Forward Arbiter,Logistic regression Attack,30,1.0,0.8305
Feed-Forward Arbiter,Logistic regression Attack,30,1.1,0.828
Feed-Forward Arbiter,Logistic regression Attack,30,1.2,0.828
