PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Interpose PUF,Logistic regression Attack,0,0.8,0.735
Interpose PUF,Logistic regression Attack,0,0.9,0.7335
Interpose PUF,Logistic regression Attack,0,1.0,0.732
Interpose PUF,Logistic regression Attack,0,1.1,0.733
Interpose PUF,Logistic regression Attack,0,1.2,0.7285
Interpose PUF,Logistic regression Attack,0,1.3,0.7235
Interpose PUF,Logistic regression Attack,0,1.4,0.7175
Interpose PUF,Logistic regression Attack,0,1.5,0.716
Interpose PUF,Logistic regression Attack,0,1.6,0.707
Interpose PUF,Logistic regression Attack,0,1.7,0.702
Interpose PUF,Logistic regression Attack,0,1.8,0.7005
Interpose PUF,Logistic regression Attack,0,1.9,0.696
Interpose PUF,Logistic regression Attack,0,2.0,0.689
Interpose PUF,Logistic regression Attack,0,2.1,0.6855
Interpose PUF,Logistic regression Attack,0,2.2,0.6845
Interpose PUF,Logistic regression Attack,0,2.3,0.678
Interpose PUF,Logistic regression Attack,0,2.4,0.674
Interpose PUF,Logistic regression Attack,0,2.5,0.6695
Interpose PUF,Logistic regression Attack,0,2.6,0.661
Interpose PUF,Logistic regression Attack,0,2.7,0.6615
Interpose PUF,Logistic regression Attack,0,2.8,0.6625
Interpose PUF,Logistic regression Attack,0,2.9,0.6565
Interpose PUF,Logistic regression Attack,10,0.8,0.736
Interpose PUF,Logistic regression Attack,10,0.9,0.7335
Interpose PUF,Logistic regression Attack,10,1.0,0.733
Interpose PUF,Logistic regression Attack,10,1.1,0.7315
Interpose PUF,Logistic regression Attack,10,1.2,0.7315
Interpose PUF,Logistic regression Attack,10,1.3,0.7275
Interpose PUF,Logistic regression Attack,10,1.4,0.722
Interpose PUF,Logistic regression Attack,10,1.5,0.7155
Interpose PUF,Logistic regression Attack,10,1.6,0.7125
Interpose PUF,Logistic regression Attack,10,1.7,0.707
Interpose PUF,Logistic regression Attack,10,1.8,0.704
Interpose PUF,Logistic regression Attack,10,1.9,0.699
Interpose PUF,Logistic regression Attack,10,2.0,0.695
Interpose PUF,Logistic regression Attack,10,2.1,0.69
Interpose PUF,Logistic regression Attack,10,2.2,0.6855
Interpose PUF,Logistic regression Attack,10,2.3,0.6845
Interpose PUF,Logistic regression Attack,10,2.4,0.677
Interpose PUF,Logistic regression Attack,10,2.5,0.6745
Interpose PUF,Logistic regression Attack,10,2.6,0.67
Interpose PUF,Logistic regression Attack,10,2.7,0.6615
Interpose PUF,Logistic regression Attack,10,2.8,0.6615
Interpose PUF,Logistic regression Attack,10,2.9,0.661
Interpose PUF,Logistic regression Attack,20,0.8,0.7375
Interpose PUF,Logistic regression Attack,20,0.9,0.7355
Interpose PUF,Logistic regression Attack,20,1.0,0.7325
Interpose PUF,Logistic regression Attack,20,1.1,0.732
Interpose PUF,Logistic regression Attack,20,1.2,0.7335
Interpose PUF,Logistic regression Attack,20,1.3,0.7295
Interpose PUF,Logistic regression Attack,20,1.4,0.7245
Interpose PUF,Logistic regression Attack,20,1.5,0.7185
Interpose PUF,Logistic regression Attack,20,1.6,0.7155
Interpose PUF,Logistic regression Attack,20,1.7,0.71
Interpose PUF,Logistic regression Attack,20,1.8,0.707
Interpose PUF,Logistic regression Attack,20,1.9,0.703
Interpose PUF,Logistic regression Attack,20,2.0,0.7
Interpose PUF,Logistic regression Attack,20,2.1,0.696
Interpose PUF,Logistic regression Attack,20,2.2,0.6895
Interpose PUF,Logistic regression Attack,20,2.3,0.6855
Interpose PUF,Logistic regression Attack,20,2.4,0.6845
Interpose PUF,Logistic regression Attack,20,2.5,0.679
Interpose PUF,Logistic regression Attack,20,2.6,0.6745
Interpose PUF,Logistic regression Attack,20,2.7,0.671
Interpose PUF,Logistic regression Attack,20,2.8,0.664
Interpose PUF,Logistic regression Attack,20,2.9,0.6615
Interpose PUF,Logistic regression Attack,30,0.8,0.736
Interpose PUF,Logistic regression Attack,30,0.9,0.7355
Interpose PUF,Logistic regression Attack,30,1.0,0.7335
Interpose PUF,Logistic regression Attack,30,1.1,0.7315
Interpose PUF,Logistic regression Attack,30,1.2,0.732
Interpose PUF,Logistic regression Attack,30,1.3,0.7315
Interpose PUF,Logistic regression Attack,30,1.4,0.7275
Interpose PUF,Logistic regression Attack,30,1.5,0.7235
Interpose PUF,Logistic regression Attack,30,1.6,0.718
Interpose PUF,Logistic regression Attack,30,1.7,0.716
Interpose PUF,Logistic regression Attack,30,1.8,0.7085
Interpose PUF,Logistic regression Attack,30,1.9,0.7055
Interpose PUF,Logistic regression Attack,30,2.0,0.7025
Interpose PUF,Logistic regression Attack,30,2.1,0.7005
Interpose PUF,Logistic regression Attack,30,2.2,0.6945
Interpose PUF,Logistic regression Attack,30,2.3,0.6895
Interpose PUF,Logistic regression Attack,30,2.4,0.686
Interpose PUF,Logistic regression Attack,30,2.5,0.684
Interpose PUF,Logistic regression Attack,30,2.6,0.6785
Interpose PUF,Logistic regression Attack,30,2.7,0.675
Interpose PUF,Logistic regression Attack,30,2.8,0.672
Interpose PUF,Logistic regression Attack,30,2.9,0.665
Interpose PUF,Logistic regression Attack,40,0.8,0.7355
Interpose PUF,Logistic regression Attack,40,0.9,0.7365
Interpose PUF,Logistic regression Attack,40,1.0,0.735
