PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
4-XOR Arbiter,MLP Attack,0,0.8,0.9275
4-XOR Arbiter,MLP Attack,0,0.9,0.927
4-XOR Arbiter,MLP Attack,0,1.0,0.928
4-XOR Arbiter,MLP Attack,0,1.1,0.932
4-XOR Arbiter,MLP Attack,0,1.2,0.9315
4-XOR Arbiter,MLP Attack,0,1.3,0.9275
4-XOR Arbiter,MLP Attack,0,1.4,0.9235
4-XOR Arbiter,MLP Attack,0,1.5,0.923
4-XOR Arbiter,MLP Attack,0,1.6,0.9195
4-XOR Arbiter,MLP Attack,0,1.7,0.914
4-XOR Arbiter,MLP Attack,0,1.8,0.911
4-XOR Arbiter,MLP Attack,0,1.9,0.91
4-XOR Arbiter,MLP Attack,0,2.0,0.908
4-XOR Arbiter,MLP Attack,0,2.1,0.899
4-XOR Arbiter,MLP Attack,0,2.2,0.894
4-XOR Arbiter,MLP Attack,0,2.3,0.887
4-XOR Arbiter,MLP Attack,0,2.4,0.8815
4-XOR Arbiter,MLP Attack,0,2.5,0.8755
4-XOR Arbiter,MLP Attack,0,2.6,0.8695
4-XOR Arbiter,MLP Attack,0,2.7,0.857
4-XOR Arbiter,MLP Attack,0,2.8,0.8455
4-XOR Arbiter,MLP Attack,0,2.9,0.84
4-XOR Arbiter,MLP Attack,10,0.8,0.9255
4-XOR Arbiter,MLP Attack,10,0.9,0.9275
4-XOR Arbiter,MLP Attack,10,1.0,0.927
4-XOR Arbiter,MLP Attack,10,1.1,0.9305
4-XOR Arbiter,MLP Attack,10,1.2,0.9315
4-XOR Arbiter,MLP Attack,10,1.3,0.9305
4-XOR Arbiter,MLP Attack,10,1.4,0.924
4-XOR Arbiter,MLP Attack,10,1.5,0.925
4-XOR Arbiter,MLP Attack,10,1.6,0.921
4-XOR Arbiter,MLP Attack,10,1.7,0.9165
4-XOR Arbiter,MLP Attack,10,1.8,0.9145
4-XOR Arbiter,MLP Attack,10,1.9,0.9105
4-XOR Arbiter,MLP Attack,10,2.0,0.9105
4-XOR Arbiter,MLP Attack,10,2.1,0.907
4-XOR Arbiter,MLP Attack,10,2.2,0.899
4-XOR Arbiter,MLP Attack,10,2.3,0.894
4-XOR Arbiter,MLP Attack,10,2.4,0.8875
4-XOR Arbiter,MLP Attack,10,2.5,0.8825
4-XOR Arbiter,MLP Attack,10,2.6,0.8755
4-XOR Arbiter,MLP Attack,10,2.7,0.8725
4-XOR Arbiter,MLP Attack,10,2.8,0.859
4-XOR Arbiter,MLP Attack,10,2.9,0.8465
4-XOR Arbiter,MLP Attack,20,0.8,0.9265
4-XOR Arbiter,MLP Attack,20,0.9,0.9275
4-XOR Arbiter,MLP Attack,20,1.0,0.9265
4-XOR Arbiter,MLP Attack,20,1.1,0.928
4-XOR Arbiter,MLP Attack,20,1.2,0.9315
4-XOR Arbiter,MLP Attack,20,1.3,0.933
4-XOR Arbiter,MLP Attack,20,1.4,0.929
4-XOR Arbiter,MLP Attack,20,1.5,0.924
4-XOR Arbiter,MLP Attack,20,1.6,0.925
4-XOR Arbiter,MLP Attack,20,1.7,0.9215
4-XOR Arbiter,MLP Attack,20,1.8,0.9145
4-XOR Arbiter,MLP Attack,20,1.9,0.9135
4-XOR Arbiter,MLP Attack,20,2.0,0.9105
4-XOR Arbiter,MLP Attack,20,2.1,0.9105
4-XOR Arbiter,MLP Attack,20,2.2,0.906
4-XOR Arbiter,MLP Attack,20,2.3,0.898
4-XOR Arbiter,MLP Attack,20,2.4,0.894
4-XOR Arbiter,MLP Attack,20,2.5,0.8875
4-XOR Arbiter,MLP Attack,20,2.6,0.8845
4-XOR Arbiter,MLP Attack,20,2.7,0.877
