PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Arbiter PUF,Logistic Regression,0,0.8,0.961
Arbiter PUF,Logistic Regression,0,0.9,0.9615
Arbiter PUF,Logistic Regression,0,1.0,0.9645
Arbiter PUF,Logistic Regression,0,1.1,0.9625
Arbiter PUF,Logistic Regression,0,1.2,0.9585
Arbiter PUF,Logistic Regression,0,1.3,0.956
Arbiter PUF,Logistic Regression,0,1.4,0.9545
Arbiter PUF,Logistic Regression,0,1.5,0.9505
Arbiter PUF,Logistic Regression,0,1.6,0.9455
Arbiter PUF,Logistic Regression,0,1.7,0.942
Arbiter PUF,Logistic Regression,0,1.8,0.936
Arbiter PUF,Logistic Regression,0,1.9,0.9285
Arbiter PUF,Logistic Regression,0,2.0,0.9225
Arbiter PUF,Logistic Regression,0,2.1,0.9155
Arbiter PUF,Logistic Regression,0,2.2,0.908
Arbiter PUF,Logistic Regression,0,2.3,0.9025
Arbiter PUF,Logistic Regression,0,2.4,0.893
Arbiter PUF,Logistic Regression,0,2.5,0.883
Arbiter PUF,Logistic Regression,0,2.6,0.8755
Arbiter PUF,Logistic Regression,0,2.7,0.8675
Arbiter PUF,Logistic Regression,0,2.8,0.8565
Arbiter PUF,Logistic Regression,0,2.9,0.849
Arbiter PUF,Logistic Regression,10,0.8,0.959
Arbiter PUF,Logistic Regression,10,0.9,0.963
Arbiter PUF,Logistic Regression,10,1.0,0.9625
Arbiter PUF,Logistic Regression,10,1.1,0.964
Arbiter PUF,Logistic Regression,10,1.2,0.961
Arbiter PUF,Logistic Regression,10,1.3,0.958
Arbiter PUF,Logistic Regression,10,1.4,0.954
Arbiter PUF,Logistic Regression,10,1.5,0.9535
Arbiter PUF,Logistic Regression,10,1.6,0.9485
Arbiter PUF,Logistic Regression,10,1.7,0.9445
Arbiter PUF,Logistic Regression,10,1.8,0.9405
Arbiter PUF,Logistic Regression,10,1.9,0.9345
Arbiter PUF,Logistic Regression,10,2.0,0.927
Arbiter PUF,Logistic Regression,10,2.1,0.9225
Arbiter PUF,Logistic Regression,10,2.2,0.9155
Arbiter PUF,Logistic Regression,10,2.3,0.908
Arbiter PUF,Logistic Regression,10,2.4,0.9025
Arbiter PUF,Logistic Regression,10,2.5,0.8955
Arbiter PUF,Logistic Regression,10,2.6,0.884
Arbiter PUF,Logistic Regression,10,2.7,0.877
Arbiter PUF,Logistic Regression,10,2.8,0.8695
Arbiter PUF,Logistic Regression,10,2.9,0.8585
Arbiter PUF,Logistic Regression,20,0.8,0.9585
Arbiter PUF,Logistic Regression,20,0.9,0.9615
Arbiter PUF,Logistic Regression,20,1.0,0.961
Arbiter PUF,Logistic Regression,20,1.1,0.9645
Arbiter PUF,Logistic Regression,20,1.2,0.9625
Arbiter PUF,Logistic Regression,20,1.3,0.9595
Arbiter PUF,Logistic Regression,20,1.4,0.9575
Arbiter PUF,Logistic Regression,20,1.5,0.9545
Arbiter PUF,Logistic Regression,20,1.6,0.9525
Arbiter PUF,Logistic Regression,20,1.7,0.9465
Arbiter PUF,Logistic Regression,20,1.8,0.9435
Arbiter PUF,Logistic Regression,20,1.9,0.9405
Arbiter PUF,Logistic Regression,20,2.0,0.932
Arbiter PUF,Logistic Regression,20,2.1,0.9265
Arbiter PUF,Logistic Regression,20,2.2,0.922
Arbiter PUF,Logistic Regression,20,2.3,0.9155
Arbiter PUF,Logistic Regression,20,2.4,0.9085
Arbiter PUF,Logistic Regression,20,2.5,0.9025
Arbiter PUF,Logistic Regression,20,2.6,0.8965
Arbiter PUF,Logistic Regression,20,2.7,0.887
Arbiter PUF,Logistic Regression,20,2.8,0.8775
Arbiter PUF,Logistic Regression,20,2.9,0.871
Arbiter PUF,Logistic Regression,30,0.8,0.9565
Arbiter PUF,Logistic Regression,30,0.9,0.9605
Arbiter PUF,Logistic Regression,30,1.0,0.9625
Arbiter PUF,Logistic Regression,30,1.1,0.9625
Arbiter PUF,Logistic Regression,30,1.2,0.964
Arbiter PUF,Logistic Regression,30,1.3,0.961
Arbiter PUF,Logistic Regression,30,1.4,0.9575
Arbiter PUF,Logistic Regression,30,1.5,0.9545
Arbiter PUF,Logistic Regression,30,1.6,0.9545
Arbiter PUF,Logistic Regression,30,1.7,0.9515
Arbiter PUF,Logistic Regression,30,1.8,0.9455
Arbiter PUF,Logistic Regression,30,1.9,0.9435
Arbiter PUF,Logistic Regression,30,2.0,0.9385
