PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Feed-Forward Arbiter,MLP Attack,0,0.8,0.9475
Feed-Forward Arbiter,MLP Attack,0,0.9,0.9445
Feed-Forward Arbiter,MLP Attack,0,1.0,0.9435
Feed-Forward Arbiter,MLP Attack,0,1.1,0.9435
Feed-Forward Arbiter,MLP Attack,0,1.2,0.9425
Feed-Forward Arbiter,MLP Attack,0,1.3,0.9425
Feed-Forward Arbiter,MLP Attack,0,1.4,0.9415
Feed-Forward Arbiter,MLP Attack,0,1.5,0.9395
Feed-Forward Arbiter,MLP Attack,0,1.6,0.938
Feed-Forward Arbiter,MLP Attack,0,1.7,0.9365
Feed-Forward Arbiter,MLP Attack,0,1.8,0.934
Feed-Forward Arbiter,MLP Attack,0,1.9,0.9315
Feed-Forward Arbiter,MLP Attack,0,2.0,0.93
Feed-Forward Arbiter,MLP Attack,0,2.1,0.925
Feed-Forward Arbiter,MLP Attack,0,2.2,0.9235
Feed-Forward Arbiter,MLP Attack,0,2.3,0.9205
Feed-Forward Arbiter,MLP Attack,0,2.4,0.9185
Feed-Forward Arbiter,MLP Attack,0,2.5,0.9145
Feed-Forward Arbiter,MLP Attack,0,2.6,0.9105
Feed-Forward Arbiter,MLP Attack,0,2.7,0.9095
Feed-Forward Arbiter,MLP Attack,0,2.8,0.9065
Feed-Forward Arbiter,MLP Attack,0,2.9,0.905
Feed-Forward Arbiter,MLP Attack,10,0.8,0.948
Feed-Forward Arbiter,MLP Attack,10,0.9,0.946
Feed-Forward Arbiter,MLP Attack,10,1.0,0.944
Feed-Forward Arbiter,MLP Attack,10,1.1,0.944
Feed-Forward Arbiter,MLP Attack,10,1.2,0.943
Feed-Forward Arbiter,MLP Attack,10,1.3,0.9425
Feed-Forward Arbiter,MLP Attack,10,1.4,0.943
Feed-Forward Arbiter,MLP Attack,10,1.5,0.942
Feed-Forward Arbiter,MLP Attack,10,1.6,0.939
Feed-Forward Arbiter,MLP Attack,10,1.7,0.9365
Feed-Forward Arbiter,MLP Attack,10,1.8,0.9355
Feed-Forward Arbiter,MLP Attack,10,1.9,0.934
Feed-Forward Arbiter,MLP Attack,10,2.0,0.931
Feed-Forward Arbiter,MLP Attack,10,2.1,0.93
Feed-Forward Arbiter,MLP Attack,10,2.2,0.925
Feed-Forward Arbiter,MLP Attack,10,2.3,0.9235
Feed-Forward Arbiter,MLP Attack,10,2.4,0.9205
Feed-Forward Arbiter,MLP Attack,10,2.5,0.9185
Feed-Forward Arbiter,MLP Attack,10,2.6,0.9155
Feed-Forward Arbiter,MLP Attack,10,2.7,0.912
Feed-Forward Arbiter,MLP Attack,10,2.8,0.91
Feed-Forward Arbiter,MLP Attack,10,2.9,0.907
Feed-Forward Arbiter,MLP Attack,20,0.8,0.9485
Feed-Forward Arbiter,MLP Attack,20,0.9,0.9475
Feed-Forward Arbiter,MLP Attack,20,1.0,0.9445
Feed-Forward Arbiter,MLP Attack,20,1.1,0.9435
Feed-Forward Arbiter,MLP Attack,20,1.2,0.9435
Feed-Forward Arbiter,MLP Attack,20,1.3,0.942
Feed-Forward Arbiter,MLP Attack,20,1.4,0.942
Feed-Forward Arbiter,MLP Attack,20,1.5,0.9415
Feed-Forward Arbiter,MLP Attack,20,1.6,0.94
Feed-Forward Arbiter,MLP Attack,20,1.7,0.939
Feed-Forward Arbiter,MLP Attack,20,1.8,0.936
Feed-Forward Arbiter,MLP Attack,20,1.9,0.9355
Feed-Forward Arbiter,MLP Attack,20,2.0,0.9335
Feed-Forward Arbiter,MLP Attack,20,2.1,0.931
Feed-Forward Arbiter,MLP Attack,20,2.2,0.93
Feed-Forward Arbiter,MLP Attack,20,2.3,0.925
Feed-Forward Arbiter,MLP Attack,20,2.4,0.9235
Feed-Forward Arbiter,MLP Attack,20,2.5,0.921
Feed-Forward Arbiter,MLP Attack,20,2.6,0.9185
Feed-Forward Arbiter,MLP Attack,20,2.7,0.9155
Feed-Forward Arbiter,MLP Attack,20,2.8,0.9125
Feed-Forward Arbiter,MLP Attack,20,2.9,0.91
Feed-Forward Arbiter,MLP Attack,30,0.8,0.9475
Feed-Forward Arbiter,MLP Attack,30,0.9,0.9475
Feed-Forward Arbiter,MLP Attack,30,1.0,0.9455
Feed-Forward Arbiter,MLP Attack,30,1.1,0.944
Feed-Forward Arbiter,MLP Attack,30,1.2,0.944
Feed-Forward Arbiter,MLP Attack,30,1.3,0.943
Feed-Forward Arbiter,MLP Attack,30,1.4,0.9425
Feed-Forward Arbiter,MLP Attack,30,1.5,0.942
Feed-Forward Arbiter,MLP Attack,30,1.6,0.9415
Feed-Forward Arbiter,MLP Attack,30,1.7,0.94
Feed-Forward Arbiter,MLP Attack,30,1.8,0.9385
Feed-Forward Arbiter,MLP Attack,30,1.9,0.936
Feed-Forward Arbiter,MLP Attack,30,2.0,0.935
Feed-Forward Arbiter,MLP Attack,30,2.1,0.934
Feed-Forward Arbiter,MLP Attack,30,2.2,0.931
Feed-Forward Arbiter,MLP Attack,30,2.3,0.9295
Feed-Forward Arbiter,MLP Attack,30,2.4,0.925
Feed-Forward Arbiter,MLP Attack,30,2.5,0.9235
Feed-Forward Arbiter,MLP Attack,30,2.6,0.921
Feed-Forward Arbiter,MLP Attack,30,2.7,0.919
Feed-Forward Arbiter,MLP Attack,30,2.8,0.9165
