PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Interpose PUF,MLP Attack,0,0.8,0.9445
Interpose PUF,MLP Attack,0,0.9,0.944
Interpose PUF,MLP Attack,0,1.0,0.9425
Interpose PUF,MLP Attack,0,1.1,0.9405
Interpose PUF,MLP Attack,0,1.2,0.934
Interpose PUF,MLP Attack,0,1.3,0.93
Interpose PUF,MLP Attack,0,1.4,0.921
Interpose PUF,MLP Attack,0,1.5,0.9185
Interpose PUF,MLP Attack,0,1.6,0.9055
Interpose PUF,MLP Attack,0,1.7,0.8935
Interpose PUF,MLP Attack,0,1.8,0.884
Interpose PUF,MLP Attack,0,1.9,0.8715
Interpose PUF,MLP Attack,0,2.0,0.8585
Interpose PUF,MLP Attack,0,2.1,0.849
Interpose PUF,MLP Attack,0,2.2,0.845
Interpose PUF,MLP Attack,0,2.3,0.8335
Interpose PUF,MLP Attack,0,2.4,0.8245
Interpose PUF,MLP Attack,0,2.5,0.817
Interpose PUF,MLP Attack,0,2.6,0.8075
Interpose PUF,MLP Attack,0,2.7,0.803
Interpose PUF,MLP Attack,0,2.8,0.797
Interpose PUF,MLP Attack,0,2.9,0.786
Interpose PUF,MLP Attack,10,0.8,0.9445
Interpose PUF,MLP Attack,10,0.9,0.944
Interpose PUF,MLP Attack,10,1.0,0.9445
Interpose PUF,MLP Attack,10,1.1,0.941
Interpose PUF,MLP Attack,10,1.2,0.937
Interpose PUF,MLP Attack,10,1.3,0.934
Interpose PUF,MLP Attack,10,1.4,0.9275
Interpose PUF,MLP Attack,10,1.5,0.92
Interpose PUF,MLP Attack,10,1.6,0.913
Interpose PUF,MLP Attack,10,1.7,0.9025
Interpose PUF,MLP Attack,10,1.8,0.8915
Interpose PUF,MLP Attack,10,1.9,0.8815
Interpose PUF,MLP Attack,10,2.0,0.8705
Interpose PUF,MLP Attack,10,2.1,0.8575
Interpose PUF,MLP Attack,10,2.2,0.849
Interpose PUF,MLP Attack,10,2.3,0.845
Interpose PUF,MLP Attack,10,2.4,0.8335
Interpose PUF,MLP Attack,10,2.5,0.826
Interpose PUF,MLP Attack,10,2.6,0.8165
Interpose PUF,MLP Attack,10,2.7,0.809
Interpose PUF,MLP Attack,10,2.8,0.805
Interpose PUF,MLP Attack,10,2.9,0.7995
Interpose PUF,MLP Attack,20,0.8,0.946
Interpose PUF,MLP Attack,20,0.9,0.944
Interpose PUF,MLP Attack,20,1.0,0.945
Interpose PUF,MLP Attack,20,1.1,0.9425
Interpose PUF,MLP Attack,20,1.2,0.941
Interpose PUF,MLP Attack,20,1.3,0.935
Interpose PUF,MLP Attack,20,1.4,0.931
Interpose PUF,MLP Attack,20,1.5,0.923
Interpose PUF,MLP Attack,20,1.6,0.92
Interpose PUF,MLP Attack,20,1.7,0.9105
Interpose PUF,MLP Attack,20,1.8,0.9015
Interpose PUF,MLP Attack,20,1.9,0.8895
Interpose PUF,MLP Attack,20,2.0,0.8785
Interpose PUF,MLP Attack,20,2.1,0.8695
Interpose PUF,MLP Attack,20,2.2,0.857
Interpose PUF,MLP Attack,20,2.3,0.849
Interpose PUF,MLP Attack,20,2.4,0.845
Interpose PUF,MLP Attack,20,2.5,0.8355
Interpose PUF,MLP Attack,20,2.6,0.827
Interpose PUF,MLP Attack,20,2.7,0.8175
Interpose PUF,MLP Attack,20,2.8,0.8125
Interpose PUF,MLP Attack,20,2.9,0.806
Interpose PUF,MLP Attack,30,0.8,0.9465
Interpose PUF,MLP Attack,30,0.9,0.944
Interpose PUF,MLP Attack,30,1.0,0.945
Interpose PUF,MLP Attack,30,1.1,0.943
Interpose PUF,MLP Attack,30,1.2,0.9415
Interpose PUF,MLP Attack,30,1.3,0.937
Interpose PUF,MLP Attack,30,1.4,0.934
Interpose PUF,MLP Attack,30,1.5,0.93
Interpose PUF,MLP Attack,30,1.6,0.9205
Interpose PUF,MLP Attack,30,1.7,0.9185
Interpose PUF,MLP Attack,30,1.8,0.908
Interpose PUF,MLP Attack,30,1.9,0.901
