PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Permutation PUF,MLP Attack,0,0.8,0.501
Permutation PUF,MLP Attack,0,0.9,0.5
Permutation PUF,MLP Attack,0,1.0,0.501
Permutation PUF,MLP Attack,0,1.1,0.5
Permutation PUF,MLP Attack,0,1.2,0.5
Permutation PUF,MLP Attack,0,1.3,0.5
Permutation PUF,MLP Attack,0,1.4,0.498
Permutation PUF,MLP Attack,0,1.5,0.5015
Permutation PUF,MLP Attack,0,1.6,0.4995
Permutation PUF,MLP Attack,0,1.7,0.5
Permutation PUF,MLP Attack,0,1.8,0.497
Permutation PUF,MLP Attack,0,1.9,0.49
Permutation PUF,MLP Attack,0,2.0,0.4945
Permutation PUF,MLP Attack,0,2.1,0.5025
Permutation PUF,MLP Attack,0,2.2,0.5
Permutation PUF,MLP Attack,0,2.3,0.502
Permutation PUF,MLP Attack,0,2.4,0.506
Permutation PUF,MLP Attack,0,2.5,0.5045
Permutation PUF,MLP Attack,0,2.6,0.5015
Permutation PUF,MLP Attack,0,2.7,0.5045
Permutation PUF,MLP Attack,0,2.8,0.504
Permutation PUF,MLP Attack,0,2.9,0.5025
Permutation PUF,MLP Attack,10,0.8,0.4995
Permutation PUF,MLP Attack,10,0.9,0.5
Permutation PUF,MLP Attack,10,1.0,0.5005
Permutation PUF,MLP Attack,10,1.1,0.501
Permutation PUF,MLP Attack,10,1.2,0.5035
Permutation PUF,MLP Attack,10,1.3,0.498
Permutation PUF,MLP Attack,10,1.4,0.497
Permutation PUF,MLP Attack,10,1.5,0.495
Permutation PUF,MLP Attack,10,1.6,0.5
Permutation PUF,MLP Attack,10,1.7,0.5015
Permutation PUF,MLP Attack,10,1.8,0.4965
Permutation PUF,MLP Attack,10,1.9,0.496
Permutation PUF,MLP Attack,10,2.0,0.4895
Permutation PUF,MLP Attack,10,2.1,0.496
Permutation PUF,MLP Attack,10,2.2,0.503
Permutation PUF,MLP Attack,10,2.3,0.4995
Permutation PUF,MLP Attack,10,2.4,0.5025
Permutation PUF,MLP Attack,10,2.5,0.507
Permutation PUF,MLP Attack,10,2.6,0.5025
Permutation PUF,MLP Attack,10,2.7,0.502
Permutation PUF,MLP Attack,10,2.8,0.5035
Permutation PUF,MLP Attack,10,2.9,0.503
Permutation PUF,MLP Attack,20,0.8,0.4985
Permutation PUF,MLP Attack,20,0.9,0.4995
Permutation PUF,MLP Attack,20,1.0,0.5
Permutation PUF,MLP Attack,20,1.1,0.501
Permutation PUF,MLP Attack,20,1.2,0.5
Permutation PUF,MLP Attack,20,1.3,0.501
Permutation PUF,MLP Attack,20,1.4,0.4985
Permutation PUF,MLP Attack,20,1.5,0.4985
Permutation PUF,MLP Attack,20,1.6,0.4965
Permutation PUF,MLP Attack,20,1.7,0.498
Permutation PUF,MLP Attack,20,1.8,0.5035
Permutation PUF,MLP Attack,20,1.9,0.4945
Permutation PUF,MLP Attack,20,2.0,0.493
Permutation PUF,MLP Attack,20,2.1,0.4885
Permutation PUF,MLP Attack,20,2.2,0.498
Permutation PUF,MLP Attack,20,2.3,0.503
Permutation PUF,MLP Attack,20,2.4,0.4995
Permutation PUF,MLP Attack,20,2.5,0.502
Permutation PUF,MLP Attack,20,2.6,0.5065
Permutation PUF,MLP Attack,20,2.7,0.503
Permutation PUF,MLP Attack,20,2.8,0.5025
Permutation PUF,MLP Attack,20,2.9,0.5015
Permutation PUF,MLP Attack,30,0.8,0.4975
Permutation PUF,MLP Attack,30,0.9,0.5015
Permutation PUF,MLP Attack,30,1.0,0.501
Permutation PUF,MLP Attack,30,1.1,0.5015
Permutation PUF,MLP Attack,30,1.2,0.501
Permutation PUF,MLP Attack,30,1.3,0.504
Permutation PUF,MLP Attack,30,1.4,0.498
Permutation PUF,MLP Attack,30,1.5,0.4975
