PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Permutation PUF,Least Squares Regression,0,0.8,0.495
Permutation PUF,Least Squares Regression,0,0.9,0.491
Permutation PUF,Least Squares Regression,0,1.0,0.487
Permutation PUF,Least Squares Regression,0,1.1,0.487
Permutation PUF,Least Squares Regression,0,1.2,0.4895
Permutation PUF,Least Squares Regression,0,1.3,0.487
Permutation PUF,Least Squares Regression,0,1.4,0.4835
Permutation PUF,Least Squares Regression,0,1.5,0.483
Permutation PUF,Least Squares Regression,0,1.6,0.4805
Permutation PUF,Least Squares Regression,0,1.7,0.475
Permutation PUF,Least Squares Regression,0,1.8,0.473
Permutation PUF,Least Squares Regression,0,1.9,0.477
Permutation PUF,Least Squares Regression,0,2.0,0.482
Permutation PUF,Least Squares Regression,0,2.1,0.4815
Permutation PUF,Least Squares Regression,0,2.2,0.4855
Permutation PUF,Least Squares Regression,0,2.3,0.495
Permutation PUF,Least Squares Regression,0,2.4,0.4915
Permutation PUF,Least Squares Regression,0,2.5,0.493
Permutation PUF,Least Squares Regression,0,2.6,0.499
Permutation PUF,Least Squares Regression,0,2.7,0.4965
Permutation PUF,Least Squares Regression,0,2.8,0.499
Permutation PUF,Least Squares Regression,0,2.9,0.5025
Permutation PUF,Least Squares Regression,10,0.8,0.4945
Permutation PUF,Least Squares Regression,10,0.9,0.491
Permutation PUF,Least Squares Regression,10,1.0,0.486
Permutation PUF,Least Squares Regression,10,1.1,0.4875
Permutation PUF,Least Squares Regression,10,1.2,0.487
Permutation PUF,Least Squares Regression,10,1.3,0.4875
Permutation PUF,Least Squares Regression,10,1.4,0.484
Permutation PUF,Least Squares Regression,10,1.5,0.4815
Permutation PUF,Least Squares Regression,10,1.6,0.4835
Permutation PUF,Least Squares Regression,10,1.7,0.4785
Permutation PUF,Least Squares Regression,10,1.8,0.4745
Permutation PUF,Least Squares Regression,10,1.9,0.4745
Permutation PUF,Least Squares Regression,10,2.0,0.4765
Permutation PUF,Least Squares Regression,10,2.1,0.482
Permutation PUF,Least Squares Regression,10,2.2,0.4835
Permutation PUF,Least Squares Regression,10,2.3,0.485
Permutation PUF,Least Squares Regression,10,2.4,0.495
Permutation PUF,Least Squares Regression,10,2.5,0.4915
Permutation PUF,Least Squares Regression,10,2.6,0.493
Permutation PUF,Least Squares Regression,10,2.7,0.499
Permutation PUF,Least Squares Regression,10,2.8,0.4995
Permutation PUF,Least Squares Regression,10,2.9,0.495
Permutation PUF,Least Squares Regression,20,0.8,0.494
Permutation PUF,Least Squares Regression,20,0.9,0.4945
Permutation PUF,Least Squares Regression,20,1.0,0.488
Permutation PUF,Least Squares Regression,20,1.1,0.4865
Permutation PUF,Least Squares Regression,20,1.2,0.487
Permutation PUF,Least Squares Regression,20,1.3,0.4875
Permutation PUF,Least Squares Regression,20,1.4,0.4875
Permutation PUF,Least Squares Regression,20,1.5,0.4835
Permutation PUF,Least Squares Regression,20,1.6,0.4845
Permutation PUF,Least Squares Regression,20,1.7,0.486
Permutation PUF,Least Squares Regression,20,1.8,0.478
Permutation PUF,Least Squares Regression,20,1.9,0.473
Permutation PUF,Least Squares Regression,20,2.0,0.474
Permutation PUF,Least Squares Regression,20,2.1,0.474
Permutation PUF,Least Squares Regression,20,2.2,0.4815
Permutation PUF,Least Squares Regression,20,2.3,0.4835
Permutation PUF,Least Squares Regression,20,2.4,0.4845
Permutation PUF,Least Squares Regression,20,2.5,0.4955
Permutation PUF,Least Squares Regression,20,2.6,0.492
Permutation PUF,Least Squares Regression,20,2.7,0.4935
Permutation PUF,Least Squares Regression,20,2.8,0.496
Permutation PUF,Least Squares Regression,20,2.9,0.499
Permutation PUF,Least Squares Regression,30,0.8,0.4965
Permutation PUF,Least Squares Regression,30,0.9,0.494
Permutation PUF,Least Squares Regression,30,1.0,0.4905
Permutation PUF,Least Squares Regression,30,1.1,0.4835
Permutation PUF,Least Squares Regression,30,1.2,0.4875
Permutation PUF,Least Squares Regression,30,1.3,0.488
Permutation PUF,Least Squares Regression,30,1.4,0.488
Permutation PUF,Least Squares Regression,30,1.5,0.4885
Permutation PUF,Least Squares Regression,30,1.6,0.4835
Permutation PUF,Least Squares Regression,30,1.7,0.483
Permutation PUF,Least Squares Regression,30,1.8,0.4855
Permutation PUF,Least Squares Regression,30,1.9,0.476
Permutation PUF,Least Squares Regression,30,2.0,0.474
Permutation PUF,Least Squares Regression,30,2.1,0.476
