PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
4-XOR Arbiter,Least squares Regression,0,0.8,0.507
4-XOR Arbiter,Least squares Regression,0,0.9,0.5045
4-XOR Arbiter,Least squares Regression,0,1.0,0.5035
4-XOR Arbiter,Least squares Regression,0,1.1,0.5035
4-XOR Arbiter,Least squares Regression,0,1.2,0.5
4-XOR Arbiter,Least squares Regression,0,1.3,0.5
4-XOR Arbiter,Least squares Regression,0,1.4,0.498
4-XOR Arbiter,Least squares Regression,0,1.5,0.5015
4-XOR Arbiter,Least squares Regression,0,1.6,0.503
4-XOR Arbiter,Least squares Regression,0,1.7,0.5015
4-XOR Arbiter,Least squares Regression,0,1.8,0.5015
4-XOR Arbiter,Least squares Regression,0,1.9,0.5015
4-XOR Arbiter,Least squares Regression,0,2.0,0.5025
4-XOR Arbiter,Least squares Regression,0,2.1,0.4975
4-XOR Arbiter,Least squares Regression,0,2.2,0.4985
4-XOR Arbiter,Least squares Regression,0,2.3,0.4985
4-XOR Arbiter,Least squares Regression,0,2.4,0.498
4-XOR Arbiter,Least squares Regression,0,2.5,0.502
4-XOR Arbiter,Least squares Regression,0,2.6,0.505
4-XOR Arbiter,Least squares Regression,0,2.7,0.5075
4-XOR Arbiter,Least squares Regression,0,2.8,0.504
4-XOR Arbiter,Least squares Regression,0,2.9,0.5055
4-XOR Arbiter,Least squares Regression,10,0.8,0.506
4-XOR Arbiter,Least squares Regression,10,0.9,0.505
4-XOR Arbiter,Least squares Regression,10,1.0,0.5035
4-XOR Arbiter,Least squares Regression,10,1.1,0.503
4-XOR Arbiter,Least squares Regression,10,1.2,0.501
4-XOR Arbiter,Least squares Regression,10,1.3,0.498
4-XOR Arbiter,Least squares Regression,10,1.4,0.4975
4-XOR Arbiter,Least squares Regression,10,1.5,0.4985
4-XOR Arbiter,Least squares Regression,10,1.6,0.5005
4-XOR Arbiter,Least squares Regression,10,1.7,0.501
4-XOR Arbiter,Least squares Regression,10,1.8,0.501
4-XOR Arbiter,Least squares Regression,10,1.9,0.502
4-XOR Arbiter,Least squares Regression,10,2.0,0.502
4-XOR Arbiter,Least squares Regression,10,2.1,0.5015
4-XOR Arbiter,Least squares Regression,10,2.2,0.4975
4-XOR Arbiter,Least squares Regression,10,2.3,0.4985
4-XOR Arbiter,Least squares Regression,10,2.4,0.499
4-XOR Arbiter,Least squares Regression,10,2.5,0.498
4-XOR Arbiter,Least squares Regression,10,2.6,0.502
4-XOR Arbiter,Least squares Regression,10,2.7,0.503
4-XOR Arbiter,Least squares Regression,10,2.8,0.5055
4-XOR Arbiter,Least squares Regression,10,2.9,0.505
4-XOR Arbiter,Least squares Regression,20,0.8,0.505
4-XOR Arbiter,Least squares Regression,20,0.9,0.507
4-XOR Arbiter,Least squares Regression,20,1.0,0.504
4-XOR Arbiter,Least squares Regression,20,1.1,0.5035
4-XOR Arbiter,Least squares Regression,20,1.2,0.503
4-XOR Arbiter,Least squares Regression,20,1.3,0.5005
4-XOR Arbiter,Least squares Regression,20,1.4,0.4995
4-XOR Arbiter,Least squares Regression,20,1.5,0.4975
4-XOR Arbiter,Least squares Regression,20,1.6,0.4995
4-XOR Arbiter,Least squares Regression,20,1.7,0.502
4-XOR Arbiter,Least squares Regression,20,1.8,0.502
4-XOR Arbiter,Least squares Regression,20,1.9,0.501
4-XOR Arbiter,Least squares Regression,20,2.0,0.502
4-XOR Arbiter,Least squares Regression,20,2.1,0.502
4-XOR Arbiter,Least squares Regression,20,2.2,0.5005
4-XOR Arbiter,Least squares Regression,20,2.3,0.4965
4-XOR Arbiter,Least squares Regression,20,2.4,0.4985
4-XOR Arbiter,Least squares Regression,20,2.5,0.499
4-XOR Arbiter,Least squares Regression,20,2.6,0.498
4-XOR Arbiter,Least squares Regression,20,2.7,0.5015
4-XOR Arbiter,Least squares Regression,20,2.8,0.5025
4-XOR Arbiter,Least squares Regression,20,2.9,0.5065
4-XOR Arbiter,Least squares Regression,30,0.8,0.506
4-XOR Arbiter,Least squares Regression,30,0.9,0.507
4-XOR Arbiter,Least squares Regression,30,1.0,0.5065
4-XOR Arbiter,Least squares Regression,30,1.1,0.503
4-XOR Arbiter,Least squares Regression,30,1.2,0.503
4-XOR Arbiter,Least squares Regression,30,1.3,0.502
4-XOR Arbiter,Least squares Regression,30,1.4,0.498
4-XOR Arbiter,Least squares Regression,30,1.5,0.4985
4-XOR Arbiter,Least squares Regression,30,1.6,0.4975
4-XOR Arbiter,Least squares Regression,30,1.7,0.501
4-XOR Arbiter,Least squares Regression,30,1.8,0.5025
4-XOR Arbiter,Least squares Regression,30,1.9,0.5015
4-XOR Arbiter,Least squares Regression,30,2.0,0.5015
4-XOR Arbiter,Least squares Regression,30,2.1,0.502
4-XOR Arbiter,Least squares Regression,30,2.2,0.502
4-XOR Arbiter,Least squares Regression,30,2.3,0.5005
4-XOR Arbiter,Least squares Regression,30,2.4,0.4965
4-XOR Arbiter,Least squares Regression,30,2.5,0.4985
4-XOR Arbiter,Least squares Regression,30,2.6,0.499
4-XOR Arbiter,Least squares Regression,30,2.7,0.498
4-XOR Arbiter,Least squares Regression,30,2.8,0.5005
4-XOR Arbiter,Least squares Regression,30,2.9,0.5025
4-XOR Arbiter,Least squares Regression,40,0.8,0.507
4-XOR Arbiter,Least squares Regression,40,0.9,0.5055
4-XOR Arbiter,Least squares Regression,40,1.0,0.5055
4-XOR Arbiter,Least squares Regression,40,1.1,0.5045
4-XOR Arbiter,Least squares Regression,40,1.2,0.5035
4-XOR Arbiter,Least squares Regression,40,1.3,0.503
4-XOR Arbiter,Least squares Regression,40,1.4,0.5005
4-XOR Arbiter,Least squares Regression,40,1.5,0.498
4-XOR Arbiter,Least squares Regression,40,1.6,0.4975
4-XOR Arbiter,Least squares Regression,40,1.7,0.498
4-XOR Arbiter,Least squares Regression,40,1.8,0.5005
4-XOR Arbiter,Least squares Regression,40,1.9,0.5025
4-XOR Arbiter,Least squares Regression,40,2.0,0.502
4-XOR Arbiter,Least squares Regression,40,2.1,0.502
4-XOR Arbiter,Least squares Regression,40,2.2,0.502
4-XOR Arbiter,Least squares Regression,40,2.3,0.5025
4-XOR Arbiter,Least squares Regression,40,2.4,0.5005
4-XOR Arbiter,Least squares Regression,40,2.5,0.4965
4-XOR Arbiter,Least squares Regression,40,2.6,0.4985
4-XOR Arbiter,Least squares Regression,40,2.7,0.4995
4-XOR Arbiter,Least squares Regression,40,2.8,0.497
4-XOR Arbiter,Least squares Regression,40,2.9,0.4995
4-XOR Arbiter,Least squares Regression,50,0.8,0.5055
4-XOR Arbiter,Least squares Regression,50,0.9,0.5055
4-XOR Arbiter,Least squares Regression,50,1.0,0.5075
4-XOR Arbiter,Least squares Regression,50,1.1,0.5045
4-XOR Arbiter,Least squares Regression,50,1.2,0.5025
4-XOR Arbiter,Least squares Regression,50,1.3,0.503
4-XOR Arbiter,Least squares Regression,50,1.4,0.503
4-XOR Arbiter,Least squares Regression,50,1.5,0.499
4-XOR Arbiter,Least squares Regression,50,1.6,0.4995
4-XOR Arbiter,Least squares Regression,50,1.7,0.497
4-XOR Arbiter,Least squares Regression,50,1.8,0.4995
4-XOR Arbiter,Least squares Regression,50,1.9,0.499
4-XOR Arbiter,Least squares Regression,50,2.0,0.502
4-XOR Arbiter,Least squares Regression,50,2.1,0.5015
4-XOR Arbiter,Least squares Regression,50,2.2,0.5015
4-XOR Arbiter,Least squares Regression,50,2.3,0.501
4-XOR Arbiter,Least squares Regression,50,2.4,0.503
4-XOR Arbiter,Least squares Regression,50,2.5,0.5
4-XOR Arbiter,Least squares Regression,50,2.6,0.4965
4-XOR Arbiter,Least squares Regression,50,2.7,0.4985
4-XOR Arbiter,Least squares Regression,50,2.8,0.4995
4-XOR Arbiter,Least squares Regression,50,2.9,0.4975
4-XOR Arbiter,Least squares Regression,60,0.8,0.505
4-XOR Arbiter,Least squares Regression,60,0.9,0.506
4-XOR Arbiter,Least squares Regression,60,1.0,0.506
4-XOR Arbiter,Least squares Regression,60,1.1,0.505
4-XOR Arbiter,Least squares Regression,60,1.2,0.5045
4-XOR Arbiter,Least squares Regression,60,1.3,0.503
4-XOR Arbiter,Least squares Regression,60,1.4,0.5025
4-XOR Arbiter,Least squares Regression,60,1.5,0.5005
4-XOR Arbiter,Least squares Regression,60,1.6,0.498
4-XOR Arbiter,Least squares Regression,60,1.7,0.4985
4-XOR Arbiter,Least squares Regression,60,1.8,0.4975
4-XOR Arbiter,Least squares Regression,60,1.9,0.5015
4-XOR Arbiter,Least squares Regression,60,2.0,0.502
4-XOR Arbiter,Least squares Regression,60,2.1,0.5015
