PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Arbiter PUF,LMN Attack,0,0.8,0.555
Arbiter PUF,LMN Attack,0,0.9,0.5645
Arbiter PUF,LMN Attack,0,1.0,0.573
Arbiter PUF,LMN Attack,0,1.1,0.58
Arbiter PUF,LMN Attack,0,1.2,0.587
Arbiter PUF,LMN Attack,0,1.3,0.5935
Arbiter PUF,LMN Attack,0,1.4,0.5995
Arbiter PUF,LMN Attack,0,1.5,0.6065
Arbiter PUF,LMN Attack,0,1.6,0.615
Arbiter PUF,LMN Attack,0,1.7,0.6235
Arbiter PUF,LMN Attack,0,1.8,0.6315
Arbiter PUF,LMN Attack,0,1.9,0.639
Arbiter PUF,LMN Attack,0,2.0,0.6465
Arbiter PUF,LMN Attack,0,2.1,0.6525
Arbiter PUF,LMN Attack,0,2.2,0.6585
Arbiter PUF,LMN Attack,0,2.3,0.6675
Arbiter PUF,LMN Attack,0,2.4,0.676
Arbiter PUF,LMN Attack,0,2.5,0.6855
Arbiter PUF,LMN Attack,0,2.6,0.6945
Arbiter PUF,LMN Attack,0,2.7,0.7005
Arbiter PUF,LMN Attack,0,2.8,0.7075
Arbiter PUF,LMN Attack,0,2.9,0.715
Arbiter PUF,LMN Attack,10,0.8,0.551
Arbiter PUF,LMN Attack,10,0.9,0.561
Arbiter PUF,LMN Attack,10,1.0,0.571
Arbiter PUF,LMN Attack,10,1.1,0.5775
Arbiter PUF,LMN Attack,10,1.2,0.5825
Arbiter PUF,LMN Attack,10,1.3,0.5895
Arbiter PUF,LMN Attack,10,1.4,0.5955
Arbiter PUF,LMN Attack,10,1.5,0.6015
Arbiter PUF,LMN Attack,10,1.6,0.6095
Arbiter PUF,LMN Attack,10,1.7,0.6165
Arbiter PUF,LMN Attack,10,1.8,0.6235
Arbiter PUF,LMN Attack,10,1.9,0.634
Arbiter PUF,LMN Attack,10,2.0,0.639
Arbiter PUF,LMN Attack,10,2.1,0.647
Arbiter PUF,LMN Attack,10,2.2,0.6525
Arbiter PUF,LMN Attack,10,2.3,0.6585
Arbiter PUF,LMN Attack,10,2.4,0.667
Arbiter PUF,LMN Attack,10,2.5,0.6755
Arbiter PUF,LMN Attack,10,2.6,0.6845
Arbiter PUF,LMN Attack,10,2.7,0.694
Arbiter PUF,LMN Attack,10,2.8,0.699
Arbiter PUF,LMN Attack,10,2.9,0.706
Arbiter PUF,LMN Attack,20,0.8,0.5485
Arbiter PUF,LMN Attack,20,0.9,0.557
Arbiter PUF,LMN Attack,20,1.0,0.567
Arbiter PUF,LMN Attack,20,1.1,0.573
Arbiter PUF,LMN Attack,20,1.2,0.5795
Arbiter PUF,LMN Attack,20,1.3,0.585
Arbiter PUF,LMN Attack,20,1.4,0.5925
Arbiter PUF,LMN Attack,20,1.5,0.5985
Arbiter PUF,LMN Attack,20,1.6,0.604
Arbiter PUF,LMN Attack,20,1.7,0.612
Arbiter PUF,LMN Attack,20,1.8,0.619
Arbiter PUF,LMN Attack,20,1.9,0.6265
Arbiter PUF,LMN Attack,20,2.0,0.634
Arbiter PUF,LMN Attack,20,2.1,0.641
Arbiter PUF,LMN Attack,20,2.2,0.647
Arbiter PUF,LMN Attack,20,2.3,0.653
Arbiter PUF,LMN Attack,20,2.4,0.6575
Arbiter PUF,LMN Attack,20,2.5,0.667
Arbiter PUF,LMN Attack,20,2.6,0.6755
Arbiter PUF,LMN Attack,20,2.7,0.6835
Arbiter PUF,LMN Attack,20,2.8,0.6925
Arbiter PUF,LMN Attack,20,2.9,0.6975
Arbiter PUF,LMN Attack,30,0.8,0.5465
Arbiter PUF,LMN Attack,30,0.9,0.5545
Arbiter PUF,LMN Attack,30,1.0,0.563
Arbiter PUF,LMN Attack,30,1.1,0.571
Arbiter PUF,LMN Attack,30,1.2,0.5775
Arbiter PUF,LMN Attack,30,1.3,0.5825
Arbiter PUF,LMN Attack,30,1.4,0.5885
Arbiter PUF,LMN Attack,30,1.5,0.594
Arbiter PUF,LMN Attack,30,1.6,0.6
Arbiter PUF,LMN Attack,30,1.7,0.606
Arbiter PUF,LMN Attack,30,1.8,0.6135
Arbiter PUF,LMN Attack,30,1.9,0.6225
Arbiter PUF,LMN Attack,30,2.0,0.6285
Arbiter PUF,LMN Attack,30,2.1,0.636
Arbiter PUF,LMN Attack,30,2.2,0.641
Arbiter PUF,LMN Attack,30,2.3,0.6475
Arbiter PUF,LMN Attack,30,2.4,0.653
Arbiter PUF,LMN Attack,30,2.5,0.6575
Arbiter PUF,LMN Attack,30,2.6,0.666
Arbiter PUF,LMN Attack,30,2.7,0.6755
Arbiter PUF,LMN Attack,30,2.8,0.682
Arbiter PUF,LMN Attack,30,2.9,0.691
Arbiter PUF,LMN Attack,40,0.8,0.544
Arbiter PUF,LMN Attack,40,0.9,0.551
Arbiter PUF,LMN Attack,40,1.0,0.5595
Arbiter PUF,LMN Attack,40,1.1,0.5675
Arbiter PUF,LMN Attack,40,1.2,0.574
Arbiter PUF,LMN Attack,40,1.3,0.5795
Arbiter PUF,LMN Attack,40,1.4,0.584
