PUF_Type,Attack_Type,Temperature,Voltage,Accuracy
Interpose PUF,Least Squares Regression,0,0.8,0.5185
Interpose PUF,Least Squares Regression,0,0.9,0.518
Interpose PUF,Least Squares Regression,0,1.0,0.5215
Interpose PUF,Least Squares Regression,0,1.1,0.5265
Interpose PUF,Least Squares Regression,0,1.2,0.529
Interpose PUF,Least Squares Regression,0,1.3,0.535
Interpose PUF,Least Squares Regression,0,1.4,0.537
Interpose PUF,Least Squares Regression,0,1.5,0.5355
Interpose PUF,Least Squares Regression,0,1.6,0.5415
Interpose PUF,Least Squares Regression,0,1.7,0.5455
Interpose PUF,Least Squares Regression,0,1.8,0.548
Interpose PUF,Least Squares Regression,0,1.9,0.5565
Interpose PUF,Least Squares Regression,0,2.0,0.5585
Interpose PUF,Least Squares Regression,0,2.1,0.562
Interpose PUF,Least Squares Regression,0,2.2,0.567
Interpose PUF,Least Squares Regression,0,2.3,0.5735
Interpose PUF,Least Squares Regression,0,2.4,0.5775
Interpose PUF,Least Squares Regression,0,2.5,0.58
Interpose PUF,Least Squares Regression,0,2.6,0.5795
Interpose PUF,Least Squares Regression,0,2.7,0.58
Interpose PUF,Least Squares Regression,0,2.8,0.582
Interpose PUF,Least Squares Regression,0,2.9,0.587
Interpose PUF,Least Squares Regression,10,0.8,0.5185
Interpose PUF,Least Squares Regression,10,0.9,0.518
Interpose PUF,Least Squares Regression,10,1.0,0.5215
Interpose PUF,Least Squares Regression,10,1.1,0.524
Interpose PUF,Least Squares Regression,10,1.2,0.528
Interpose PUF,Least Squares Regression,10,1.3,0.531
Interpose PUF,Least Squares Regression,10,1.4,0.5355
Interpose PUF,Least Squares Regression,10,1.5,0.535
Interpose PUF,Least Squares Regression,10,1.6,0.537
Interpose PUF,Least Squares Regression,10,1.7,0.5425
Interpose PUF,Least Squares Regression,10,1.8,0.5445
Interpose PUF,Least Squares Regression,10,1.9,0.5475
Interpose PUF,Least Squares Regression,10,2.0,0.5575
Interpose PUF,Least Squares Regression,10,2.1,0.5575
Interpose PUF,Least Squares Regression,10,2.2,0.562
Interpose PUF,Least Squares Regression,10,2.3,0.567
Interpose PUF,Least Squares Regression,10,2.4,0.5725
Interpose PUF,Least Squares Regression,10,2.5,0.577
Interpose PUF,Least Squares Regression,10,2.6,0.5785
Interpose PUF,Least Squares Regression,10,2.7,0.579
Interpose PUF,Least Squares Regression,10,2.8,0.58
Interpose PUF,Least Squares Regression,10,2.9,0.5805
Interpose PUF,Least Squares Regression,20,0.8,0.519
Interpose PUF,Least Squares Regression,20,0.9,0.518
Interpose PUF,Least Squares Regression,20,1.0,0.519
Interpose PUF,Least Squares Regression,20,1.1,0.5215
Interpose PUF,Least Squares Regression,20,1.2,0.526
Interpose PUF,Least Squares Regression,20,1.3,0.529
Interpose PUF,Least Squares Regression,20,1.4,0.533
Interpose PUF,Least Squares Regression,20,1.5,0.537
Interpose PUF,Least Squares Regression,20,1.6,0.534
Interpose PUF,Least Squares Regression,20,1.7,0.5385
Interpose PUF,Least Squares Regression,20,1.8,0.5435
Interpose PUF,Least Squares Regression,20,1.9,0.5445
Interpose PUF,Least Squares Regression,20,2.0,0.5495
Interpose PUF,Least Squares Regression,20,2.1,0.5585
Interpose PUF,Least Squares Regression,20,2.2,0.557
Interpose PUF,Least Squares Regression,20,2.3,0.562
Interpose PUF,Least Squares Regression,20,2.4,0.567
Interpose PUF,Least Squares Regression,20,2.5,0.5725
Interpose PUF,Least Squares Regression,20,2.6,0.576
Interpose PUF,Least Squares Regression,20,2.7,0.5775
Interpose PUF,Least Squares Regression,20,2.8,0.5795
Interpose PUF,Least Squares Regression,20,2.9,0.58
Interpose PUF,Least Squares Regression,30,0.8,0.5175
Interpose PUF,Least Squares Regression,30,0.9,0.519
Interpose PUF,Least Squares Regression,30,1.0,0.518
Interpose PUF,Least Squares Regression,30,1.1,0.521
Interpose PUF,Least Squares Regression,30,1.2,0.5245
Interpose PUF,Least Squares Regression,30,1.3,0.527
Interpose PUF,Least Squares Regression,30,1.4,0.53
Interpose PUF,Least Squares Regression,30,1.5,0.536
Interpose PUF,Least Squares Regression,30,1.6,0.5365
Interpose PUF,Least Squares Regression,30,1.7,0.5345
Interpose PUF,Least Squares Regression,30,1.8,0.54
Interpose PUF,Least Squares Regression,30,1.9,0.543
Interpose PUF,Least Squares Regression,30,2.0,0.545
Interpose PUF,Least Squares Regression,30,2.1,0.55
Interpose PUF,Least Squares Regression,30,2.2,0.56
Interpose PUF,Least Squares Regression,30,2.3,0.557
Interpose PUF,Least Squares Regression,30,2.4,0.5625
Interpose PUF,Least Squares Regression,30,2.5,0.5675
Interpose PUF,Least Squares Regression,30,2.6,0.572
Interpose PUF,Least Squares Regression,30,2.7,0.5755
Interpose PUF,Least Squares Regression,30,2.8,0.5785
Interpose PUF,Least Squares Regression,30,2.9,0.5795
Interpose PUF,Least Squares Regression,40,0.8,0.518
Interpose PUF,Least Squares Regression,40,0.9,0.519
Interpose PUF,Least Squares Regression,40,1.0,0.5175
Interpose PUF,Least Squares Regression,40,1.1,0.5185
Interpose PUF,Least Squares Regression,40,1.2,0.5215
Interpose PUF,Least Squares Regression,40,1.3,0.526
Interpose PUF,Least Squares Regression,40,1.4,0.529
Interpose PUF,Least Squares Regression,40,1.5,0.5305
Interpose PUF,Least Squares Regression,40,1.6,0.5355
Interpose PUF,Least Squares Regression,40,1.7,0.5355
Interpose PUF,Least Squares Regression,40,1.8,0.537
Interpose PUF,Least Squares Regression,40,1.9,0.5415
Interpose PUF,Least Squares Regression,40,2.0,0.5445
Interpose PUF,Least Squares Regression,40,2.1,0.5445
Interpose PUF,Least Squares Regression,40,2.2,0.55
Interpose PUF,Least Squares Regression,40,2.3,0.5595
Interpose PUF,Least Squares Regression,40,2.4,0.558
Interpose PUF,Least Squares Regression,40,2.5,0.5625
Interpose PUF,Least Squares Regression,40,2.6,0.5675
Interpose PUF,Least Squares Regression,40,2.7,0.571
Interpose PUF,Least Squares Regression,40,2.8,0.5755
Interpose PUF,Least Squares Regression,40,2.9,0.577
Interpose PUF,Least Squares Regression,50,0.8,0.5165
Interpose PUF,Least Squares Regression,50,0.9,0.5185
Interpose PUF,Least Squares Regression,50,1.0,0.5185
Interpose PUF,Least Squares Regression,50,1.1,0.518
Interpose PUF,Least Squares Regression,50,1.2,0.521
Interpose PUF,Least Squares Regression,50,1.3,0.5245
Interpose PUF,Least Squares Regression,50,1.4,0.528
Interpose PUF,Least Squares Regression,50,1.5,0.529
Interpose PUF,Least Squares Regression,50,1.6,0.5345
Interpose PUF,Least Squares Regression,50,1.7,0.5365
Interpose PUF,Least Squares Regression,50,1.8,0.534
Interpose PUF,Least Squares Regression,50,1.9,0.5375
Interpose PUF,Least Squares Regression,50,2.0,0.5435
Interpose PUF,Least Squares Regression,50,2.1,0.5455
Interpose PUF,Least Squares Regression,50,2.2,0.547
Interpose PUF,Least Squares Regression,50,2.3,0.5525
Interpose PUF,Least Squares Regression,50,2.4,0.56
Interpose PUF,Least Squares Regression,50,2.5,0.558
Interpose PUF,Least Squares Regression,50,2.6,0.5625
Interpose PUF,Least Squares Regression,50,2.7,0.5675
Interpose PUF,Least Squares Regression,50,2.8,0.57
Interpose PUF,Least Squares Regression,50,2.9,0.576
Interpose PUF,Least Squares Regression,60,0.8,0.514
Interpose PUF,Least Squares Regression,60,0.9,0.5175
Interpose PUF,Least Squares Regression,60,1.0,0.5185
Interpose PUF,Least Squares Regression,60,1.1,0.518
Interpose PUF,Least Squares Regression,60,1.2,0.519
Interpose PUF,Least Squares Regression,60,1.3,0.5215
Interpose PUF,Least Squares Regression,60,1.4,0.526
Interpose PUF,Least Squares Regression,60,1.5,0.528
Interpose PUF,Least Squares Regression,60,1.6,0.531
Interpose PUF,Least Squares Regression,60,1.7,0.535
Interpose PUF,Least Squares Regression,60,1.8,0.5365
Interpose PUF,Least Squares Regression,60,1.9,0.5355
Interpose PUF,Least Squares Regression,60,2.0,0.5385
Interpose PUF,Least Squares Regression,60,2.1,0.5435
Interpose PUF,Least Squares Regression,60,2.2,0.545
Interpose PUF,Least Squares Regression,60,2.3,0.5475
Interpose PUF,Least Squares Regression,60,2.4,0.555
Interpose PUF,Least Squares Regression,60,2.5,0.56
Interpose PUF,Least Squares Regression,60,2.6,0.5585
Interpose PUF,Least Squares Regression,60,2.7,0.562
Interpose PUF,Least Squares Regression,60,2.8,0.5675
Interpose PUF,Least Squares Regression,60,2.9,0.5695
Interpose PUF,Least Squares Regression,70,0.8,0.5135
Interpose PUF,Least Squares Regression,70,0.9,0.518
Interpose PUF,Least Squares Regression,70,1.0,0.519
Interpose PUF,Least Squares Regression,70,1.1,0.518
Interpose PUF,Least Squares Regression,70,1.2,0.5185
Interpose PUF,Least Squares Regression,70,1.3,0.5215
Interpose PUF,Least Squares Regression,70,1.4,0.524
Interpose PUF,Least Squares Regression,70,1.5,0.5275
Interpose PUF,Least Squares Regression,70,1.6,0.5285
Interpose PUF,Least Squares Regression,70,1.7,0.5315
Interpose PUF,Least Squares Regression,70,1.8,0.536
Interpose PUF,Least Squares Regression,70,1.9,0.535
Interpose PUF,Least Squares Regression,70,2.0,0.5365
Interpose PUF,Least Squares Regression,70,2.1,0.54
Interpose PUF,Least Squares Regression,70,2.2,0.5435
Interpose PUF,Least Squares Regression,70,2.3,0.545
Interpose PUF,Least Squares Regression,70,2.4,0.547
Interpose PUF,Least Squares Regression,70,2.5,0.555
Interpose PUF,Least Squares Regression,70,2.6,0.56
Interpose PUF,Least Squares Regression,70,2.7,0.5585
Interpose PUF,Least Squares Regression,70,2.8,0.562
Interpose PUF,Least Squares Regression,70,2.9,0.567
Interpose PUF,Least Squares Regression,80,0.8,0.5125
Interpose PUF,Least Squares Regression,80,0.9,0.5165
Interpose PUF,Least Squares Regression,80,1.0,0.519
Interpose PUF,Least Squares Regression,80,1.1,0.5185
Interpose PUF,Least Squares Regression,80,1.2,0.5185
Interpose PUF,Least Squares Regression,80,1.3,0.5195
Interpose PUF,Least Squares Regression,80,1.4,0.5215
Interpose PUF,Least Squares Regression,80,1.5,0.5265
Interpose PUF,Least Squares Regression,80,1.6,0.528
Interpose PUF,Least Squares Regression,80,1.7,0.53
Interpose PUF,Least Squares Regression,80,1.8,0.535
Interpose PUF,Least Squares Regression,80,1.9,0.5365
Interpose PUF,Least Squares Regression,80,2.0,0.5345
Interpose PUF,Least Squares Regression,80,2.1,0.5385
Interpose PUF,Least Squares Regression,80,2.2,0.542
Interpose PUF,Least Squares Regression,80,2.3,0.543
Interpose PUF,Least Squares Regression,80,2.4,0.5445
Interpose PUF,Least Squares Regression,80,2.5,0.548
Interpose PUF,Least Squares Regression,80,2.6,0.555
Interpose PUF,Least Squares Regression,80,2.7,0.5595
Interpose PUF,Least Squares Regression,80,2.8,0.5585
Interpose PUF,Least Squares Regression,80,2.9,0.562
Interpose PUF,Least Squares Regression,90,0.8,0.5125
Interpose PUF,Least Squares Regression,90,0.9,0.5145
Interpose PUF,Least Squares Regression,90,1.0,0.5175
Interpose PUF,Least Squares Regression,90,1.1,0.5185
Interpose PUF,Least Squares Regression,90,1.2,0.5175
Interpose PUF,Least Squares Regression,90,1.3,0.518
Interpose PUF,Least Squares Regression,90,1.4,0.5215
Interpose PUF,Least Squares Regression,90,1.5,0.524
Interpose PUF,Least Squares Regression,90,1.6,0.527
Interpose PUF,Least Squares Regression,90,1.7,0.5295
Interpose PUF,Least Squares Regression,90,1.8,0.5305
Interpose PUF,Least Squares Regression,90,1.9,0.5355
Interpose PUF,Least Squares Regression,90,2.0,0.537
Interpose PUF,Least Squares Regression,90,2.1,0.534
Interpose PUF,Least Squares Regression,90,2.2,0.5375
Interpose PUF,Least Squares Regression,90,2.3,0.542
Interpose PUF,Least Squares Regression,90,2.4,0.5435
Interpose PUF,Least Squares Regression,90,2.5,0.545
Interpose PUF,Least Squares Regression,90,2.6,0.549
Interpose PUF,Least Squares Regression,90,2.7,0.555
Interpose PUF,Least Squares Regression,90,2.8,0.56
Interpose PUF,Least Squares Regression,90,2.9,0.5585
Interpose PUF,Least Squares Regression,100,0.8,0.511
Interpose PUF,Least Squares Regression,100,0.9,0.5135
Interpose PUF,Least Squares Regression,100,1.0,0.518
Interpose PUF,Least Squares Regression,100,1.1,0.519
Interpose PUF,Least Squares Regression,100,1.2,0.5185
Interpose PUF,Least Squares Regression,100,1.3,0.518
Interpose PUF,Least Squares Regression,100,1.4,0.52
Interpose PUF,Least Squares Regression,100,1.5,0.5215
Interpose PUF,Least Squares Regression,100,1.6,0.527
Interpose PUF,Least Squares Regression,100,1.7,0.5285
Interpose PUF,Least Squares Regression,100,1.8,0.53
Interpose PUF,Least Squares Regression,100,1.9,0.5335
Interpose PUF,Least Squares Regression,100,2.0,0.536
Interpose PUF,Least Squares Regression,100,2.1,0.5355
Interpose PUF,Least Squares Regression,100,2.2,0.535
Interpose PUF,Least Squares Regression,100,2.3,0.5385
Interpose PUF,Least Squares Regression,100,2.4,0.5425
Interpose PUF,Least Squares Regression,100,2.5,0.546
Interpose PUF,Least Squares Regression,100,2.6,0.545
Interpose PUF,Least Squares Regression,100,2.7,0.5495
Interpose PUF,Least Squares Regression,100,2.8,0.5555
Interpose PUF,Least Squares Regression,100,2.9,0.56
Interpose PUF,Least Squares Regression,110,0.8,0.5105
Interpose PUF,Least Squares Regression,110,0.9,0.5125
Interpose PUF,Least Squares Regression,110,1.0,0.517
Interpose PUF,Least Squares Regression,110,1.1,0.5185
Interpose PUF,Least Squares Regression,110,1.2,0.519
Interpose PUF,Least Squares Regression,110,1.3,0.5185
Interpose PUF,Least Squares Regression,110,1.4,0.5185
Interpose PUF,Least Squares Regression,110,1.5,0.5215
Interpose PUF,Least Squares Regression,110,1.6,0.524
Interpose PUF,Least Squares Regression,110,1.7,0.527
Interpose PUF,Least Squares Regression,110,1.8,0.5285
Interpose PUF,Least Squares Regression,110,1.9,0.531
Interpose PUF,Least Squares Regression,110,2.0,0.5355
Interpose PUF,Least Squares Regression,110,2.1,0.5365
Interpose PUF,Least Squares Regression,110,2.2,0.535
Interpose PUF,Least Squares Regression,110,2.3,0.5365
Interpose PUF,Least Squares Regression,110,2.4,0.5395
Interpose PUF,Least Squares Regression,110,2.5,0.5435
Interpose PUF,Least Squares Regression,110,2.6,0.5455
Interpose PUF,Least Squares Regression,110,2.7,0.545
Interpose PUF,Least Squares Regression,110,2.8,0.5495
Interpose PUF,Least Squares Regression,110,2.9,0.5565
Interpose PUF,Least Squares Regression,120,0.8,0.5095
Interpose PUF,Least Squares Regression,120,0.9,0.512
Interpose PUF,Least Squares Regression,120,1.0,0.516
Interpose PUF,Least Squares Regression,120,1.1,0.5175
Interpose PUF,Least Squares Regression,120,1.2,0.5185
Interpose PUF,Least Squares Regression,120,1.3,0.518
Interpose PUF,Least Squares Regression,120,1.4,0.518
Interpose PUF,Least Squares Regression,120,1.5,0.521
Interpose PUF,Least Squares Regression,120,1.6,0.5215
Interpose PUF,Least Squares Regression,120,1.7,0.5265
Interpose PUF,Least Squares Regression,120,1.8,0.527
Interpose PUF,Least Squares Regression,120,1.9,0.5285
Interpose PUF,Least Squares Regression,120,2.0,0.531
Interpose PUF,Least Squares Regression,120,2.1,0.5355
Interpose PUF,Least Squares Regression,120,2.2,0.5365
Interpose PUF,Least Squares Regression,120,2.3,0.534
Interpose PUF,Least Squares Regression,120,2.4,0.538
Interpose PUF,Least Squares Regression,120,2.5,0.5415
Interpose PUF,Least Squares Regression,120,2.6,0.5435
Interpose PUF,Least Squares Regression,120,2.7,0.5455
Interpose PUF,Least Squares Regression,120,2.8,0.5455
Interpose PUF,Least Squares Regression,120,2.9,0.5495
Interpose PUF,Least Squares Regression,130,0.8,0.5095
Interpose PUF,Least Squares Regression,130,0.9,0.512
Interpose PUF,Least Squares Regression,130,1.0,0.514
Interpose PUF,Least Squares Regression,130,1.1,0.518
Interpose PUF,Least Squares Regression,130,1.2,0.519
Interpose PUF,Least Squares Regression,130,1.3,0.5185
Interpose PUF,Least Squares Regression,130,1.4,0.518
Interpose PUF,Least Squares Regression,130,1.5,0.5185
Interpose PUF,Least Squares Regression,130,1.6,0.522
Interpose PUF,Least Squares Regression,130,1.7,0.524
Interpose PUF,Least Squares Regression,130,1.8,0.5265
Interpose PUF,Least Squares Regression,130,1.9,0.528
Interpose PUF,Least Squares Regression,130,2.0,0.53
Interpose PUF,Least Squares Regression,130,2.1,0.534
Interpose PUF,Least Squares Regression,130,2.2,0.5355
Interpose PUF,Least Squares Regression,130,2.3,0.5355
Interpose PUF,Least Squares Regression,130,2.4,0.5345
Interpose PUF,Least Squares Regression,130,2.5,0.5375
Interpose PUF,Least Squares Regression,130,2.6,0.542
Interpose PUF,Least Squares Regression,130,2.7,0.544
Interpose PUF,Least Squares Regression,130,2.8,0.5445
Interpose PUF,Least Squares Regression,130,2.9,0.547
Interpose PUF,Least Squares Regression,140,0.8,0.5095
Interpose PUF,Least Squares Regression,140,0.9,0.5105
Interpose PUF,Least Squares Regression,140,1.0,0.513
Interpose PUF,Least Squares Regression,140,1.1,0.517
Interpose PUF,Least Squares Regression,140,1.2,0.519
Interpose PUF,Least Squares Regression,140,1.3,0.5185
Interpose PUF,Least Squares Regression,140,1.4,0.5175
Interpose PUF,Least Squares Regression,140,1.5,0.518
Interpose PUF,Least Squares Regression,140,1.6,0.521
Interpose PUF,Least Squares Regression,140,1.7,0.5215
Interpose PUF,Least Squares Regression,140,1.8,0.5265
Interpose PUF,Least Squares Regression,140,1.9,0.528
Interpose PUF,Least Squares Regression,140,2.0,0.529
Interpose PUF,Least Squares Regression,140,2.1,0.531
Interpose PUF,Least Squares Regression,140,2.2,0.5355
Interpose PUF,Least Squares Regression,140,2.3,0.5365
Interpose PUF,Least Squares Regression,140,2.4,0.535
